fecha;intensidad;ocupacion;vmed
2018-07-01 00:00:00;2148;4;69
2018-07-01 00:15:00;2304;3;68
2018-07-01 00:30:00;1596;3;67
2018-07-01 00:45:00;2316;4;68
2018-07-01 01:00:00;2100;5;68
2018-07-01 01:15:00;2040;4;69
2018-07-01 01:30:00;2124;4;69
2018-07-01 01:45:00;1992;4;68
2018-07-01 02:00:00;1800;4;69
2018-07-01 02:15:00;1128;2;69
2018-07-01 02:30:00;1056;2;67
2018-07-01 02:45:00;1188;3;69
2018-07-01 03:00:00;1176;3;72
2018-07-01 03:15:00;1188;3;72
2018-07-01 03:30:00;768;2;75
2018-07-01 03:45:00;840;1;72
2018-07-01 04:00:00;648;1;74
2018-07-01 04:15:00;528;1;68
2018-07-01 04:30:00;528;1;61
2018-07-01 04:45:00;396;1;71
2018-07-01 05:00:00;600;1;71
2018-07-01 05:15:00;348;1;71
2018-07-01 05:30:00;408;1;54
2018-07-01 05:45:00;480;1;72
2018-07-01 06:00:00;408;1;69
2018-07-01 06:15:00;648;1;69
2018-07-01 06:30:00;744;1;55
2018-07-01 06:45:00;1128;2;70
2018-07-01 07:00:00;1344;2;71
2018-07-01 07:15:00;1152;2;68
2018-07-01 07:30:00;1200;2;73
2018-07-01 07:45:00;1896;4;70
2018-07-01 08:00:00;1812;4;70
2018-07-01 08:15:00;1680;4;70
2018-07-01 08:30:00;1248;2;55
2018-07-01 08:45:00;2100;5;70
2018-07-01 09:00:00;2244;4;69
2018-07-01 09:15:00;2064;4;72
2018-07-01 09:30:00;2232;4;70
2018-07-01 09:45:00;2280;4;70
2018-07-01 10:00:00;2244;5;71
2018-07-01 10:15:00;2724;6;71
2018-07-01 10:30:00;2340;5;71
2018-07-01 10:45:00;3924;8;69
2018-07-01 11:00:00;3624;7;68
2018-07-01 11:15:00;3504;7;70
2018-07-01 11:30:00;3288;6;70
2018-07-01 11:45:00;4140;8;69
2018-07-01 12:00:00;4368;8;68
2018-07-01 12:15:00;4380;9;68
2018-07-01 12:30:00;4128;8;67
2018-07-01 12:45:00;4764;10;66
2018-07-01 13:00:00;4668;9;65
2018-07-01 13:15:00;4620;8;68
2018-07-01 13:30:00;4488;9;67
2018-07-01 13:45:00;4800;9;67
2018-07-01 14:00:00;4980;10;65
2018-07-01 14:15:00;4524;9;67
2018-07-01 14:30:00;3972;7;67
2018-07-01 14:45:00;4704;10;67
2018-07-01 15:00:00;4224;8;67
2018-07-01 15:15:00;2928;5;68
2018-07-01 15:30:00;2436;5;69
2018-07-01 15:45:00;2712;5;68
2018-07-01 16:00:00;3924;7;71
2018-07-01 16:15:00;2460;4;70
2018-07-01 16:30:00;1896;4;69
2018-07-01 16:45:00;1692;3;67
2018-07-01 17:00:00;1956;3;71
2018-07-01 17:15:00;2220;4;67
2018-07-01 17:30:00;1764;3;71
2018-07-01 17:45:00;2304;4;69
2018-07-01 18:00:00;1884;3;72
2018-07-01 18:15:00;2052;4;69
2018-07-01 18:30:00;2424;5;68
2018-07-01 18:45:00;2244;5;68
2018-07-01 19:00:00;2172;4;68
2018-07-01 19:15:00;3372;7;69
2018-07-01 19:30:00;5040;10;65
2018-07-01 19:45:00;5028;10;66
2018-07-01 20:00:00;4764;9;66
2018-07-01 20:15:00;4164;8;68
2018-07-01 20:30:00;3156;6;70
2018-07-01 20:45:00;3936;8;67
2018-07-01 21:00:00;4008;7;69
2018-07-01 21:15:00;4068;7;68
2018-07-01 21:30:00;4200;8;68
2018-07-01 21:45:00;4032;8;67
2018-07-01 22:00:00;3540;7;69
2018-07-01 22:15:00;3540;7;70
2018-07-01 22:30:00;2808;5;70
2018-07-01 22:45:00;3192;6;68
2018-07-01 23:00:00;3084;6;70
2018-07-01 23:15:00;2712;5;69
2018-07-01 23:30:00;2172;4;69
2018-07-01 23:45:00;2280;5;70
2018-07-02 00:00:00;2028;4;68
2018-07-02 00:15:00;1980;4;69
2018-07-02 00:30:00;1248;2;69
2018-07-02 00:45:00;1404;3;72
2018-07-02 01:00:00;1152;2;72
2018-07-02 01:15:00;1068;2;72
2018-07-02 01:30:00;972;2;71
2018-07-02 01:45:00;852;2;73
2018-07-02 02:00:00;732;1;71
2018-07-02 02:15:00;504;1;71
2018-07-02 02:30:00;288;0;59
2018-07-02 02:45:00;360;0;73
2018-07-02 03:00:00;276;1;68
2018-07-02 03:15:00;156;0;66
2018-07-02 03:30:00;216;1;58
2018-07-02 03:45:00;216;0;76
2018-07-02 04:00:00;144;0;76
2018-07-02 04:15:00;108;0;64
2018-07-02 04:30:00;240;1;68
2018-07-02 04:45:00;264;0;68
2018-07-02 05:00:00;144;1;57
2018-07-02 05:15:00;348;1;70
2018-07-02 05:30:00;468;1;69
2018-07-02 05:45:00;540;1;68
2018-07-02 06:00:00;948;2;71
2018-07-02 06:15:00;888;2;68
2018-07-02 06:30:00;1920;4;71
2018-07-02 06:45:00;3516;7;71
2018-07-02 07:00:00;5400;10;68
2018-07-02 07:15:00;7596;15;66
2018-07-02 07:30:00;5892;31;42
2018-07-02 07:45:00;3372;53;25
2018-07-02 08:00:00;4236;44;19
2018-07-02 08:15:00;4368;44;22
2018-07-02 08:30:00;2964;40;19
2018-07-02 08:45:00;6168;34;26
2018-07-02 09:00:00;5124;39;23
2018-07-02 09:15:00;5484;37;29
2018-07-02 09:30:00;5040;44;24
2018-07-02 09:45:00;6312;34;30
2018-07-02 10:00:00;5244;33;25
2018-07-02 10:15:00;5556;21;43
2018-07-02 10:30:00;3840;8;64
2018-07-02 10:45:00;5028;10;67
2018-07-02 11:00:00;5400;10;67
2018-07-02 11:15:00;5016;10;68
2018-07-02 11:30:00;4116;8;65
2018-07-02 11:45:00;5016;10;65
2018-07-02 12:00:00;4908;9;66
2018-07-02 12:15:00;4716;8;67
2018-07-02 12:30:00;4320;8;67
2018-07-02 12:45:00;4356;9;67
2018-07-02 13:00:00;4464;9;67
2018-07-02 13:15:00;4524;9;69
2018-07-02 13:30:00;4692;9;67
2018-07-02 13:45:00;4968;9;69
2018-07-02 14:00:00;4560;9;68
2018-07-02 14:15:00;4908;9;68
2018-07-02 14:30:00;4572;8;68
2018-07-02 14:45:00;6060;11;65
2018-07-02 15:00:00;6144;10;66
2018-07-02 15:15:00;5892;10;67
2018-07-02 15:30:00;5640;10;67
2018-07-02 15:45:00;6276;11;64
2018-07-02 16:00:00;5484;10;67
2018-07-02 16:15:00;5772;10;66
2018-07-02 16:30:00;5292;10;65
2018-07-02 16:45:00;5064;9;66
2018-07-02 17:00:00;5616;9;65
2018-07-02 17:15:00;5256;10;66
2018-07-02 17:30:00;3480;6;68
2018-07-02 17:45:00;5796;11;65
2018-07-02 18:00:00;5000;9;65
2018-07-02 18:15:00;5412;10;65
2018-07-02 18:30:00;4752;8;69
2018-07-02 18:45:00;6900;13;65
2018-07-02 19:00:00;6036;12;66
2018-07-02 19:15:00;6180;11;66
2018-07-02 19:30:00;4668;8;65
2018-07-02 19:45:00;6360;12;67
2018-07-02 20:00:00;5676;10;69
2018-07-02 20:15:00;5136;10;68
2018-07-02 20:30:00;4416;8;70
2018-07-02 20:45:00;3972;9;69
2018-07-02 21:00:00;4644;9;69
2018-07-02 21:15:00;3840;8;70
2018-07-02 21:30:00;3312;6;69
2018-07-02 21:45:00;3600;7;72
2018-07-02 22:00:00;3228;5;72
2018-07-02 22:15:00;2688;6;73
2018-07-02 22:30:00;1932;4;73
2018-07-02 22:45:00;2376;5;72
2018-07-02 23:00:00;2328;5;71
2018-07-02 23:15:00;1632;4;72
2018-07-02 23:30:00;1488;3;70
2018-07-02 23:45:00;1692;3;72
2018-07-03 00:00:00;1452;2;72
2018-07-03 00:15:00;1104;2;73
2018-07-03 00:30:00;1020;2;72
2018-07-03 00:45:00;648;1;73
2018-07-03 01:00:00;552;1;68
2018-07-03 01:15:00;756;2;71
2018-07-03 01:30:00;720;2;75
2018-07-03 01:45:00;468;2;71
2018-07-03 02:00:00;324;0;65
2018-07-03 02:15:00;324;0;69
2018-07-03 02:30:00;192;0;71
2018-07-03 02:45:00;216;0;65
2018-07-03 03:00:00;180;1;70
2018-07-03 03:15:00;240;1;72
2018-07-03 03:30:00;168;0;51
2018-07-03 05:00:00;240;0;70
2018-07-03 05:15:00;180;0;71
2018-07-03 05:30:00;276;0;73
