# Number of events: 15000
# Number of events types: 10
# Number of events attributes: 3
# Minimum intermediate seconds: 1
# Maximum intermediate seconds: 10
# Complex Event: 2023-09-20 13:35:49; HIT
# Event attributes: TEMP: {1 - 100}, ID: {1 - 10}, ROOM: {1 - 10}, 
# Used rule: [every((A0 = A -> B0 = B)) where timer:within(60 sec)] where (A0.ROOM = B0.ROOM)

2023-09-20 13:37:42; C; TEMP: 41; ID: 3; ROOM: 5
2023-09-20 13:37:45; D; TEMP: 80; ID: 5; ROOM: 7
2023-09-20 13:37:47; D; TEMP: 70; ID: 2; ROOM: 9
2023-09-20 13:37:52; F; TEMP: 2; ID: 4; ROOM: 8
2023-09-20 13:38:01; J; TEMP: 55; ID: 10; ROOM: 1
2023-09-20 13:38:06; H; TEMP: 52; ID: 2; ROOM: 7
2023-09-20 13:38:15; F; TEMP: 66; ID: 8; ROOM: 2
2023-09-20 13:38:17; D; TEMP: 2; ID: 9; ROOM: 8
2023-09-20 13:38:23; G; TEMP: 83; ID: 5; ROOM: 3
2023-09-20 13:38:32; F; TEMP: 96; ID: 3; ROOM: 1
2023-09-20 13:38:38; F; TEMP: 30; ID: 3; ROOM: 7
2023-09-20 13:38:39; F; TEMP: 15; ID: 1; ROOM: 4
2023-09-20 13:38:40; A; TEMP: 99; ID: 9; ROOM: 6
2023-09-20 13:38:42; H; TEMP: 27; ID: 3; ROOM: 7
2023-09-20 13:38:44; B; TEMP: 95; ID: 9; ROOM: 6
2023-09-20 13:38:52; G; TEMP: 59; ID: 9; ROOM: 8
2023-09-20 13:38:55; G; TEMP: 9; ID: 7; ROOM: 7
2023-09-20 13:38:58; I; TEMP: 57; ID: 8; ROOM: 10
2023-09-20 13:39:02; D; TEMP: 48; ID: 5; ROOM: 5
2023-09-20 13:39:04; H; TEMP: 20; ID: 8; ROOM: 6
2023-09-20 13:39:07; I; TEMP: 15; ID: 5; ROOM: 4
2023-09-20 13:39:09; I; TEMP: 85; ID: 7; ROOM: 6
2023-09-20 13:39:13; J; TEMP: 54; ID: 3; ROOM: 6
2023-09-20 13:39:20; C; TEMP: 69; ID: 9; ROOM: 9
2023-09-20 13:39:22; F; TEMP: 92; ID: 4; ROOM: 5
2023-09-20 13:39:28; E; TEMP: 95; ID: 9; ROOM: 9
2023-09-20 13:39:31; H; TEMP: 76; ID: 9; ROOM: 7
2023-09-20 13:39:39; J; TEMP: 70; ID: 7; ROOM: 5
2023-09-20 13:39:41; G; TEMP: 6; ID: 9; ROOM: 10
2023-09-20 13:39:47; A; TEMP: 26; ID: 6; ROOM: 7
2023-09-20 13:39:54; F; TEMP: 39; ID: 5; ROOM: 9
2023-09-20 13:39:55; B; TEMP: 55; ID: 9; ROOM: 7
2023-09-20 13:39:55; HIT
2023-09-20 13:39:59; F; TEMP: 58; ID: 2; ROOM: 4
2023-09-20 13:40:02; F; TEMP: 11; ID: 9; ROOM: 8
2023-09-20 13:40:05; I; TEMP: 36; ID: 7; ROOM: 8
2023-09-20 13:40:07; E; TEMP: 74; ID: 2; ROOM: 3
2023-09-20 13:40:10; F; TEMP: 27; ID: 1; ROOM: 7
2023-09-20 13:40:16; E; TEMP: 34; ID: 10; ROOM: 2
2023-09-20 13:40:21; A; TEMP: 62; ID: 10; ROOM: 6
2023-09-20 13:40:25; C; TEMP: 16; ID: 1; ROOM: 4
2023-09-20 13:40:31; G; TEMP: 63; ID: 5; ROOM: 1
2023-09-20 13:40:33; I; TEMP: 83; ID: 8; ROOM: 2
2023-09-20 13:40:37; B; TEMP: 28; ID: 7; ROOM: 8
2023-09-20 13:40:38; B; TEMP: 66; ID: 6; ROOM: 6
2023-09-20 13:40:41; I; TEMP: 32; ID: 3; ROOM: 9
2023-09-20 13:40:50; G; TEMP: 100; ID: 10; ROOM: 3
2023-09-20 13:40:51; H; TEMP: 43; ID: 8; ROOM: 2
2023-09-20 13:40:52; A; TEMP: 3; ID: 10; ROOM: 1
2023-09-20 13:41:00; B; TEMP: 43; ID: 2; ROOM: 1
2023-09-20 13:41:00; HIT
2023-09-20 13:41:06; E; TEMP: 74; ID: 3; ROOM: 5
2023-09-20 13:41:11; A; TEMP: 17; ID: 10; ROOM: 3
2023-09-20 13:41:18; D; TEMP: 92; ID: 10; ROOM: 2
2023-09-20 13:41:25; B; TEMP: 22; ID: 6; ROOM: 8
2023-09-20 13:41:30; C; TEMP: 7; ID: 6; ROOM: 10
2023-09-20 13:41:39; J; TEMP: 75; ID: 8; ROOM: 5
2023-09-20 13:41:42; E; TEMP: 96; ID: 5; ROOM: 2
2023-09-20 13:41:43; A; TEMP: 94; ID: 7; ROOM: 10
2023-09-20 13:41:50; J; TEMP: 82; ID: 10; ROOM: 1
2023-09-20 13:41:55; F; TEMP: 59; ID: 2; ROOM: 8
2023-09-20 13:41:56; D; TEMP: 7; ID: 6; ROOM: 10
2023-09-20 13:42:00; F; TEMP: 98; ID: 3; ROOM: 8
2023-09-20 13:42:04; J; TEMP: 47; ID: 10; ROOM: 8
2023-09-20 13:42:08; B; TEMP: 58; ID: 10; ROOM: 10
2023-09-20 13:42:08; HIT
2023-09-20 13:42:16; G; TEMP: 85; ID: 4; ROOM: 1
2023-09-20 13:42:25; D; TEMP: 72; ID: 1; ROOM: 9
2023-09-20 13:42:29; F; TEMP: 53; ID: 4; ROOM: 9
2023-09-20 13:42:33; B; TEMP: 82; ID: 4; ROOM: 3
2023-09-20 13:42:42; C; TEMP: 33; ID: 6; ROOM: 1
2023-09-20 13:42:46; G; TEMP: 64; ID: 1; ROOM: 2
2023-09-20 13:42:48; A; TEMP: 14; ID: 10; ROOM: 2
2023-09-20 13:42:50; F; TEMP: 37; ID: 1; ROOM: 7
2023-09-20 13:42:58; F; TEMP: 62; ID: 9; ROOM: 1
2023-09-20 13:43:00; J; TEMP: 55; ID: 8; ROOM: 8
2023-09-20 13:43:07; B; TEMP: 4; ID: 10; ROOM: 10
2023-09-20 13:43:08; J; TEMP: 93; ID: 8; ROOM: 1
2023-09-20 13:43:16; A; TEMP: 90; ID: 8; ROOM: 2
2023-09-20 13:43:23; B; TEMP: 31; ID: 3; ROOM: 2
2023-09-20 13:43:23; HIT
2023-09-20 13:43:27; C; TEMP: 96; ID: 4; ROOM: 9
2023-09-20 13:43:34; G; TEMP: 3; ID: 2; ROOM: 1
2023-09-20 13:43:36; I; TEMP: 85; ID: 7; ROOM: 4
2023-09-20 13:43:45; E; TEMP: 82; ID: 3; ROOM: 8
2023-09-20 13:43:51; H; TEMP: 72; ID: 7; ROOM: 9
2023-09-20 13:44:00; H; TEMP: 13; ID: 8; ROOM: 5
2023-09-20 13:44:07; C; TEMP: 51; ID: 6; ROOM: 10
2023-09-20 13:44:09; J; TEMP: 71; ID: 4; ROOM: 2
2023-09-20 13:44:18; A; TEMP: 81; ID: 7; ROOM: 6
2023-09-20 13:44:24; C; TEMP: 99; ID: 7; ROOM: 1
2023-09-20 13:44:26; J; TEMP: 64; ID: 1; ROOM: 8
2023-09-20 13:44:29; B; TEMP: 15; ID: 7; ROOM: 6
2023-09-20 13:44:35; H; TEMP: 9; ID: 7; ROOM: 9
2023-09-20 13:44:41; J; TEMP: 84; ID: 1; ROOM: 9
2023-09-20 13:44:46; G; TEMP: 27; ID: 2; ROOM: 8
2023-09-20 13:44:49; D; TEMP: 79; ID: 8; ROOM: 1
2023-09-20 13:44:55; E; TEMP: 53; ID: 9; ROOM: 2
2023-09-20 13:45:03; G; TEMP: 32; ID: 3; ROOM: 6
2023-09-20 13:45:10; J; TEMP: 90; ID: 6; ROOM: 1
2023-09-20 13:45:13; G; TEMP: 53; ID: 1; ROOM: 5
2023-09-20 13:45:17; A; TEMP: 21; ID: 9; ROOM: 10
2023-09-20 13:45:25; H; TEMP: 44; ID: 1; ROOM: 2
2023-09-20 13:45:30; H; TEMP: 87; ID: 8; ROOM: 6
2023-09-20 13:45:34; C; TEMP: 30; ID: 6; ROOM: 1
2023-09-20 13:45:38; B; TEMP: 3; ID: 4; ROOM: 10
2023-09-20 13:45:45; G; TEMP: 94; ID: 8; ROOM: 8
2023-09-20 13:45:48; D; TEMP: 66; ID: 8; ROOM: 4
2023-09-20 13:45:56; H; TEMP: 27; ID: 4; ROOM: 10
2023-09-20 13:45:58; G; TEMP: 90; ID: 9; ROOM: 5
2023-09-20 13:46:04; C; TEMP: 72; ID: 3; ROOM: 5
2023-09-20 13:46:09; F; TEMP: 84; ID: 7; ROOM: 4
2023-09-20 13:46:11; J; TEMP: 97; ID: 6; ROOM: 6
2023-09-20 13:46:15; B; TEMP: 6; ID: 8; ROOM: 3
2023-09-20 13:46:22; A; TEMP: 89; ID: 10; ROOM: 3
2023-09-20 13:46:29; D; TEMP: 29; ID: 2; ROOM: 2
2023-09-20 13:46:37; J; TEMP: 44; ID: 9; ROOM: 10
2023-09-20 13:46:39; C; TEMP: 11; ID: 2; ROOM: 5
2023-09-20 13:46:47; B; TEMP: 42; ID: 6; ROOM: 3
2023-09-20 13:46:51; E; TEMP: 84; ID: 7; ROOM: 1
2023-09-20 13:47:00; E; TEMP: 49; ID: 8; ROOM: 9
2023-09-20 13:47:02; A; TEMP: 22; ID: 10; ROOM: 5
2023-09-20 13:47:08; C; TEMP: 31; ID: 9; ROOM: 6
2023-09-20 13:47:12; I; TEMP: 39; ID: 5; ROOM: 9
2023-09-20 13:47:15; H; TEMP: 86; ID: 4; ROOM: 4
2023-09-20 13:47:23; J; TEMP: 2; ID: 1; ROOM: 6
2023-09-20 13:47:25; C; TEMP: 60; ID: 4; ROOM: 8
2023-09-20 13:47:29; F; TEMP: 25; ID: 7; ROOM: 3
2023-09-20 13:47:34; F; TEMP: 74; ID: 4; ROOM: 6
2023-09-20 13:47:41; A; TEMP: 20; ID: 4; ROOM: 4
2023-09-20 13:47:46; I; TEMP: 82; ID: 7; ROOM: 3
2023-09-20 13:47:54; J; TEMP: 13; ID: 7; ROOM: 7
2023-09-20 13:48:00; B; TEMP: 73; ID: 7; ROOM: 4
2023-09-20 13:48:00; HIT
2023-09-20 13:48:05; J; TEMP: 34; ID: 2; ROOM: 6
2023-09-20 13:48:14; H; TEMP: 7; ID: 4; ROOM: 9
2023-09-20 13:48:18; H; TEMP: 68; ID: 10; ROOM: 7
2023-09-20 13:48:20; A; TEMP: 68; ID: 8; ROOM: 5
2023-09-20 13:48:26; G; TEMP: 42; ID: 8; ROOM: 9
2023-09-20 13:48:32; J; TEMP: 20; ID: 6; ROOM: 8
2023-09-20 13:48:40; G; TEMP: 42; ID: 6; ROOM: 6
2023-09-20 13:48:48; F; TEMP: 64; ID: 3; ROOM: 10
2023-09-20 13:48:57; B; TEMP: 22; ID: 2; ROOM: 6
2023-09-20 13:49:05; H; TEMP: 58; ID: 9; ROOM: 2
2023-09-20 13:49:06; B; TEMP: 92; ID: 4; ROOM: 10
2023-09-20 13:49:08; A; TEMP: 43; ID: 5; ROOM: 9
2023-09-20 13:49:10; A; TEMP: 40; ID: 8; ROOM: 4
2023-09-20 13:49:12; C; TEMP: 59; ID: 3; ROOM: 5
2023-09-20 13:49:13; B; TEMP: 47; ID: 10; ROOM: 9
