Organized_Survey_Data
rowIndex;columnIndex;QID;Code;L/N;Carbon;Cost;Airport;Choice;flight_arrangment;flight_arrangment_other;preferred_airport;transportation_SMF;transportation_SMF_other;transportation_SFO;transportation_SFO_other;current_position_UCD;number_flights_business_past_year;number_flights_vacation_past_year;age;interest_in_carbon_emissions_info;affect_of_showing_carbon_emissions
26;0;Q377;L_2433_392_SMF;layover;2433;392;SMF;1;Aggie Travel web portal;;Sacramento (SMF);Taxi, Uber, Lyft;;Airport shuttle service;;Staff;8;3;47;Yes;I would consider carbon emissions among other factors
26;0;Q377;L_2229_447_SFO;layover;2229;447;SFO;0;Aggie Travel web portal;;Sacramento (SMF);Taxi, Uber, Lyft;;Airport shuttle service;;Staff;8;3;47;Yes;I would consider carbon emissions among other factors
26;13;Q255;L_2025_502_SMF;layover;2025;502;SMF;0;Aggie Travel web portal;;Sacramento (SMF);Taxi, Uber, Lyft;;Airport shuttle service;;Staff;8;3;47;Yes;I would consider carbon emissions among other factors
26;13;Q255;N_1645_638_SFO;non-stop;1645;638;SFO;1;Aggie Travel web portal;;Sacramento (SMF);Taxi, Uber, Lyft;;Airport shuttle service;;Staff;8;3;47;Yes;I would consider carbon emissions among other factors
26;17;Q227;L_2433_447_SMF;layover;2433;447;SMF;1;Aggie Travel web portal;;Sacramento (SMF);Taxi, Uber, Lyft;;Airport shuttle service;;Staff;8;3;47;Yes;I would consider carbon emissions among other factors
26;17;Q227;L_2229_556_SMF;layover;2229;556;SMF;0;Aggie Travel web portal;;Sacramento (SMF);Taxi, Uber, Lyft;;Airport shuttle service;;Staff;8;3;47;Yes;I would consider carbon emissions among other factors
26;33;Q46;L_2025_502_SMF;layover;2025;502;SMF;0;Aggie Travel web portal;;Sacramento (SMF);Taxi, Uber, Lyft;;Airport shuttle service;;Staff;8;3;47;Yes;I would consider carbon emissions among other factors
26;33;Q46;L_2433_447_SFO;layover;2433;447;SFO;1;Aggie Travel web portal;;Sacramento (SMF);Taxi, Uber, Lyft;;Airport shuttle service;;Staff;8;3;47;Yes;I would consider carbon emissions among other factors
26;47;Q61;L_1821_502_SMF;layover;1821;502;SMF;0;Aggie Travel web portal;;Sacramento (SMF);Taxi, Uber, Lyft;;Airport shuttle service;;Staff;8;3;47;Yes;I would consider carbon emissions among other factors
26;47;Q61;N_1645_583_SMF;non-stop;1645;583;SMF;1;Aggie Travel web portal;;Sacramento (SMF);Taxi, Uber, Lyft;;Airport shuttle service;;Staff;8;3;47;Yes;I would consider carbon emissions among other factors
26;49;Q63;N_1645_638_SFO;non-stop;1645;638;SFO;0;Aggie Travel web portal;;Sacramento (SMF);Taxi, Uber, Lyft;;Airport shuttle service;;Staff;8;3;47;Yes;I would consider carbon emissions among other factors
26;49;Q63;N_1645_538_SFO;non-stop;1645;538;SMF;1;Aggie Travel web portal;;Sacramento (SMF);Taxi, Uber, Lyft;;Airport shuttle service;;Staff;8;3;47;Yes;I would consider carbon emissions among other factors
26;54;Q68;L_4002_761_SFO;layover;4002;761;SFO;0;Aggie Travel web portal;;Sacramento (SMF);Taxi, Uber, Lyft;;Airport shuttle service;;Staff;8;3;47;Yes;I would consider carbon emissions among other factors
26;54;Q68;N_3638_1416_SMF;non-stop;3638;1416;SMF;1;Aggie Travel web portal;;Sacramento (SMF);Taxi, Uber, Lyft;;Airport shuttle service;;Staff;8;3;47;Yes;I would consider carbon emissions among other factors
26;59;Q73;L_4331_948_SMF;layover;4331;948;SMF;1;Aggie Travel web portal;;Sacramento (SMF);Taxi, Uber, Lyft;;Airport shuttle service;;Staff;8;3;47;Yes;I would consider carbon emissions among other factors
26;59;Q73;L_4002_1135_SFO;layover;4002;1135;SFO;0;Aggie Travel web portal;;Sacramento (SMF);Taxi, Uber, Lyft;;Airport shuttle service;;Staff;8;3;47;Yes;I would consider carbon emissions among other factors
26;68;Q82;L_4167_948_SMF;layover;4167;948;SMF;1;Aggie Travel web portal;;Sacramento (SMF);Taxi, Uber, Lyft;;Airport shuttle service;;Staff;8;3;47;Yes;I would consider carbon emissions among other factors
26;68;Q82;L_4002_1135_SMF;layover;4002;1135;SMF;0;Aggie Travel web portal;;Sacramento (SMF);Taxi, Uber, Lyft;;Airport shuttle service;;Staff;8;3;47;Yes;I would consider carbon emissions among other factors
26;74;Q90;L_4331_761_SFO;layover;4331;761;SFO;1;Aggie Travel web portal;;Sacramento (SMF);Taxi, Uber, Lyft;;Airport shuttle service;;Staff;8;3;47;Yes;I would consider carbon emissions among other factors
26;74;Q90;L_3837_1135_SFO;layover;3837;1135;SFO;0;Aggie Travel web portal;;Sacramento (SMF);Taxi, Uber, Lyft;;Airport shuttle service;;Staff;8;3;47;Yes;I would consider carbon emissions among other factors
26;87;Q103;L_4331_761_SMF;layover;4331;761;SMF;1;Aggie Travel web portal;;Sacramento (SMF);Taxi, Uber, Lyft;;Airport shuttle service;;Staff;8;3;47;Yes;I would consider carbon emissions among other factors
26;87;Q103;L_4002_1135_SFO;layover;4002;1135;SFO;0;Aggie Travel web portal;;Sacramento (SMF);Taxi, Uber, Lyft;;Airport shuttle service;;Staff;8;3;47;Yes;I would consider carbon emissions among other factors
26;90;Q106;L_4331_761_SFO;layover;4331;761;SFO;0;Aggie Travel web portal;;Sacramento (SMF);Taxi, Uber, Lyft;;Airport shuttle service;;Staff;8;3;47;Yes;I would consider carbon emissions among other factors
26;90;Q106;N_3638_1603_SFO;non-stop;3638;1603;SMF;1;Aggie Travel web portal;;Sacramento (SMF);Taxi, Uber, Lyft;;Airport shuttle service;;Staff;8;3;47;Yes;I would consider carbon emissions among other factors
27;5;Q382;L_2025_502_SMF;layover;2025;502;SMF;1;Other (please specify):;Directly through airline website;Sacramento (SMF);Private vehicle,Taxi, Uber, Lyft;;Amtrak and BART;;Faculty;2;8;45;Yes;"If it is reasonably close to other alternatives, and the layovers/connections are about the same (length, etc.), I would prefer lower emissions flights. The most important criteria for me are:
- times of arrival/departure (i.e. convenience)
- ease of itinerary (prefer SMF; SFO only if things get really complex and add lots of connections)
- airline / alliance
- price"
27;5;Q382;L_2433_392_SFO;layover;2433;392;SFO;0;Other (please specify):;Directly through airline website;Sacramento (SMF);Private vehicle,Taxi, Uber, Lyft;;Amtrak and BART;;Faculty;2;8;45;Yes;"If it is reasonably close to other alternatives, and the layovers/connections are about the same (length, etc.), I would prefer lower emissions flights. The most important criteria for me are:
- times of arrival/departure (i.e. convenience)
- ease of itinerary (prefer SMF; SFO only if things get really complex and add lots of connections)
- airline / alliance
- price"
27;12;Q254;L_2025_392_SFO;layover;2025;392;SFO;0;Other (please specify):;Directly through airline website;Sacramento (SMF);Private vehicle,Taxi, Uber, Lyft;;Amtrak and BART;;Faculty;2;8;45;Yes;"If it is reasonably close to other alternatives, and the layovers/connections are about the same (length, etc.), I would prefer lower emissions flights. The most important criteria for me are:
- times of arrival/departure (i.e. convenience)
- ease of itinerary (prefer SMF; SFO only if things get really complex and add lots of connections)
- airline / alliance
- price"
27;12;Q254;N_1645_583_SMF;non-stop;1645;583;SMF;1;Other (please specify):;Directly through airline website;Sacramento (SMF);Private vehicle,Taxi, Uber, Lyft;;Amtrak and BART;;Faculty;2;8;45;Yes;"If it is reasonably close to other alternatives, and the layovers/connections are about the same (length, etc.), I would prefer lower emissions flights. The most important criteria for me are:
- times of arrival/departure (i.e. convenience)
- ease of itinerary (prefer SMF; SFO only if things get really complex and add lots of connections)
- airline / alliance
- price"
27;20;Q230;L_2025_392_SMF;layover;2025;392;SMF;1;Other (please specify):;Directly through airline website;Sacramento (SMF);Private vehicle,Taxi, Uber, Lyft;;Amtrak and BART;;Faculty;2;8;45;Yes;"If it is reasonably close to other alternatives, and the layovers/connections are about the same (length, etc.), I would prefer lower emissions flights. The most important criteria for me are:
- times of arrival/departure (i.e. convenience)
- ease of itinerary (prefer SMF; SFO only if things get really complex and add lots of connections)
- airline / alliance
- price"
27;20;Q230;L_1821_556_SMF;layover;1821;556;SMF;0;Other (please specify):;Directly through airline website;Sacramento (SMF);Private vehicle,Taxi, Uber, Lyft;;Amtrak and BART;;Faculty;2;8;45;Yes;"If it is reasonably close to other alternatives, and the layovers/connections are about the same (length, etc.), I would prefer lower emissions flights. The most important criteria for me are:
- times of arrival/departure (i.e. convenience)
- ease of itinerary (prefer SMF; SFO only if things get really complex and add lots of connections)
- airline / alliance
- price"
27;26;Q39;L_2229_447_SFO;layover;2229;447;SFO;1;Other (please specify):;Directly through airline website;Sacramento (SMF);Private vehicle,Taxi, Uber, Lyft;;Amtrak and BART;;Faculty;2;8;45;Yes;"If it is reasonably close to other alternatives, and the layovers/connections are about the same (length, etc.), I would prefer lower emissions flights. The most important criteria for me are:
- times of arrival/departure (i.e. convenience)
- ease of itinerary (prefer SMF; SFO only if things get really complex and add lots of connections)
- airline / alliance
- price"
27;26;Q39;L_2025_502_SFO;layover;2025;502;SFO;0;Other (please specify):;Directly through airline website;Sacramento (SMF);Private vehicle,Taxi, Uber, Lyft;;Amtrak and BART;;Faculty;2;8;45;Yes;"If it is reasonably close to other alternatives, and the layovers/connections are about the same (length, etc.), I would prefer lower emissions flights. The most important criteria for me are:
- times of arrival/departure (i.e. convenience)
- ease of itinerary (prefer SMF; SFO only if things get really complex and add lots of connections)
- airline / alliance
- price"
27;43;Q57;L_2229_556_SMF;layover;2229;556;SMF;1;Other (please specify):;Directly through airline website;Sacramento (SMF);Private vehicle,Taxi, Uber, Lyft;;Amtrak and BART;;Faculty;2;8;45;Yes;"If it is reasonably close to other alternatives, and the layovers/connections are about the same (length, etc.), I would prefer lower emissions flights. The most important criteria for me are:
- times of arrival/departure (i.e. convenience)
- ease of itinerary (prefer SMF; SFO only if things get really complex and add lots of connections)
- airline / alliance
- price"
