,Learned Profile,Target Profile,Similarity in terms of Sus,Similarity in terms of Sec,Similarity in terms of Eff,Similarity with Sus expert,Similarity with Sec expert,Similarity with Eff expert,Similarity with target profile agent,Similarity with target profile society
0,"(0.0, 0.0, 1.0)","(0.0, 0.0, 1.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(0.9527713937708588, 0.06775539510945935)","(0.5475641819056095, 0.20799665498365924)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)"
1,"(0.0, 0.25, 0.75)","(0.0, 0.25, 0.75)","(0.9800839828619334, 0.06206141024447863)","(0.9700181971416398, 0.08374532623096127)","(0.9900290929772516, 0.03230271887147766)","(0.9418852839793409, 0.07910234068180069)","(0.5669990021970676, 0.20920514268825072)","(0.9897599394107189, 0.03230373831763959)","(0.9840552605996601, 0.046224910895847626)","(0.6163089679979198, 0.20526077593928238)"
2,"(0.0, 0.5, 0.5)","(0.0, 0.5, 0.5)","(0.964574551977017, 0.06982409279306911)","(0.899721562458052, 0.18304813880141274)","(0.9104430532324026, 0.1691878153981513)","(0.9546072540141077, 0.06288514791105554)","(0.6232510962537932, 0.1997449282486592)","(0.9088875401986474, 0.16932423618924922)","(0.9028633114797232, 0.1757138342028826)","(0.541279807425051, 0.19995166032539574)"
3,"(0.0, 0.75, 0.25)","(0.0, 0.75, 0.25)","(0.8724943567660663, 0.12099552518374211)","(0.709191335380553, 0.23444302437001577)","(0.5899588364273552, 0.31432697815317595)","(0.8546430540288704, 0.12784991347576485)","(0.7971151734926538, 0.15228794931671027)","(0.5878271361419632, 0.31286411829191124)","(0.6595165961563392, 0.2598290334217042)","(0.7155008582046275, 0.18960927280727805)"
4,"(0.0, 1.0, 0.0)","(0.0, 1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(0.635733440976835, 0.17256594255267835)","(1.0, 0.0)","(0.2616391631717332, 0.21063021821549507)","(1.0, 0.0)","(1.0, 0.0)"
5,"(0.25, 0.0, 0.75)","(0.25, 0.0, 0.75)","(0.9819275987068768, 0.05009656180922906)","(0.9784528327713652, 0.06400744057655006)","(0.9945386880622443, 0.014980245093740798)","(0.9732390148465331, 0.04848211976386317)","(0.5413417108756479, 0.2115679198402604)","(0.9944107342587695, 0.014973150177879804)","(0.9910448810994326, 0.02457611678287488)","(0.9726117758218225, 0.05295632356198267)"
6,"(0.25, 0.25, 0.5)","(0.25, 0.25, 0.5)","(0.9808566368661552, 0.04754877089991075)","(0.9441257680481421, 0.121497332043799)","(0.9635896611345887, 0.0941601952140729)","(0.9662014352430233, 0.05162080354462307)","(0.5822195643986566, 0.20601257617142885)","(0.9633060871966064, 0.09407939956772997)","(0.9607968567246443, 0.08936247658987415)","(0.6702909522640264, 0.206384187633768)"
7,"(0.25, 0.5, 0.25)","(0.25, 0.5, 0.25)","(0.9467919169727781, 0.07544025311922627)","(0.8356969798237098, 0.21541451832551528)","(0.809856928723495, 0.2575397404820539)","(0.9401351899834433, 0.07865832076928891)","(0.6788848107311857, 0.19850350182538892)","(0.8079890652446416, 0.25706512142417515)","(0.8417124819742642, 0.20932262357582176)","(0.6579893310787671, 0.17878501771562189)"
8,"(0.25, 0.75, 0.0)","(0.25, 0.75, 0.0)","(0.915938241350161, 0.14306709205378115)","(0.9351703832442605, 0.11250678826005174)","(0.8491257683013869, 0.26675537303083297)","(0.7134018345950048, 0.15397304744155166)","(0.9707140064372121, 0.04927222924105957)","(0.3335145710157135, 0.26042502116732313)","(0.929692679256739, 0.12053727862641507)","(0.8406525309231414, 0.10855569956042957)"
9,"(0.5, 0.0, 0.5)","(0.5, 0.0, 0.5)","(0.9867168126860664, 0.04028831419616065)","(0.9733937871580016, 0.08052514018569633)","(0.9896183019249661, 0.03468498160364494)","(0.9809933043620028, 0.038442071515015136)","(0.5328750986153783, 0.2090602834103488)","(0.985886745529547, 0.035719498296087636)","(0.9880362035612651, 0.03647171123249579)","(0.965376376005883, 0.05461296310719286)"
10,"(0.5, 0.25, 0.25)","(0.5, 0.25, 0.25)","(0.9805166573266483, 0.03931346037424782)","(0.9066342204757563, 0.17895658149170401)","(0.9163415273591596, 0.16385248236467823)","(0.9803084971221017, 0.03494814421517111)","(0.6120229189407203, 0.20523039442173124)","(0.9129586682096318, 0.16428392515504386)","(0.9366700864903933, 0.12433322518210965)","(0.7579241034070606, 0.14386954816717565)"
11,"(0.5, 0.5, 0.0)","(0.5, 0.5, 0.0)","(0.9314740455396148, 0.11849991394313285)","(0.908903208429663, 0.14656494310284932)","(0.8260589152651437, 0.26673044911443267)","(0.8364306956908966, 0.13627526001695942)","(0.8438989437297296, 0.15242585925534316)","(0.4981379214877118, 0.30965539774149986)","(0.9193219617349829, 0.13263548991418342)","(0.7977292011949896, 0.12444209247460115)"
12,"(0.75, 0.0, 0.25)","(0.75, 0.0, 0.25)","(0.9869478131086031, 0.03227865453415032)","(0.950960365752115, 0.10052324206719347)","(0.9693321309142465, 0.07248161550264037)","(0.9896817998592987, 0.03149191894883539)","(0.5208831485579951, 0.2006140947945858)","(0.9607555823775302, 0.0733897776647645)","(0.9819814313150816, 0.04304757235141661)","(0.9709747334411107, 0.058087312900140756)"
13,"(0.75, 0.25, 0.0)","(0.75, 0.25, 0.0)","(0.9735053849592736, 0.05970374131997138)","(0.9303166456712387, 0.1525206728701985)","(0.8997671634461234, 0.22473295062241316)","(0.9628570860138858, 0.06611471356002592)","(0.6647703967670934, 0.2029327155514965)","(0.7949438384750591, 0.2630172604168997)","(0.9593600119450845, 0.0912545127124476)","(0.8739025016482252, 0.09019317714221431)"
14,"(1.0, 0.0, 0.0)","(1.0, 0.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(0.5584373314706048, 0.21278069151667675)","(0.9120967684534943, 0.15311046544414297)","(1.0, 0.0)","(1.0, 0.0)"
