,Learned Profile,Target Profile,Similarity in terms of Sus,Similarity in terms of Sec,Similarity in terms of Eff,Similarity with target profile agent,Similarity with target profile society
0,"(0.0110248988494277, 0.012387100607156754, 0.9765880107879639)","(0.0, 0.0, 1.0)",1.0,1.0,1.0,1.0,1.0
1,"(0.012845955789089203, 0.03885266184806824, 0.9483014345169067)","(0.0, 0.25, 0.75)",0.9899653,0.9901082,0.99227446,0.99122095,0.77205944
2,"(0.02202601358294487, 0.13829798996448517, 0.839676022529602)","(0.0, 0.5, 0.5)",0.9958212,0.99503136,0.99302775,0.99406475,0.5549391
3,"(0.022328902035951614, 0.17220471799373627, 0.8054664134979248)","(0.0, 0.75, 0.25)",1.0,1.0,1.0,1.0,0.3915143
4,"(0.0027709247078746557, 0.9938648343086243, 0.0033642041962593794)","(0.0, 1.0, 0.0)",0.96858215,0.9656783,0.96860605,0.9656783,0.9656783
5,"(0.05502750724554062, 0.01414820272475481, 0.9308242797851562)","(0.25, 0.0, 0.75)",1.0,1.0,1.0,1.0,0.92864007
6,"(0.07414352148771286, 0.038256533443927765, 0.8876000046730042)","(0.25, 0.25, 0.5)",1.0,1.0,1.0,1.0,0.7082035
7,"(0.11382362246513367, 0.13091422617435455, 0.7552621960639954)","(0.25, 0.5, 0.25)",1.0,1.0,1.0,1.0,0.51642567
8,"(0.29545828700065613, 0.6768578290939331, 0.027683880180120468)","(0.25, 0.75, 0.0)",0.96671927,0.96790475,0.96611524,0.96755177,0.589793
9,"(0.22307753562927246, 0.02139461040496826, 0.755527913570404)","(0.5, 0.0, 0.5)",0.98916274,0.9892794,0.9892532,0.9891899,0.8518747
10,"(0.2771955728530884, 0.08192181587219238, 0.6408826112747192)","(0.5, 0.25, 0.25)",1.0,1.0,1.0,1.0,0.6534009
11,"(0.5941954851150513, 0.3905937373638153, 0.015210767276585102)","(0.5, 0.5, 0.0)",0.9897989,0.98962766,0.9886441,0.9897072,0.5037474
12,"(0.38806915283203125, 0.008103492669761181, 0.6038274168968201)","(0.75, 0.0, 0.25)",0.9897402,0.98937815,0.9899812,0.9897762,0.84337455
13,"(0.8395043015480042, 0.15554191172122955, 0.0049537671729922295)","(0.75, 0.25, 0.0)",0.9890006,0.98734576,0.9903699,0.98862034,0.6892078
14,"(0.9507735967636108, 0.015446705743670464, 0.03377970680594444)","(1.0, 0.0, 0.0)",1.0,1.0,1.0,1.0,1.0
