,Learned Profile,Target Profile,Similarity in terms of Sus,Similarity in terms of Sec,Similarity in terms of Eff,Similarity with target profile agent,Similarity with target profile society
0,"(0.05746433511376381, 0.03801443800330162, 0.9045212864875793)","(0.0, 0.0, 1.0)",0.0,0.0,0.0,0.0,0.0
1,"(0.7063997387886047, 0.2736349403858185, 0.01996530219912529)","(0.0, 0.25, 0.75)",0.0,0.0,0.0,0.0,0.0
2,"(0.5278438925743103, 0.4541034400463104, 0.018052630126476288)","(0.0, 0.5, 0.5)",0.0,0.0,0.0,0.0,0.0
3,"(0.26738038659095764, 0.7019636034965515, 0.030656078830361366)","(0.0, 0.75, 0.25)",0.0,0.0,0.0,0.0,0.0
4,"(0.01196096371859312, 0.9788959622383118, 0.00914307963103056)","(0.0, 1.0, 0.0)",0.0,0.0,0.0,0.0,0.0
5,"(0.3257557451725006, 0.13241392374038696, 0.5418303608894348)","(0.25, 0.0, 0.75)",0.0,0.0,0.0,0.0,0.0
6,"(0.7208511233329773, 0.26788872480392456, 0.0112600764259696)","(0.25, 0.25, 0.5)",0.0,0.0,0.0,0.0,0.0
7,"(0.595485270023346, 0.3924504816532135, 0.012064304202795029)","(0.25, 0.5, 0.25)",0.0,0.0,0.0,0.0,0.0
8,"(0.2770404517650604, 0.699556291103363, 0.023403363302350044)","(0.25, 0.75, 0.0)",0.0,0.0,0.0,0.0,0.0
9,"(0.5543886423110962, 0.08199558407068253, 0.3636157810688019)","(0.5, 0.0, 0.5)",0.0,0.0,0.0,0.0,0.0
10,"(0.7455428838729858, 0.2446189969778061, 0.009838078171014786)","(0.5, 0.25, 0.25)",0.0,0.0,0.0,0.0,0.0
11,"(0.630831241607666, 0.36082547903060913, 0.008343243040144444)","(0.5, 0.5, 0.0)",0.0,0.0,0.0,0.0,0.0
12,"(0.7661470174789429, 0.033755555748939514, 0.2000974714756012)","(0.75, 0.0, 0.25)",0.0,0.0,0.0,0.0,0.0
13,"(0.7537428736686707, 0.2389218509197235, 0.007335259113460779)","(0.75, 0.25, 0.0)",0.0,0.0,0.0,0.0,0.0
14,"(0.9427449703216553, 0.01950833387672901, 0.03774673119187355)","(1.0, 0.0, 0.0)",0.0,0.0,0.0,0.0,0.0
