,Learned Profile,Target Profile,Similarity in terms of Sus,Similarity in terms of Sec,Similarity in terms of Eff,Similarity with Sus expert,Similarity with Sec expert,Similarity with Eff expert,Similarity with target profile agent,Similarity with target profile society
0,"(0.0, 0.0, 1.0)","(0.0, 0.0, 1.0)",,,,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
1,"(0.0, 0.25, 0.75)","(0.0, 0.25, 0.75)",,,,"(3.3684210526315788, 10.003738913214764)","(3.3684210526315788, 10.003738913214764)","(3.3684210526315788, 10.003738913214764)","(3.3684210526315788, 10.003738913214764)","(14.19078947368421, 9.98253972577777)"
2,"(0.0, 0.5, 0.5)","(0.0, 0.5, 0.5)",,,,"(5.302631578947368, 10.457960625438082)","(5.302631578947368, 10.457960625438082)","(5.302631578947368, 10.457960625438082)","(5.302631578947368, 10.457960625438082)","(15.171052631578947, 8.820040216364239)"
3,"(0.0, 0.75, 0.25)","(0.0, 0.75, 0.25)",,,,"(13.894736842105264, 12.554700259861182)","(13.894736842105264, 12.554700259861182)","(13.894736842105264, 12.554700259861182)","(13.894736842105264, 12.554700259861182)","(15.842105263157896, 8.27377377077548)"
4,"(0.0, 1.0, 0.0)","(0.0, 1.0, 0.0)",,,,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
5,"(0.25, 0.0, 0.75)","(0.25, 0.0, 0.75)",,,,"(2.6842105263157894, 7.084472506300012)","(2.6842105263157894, 7.084472506300012)","(2.6842105263157894, 7.084472506300012)","(2.6842105263157894, 7.084472506300012)","(4.171052631578948, 6.596227306683756)"
6,"(0.25, 0.25, 0.5)","(0.25, 0.25, 0.5)",,,,"(2.710526315789474, 6.494564102454176)","(2.710526315789474, 6.494564102454176)","(2.710526315789474, 6.494564102454176)","(2.710526315789474, 6.494564102454176)","(11.265350877192981, 7.432453021568375)"
7,"(0.25, 0.5, 0.25)","(0.25, 0.5, 0.25)",,,,"(7.118421052631579, 9.935273557623864)","(7.118421052631579, 9.935273557623864)","(7.118421052631579, 9.935273557623864)","(7.118421052631579, 9.935273557623864)","(13.938596491228068, 8.58917966903058)"
8,"(0.25, 0.75, 0.0)","(0.25, 0.75, 0.0)",,,,"(4.802631578947368, 8.274914114424876)","(4.802631578947368, 8.274914114424876)","(4.802631578947368, 8.274914114424876)","(4.802631578947368, 8.274914114424876)","(14.06578947368421, 8.327720870865395)"
9,"(0.5, 0.0, 0.5)","(0.5, 0.0, 0.5)",,,,"(2.486842105263158, 7.777317595101106)","(2.486842105263158, 7.777317595101106)","(2.486842105263158, 7.777317595101106)","(2.486842105263158, 7.777317595101106)","(4.309210526315789, 5.655090339256515)"
10,"(0.5, 0.25, 0.25)","(0.5, 0.25, 0.25)",,,,"(3.4210526315789473, 6.704796315236494)","(3.4210526315789473, 6.704796315236494)","(3.4210526315789473, 6.704796315236494)","(3.4210526315789473, 6.704796315236494)","(11.660087719298245, 6.455620018004988)"
11,"(0.5, 0.5, 0.0)","(0.5, 0.5, 0.0)",,,,"(6.723684210526316, 10.347385487483919)","(6.723684210526316, 10.347385487483919)","(6.723684210526316, 10.347385487483919)","(6.723684210526316, 10.347385487483919)","(14.769736842105264, 7.604725327003532)"
12,"(0.75, 0.0, 0.25)","(0.75, 0.0, 0.25)",,,,"(2.8552631578947367, 6.75064119248648)","(2.8552631578947367, 6.75064119248648)","(2.8552631578947367, 6.75064119248648)","(2.8552631578947367, 6.75064119248648)","(4.217105263157895, 5.609165154081468)"
13,"(0.75, 0.25, 0.0)","(0.75, 0.25, 0.0)",,,,"(3.0, 6.082762530298219)","(3.0, 6.082762530298219)","(3.0, 6.082762530298219)","(3.0, 6.082762530298219)","(13.855263157894736, 8.526975689213153)"
14,"(1.0, 0.0, 0.0)","(1.0, 0.0, 0.0)",,,,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
