,Learned Profile,Target Profile,Similarity in terms of Sus,Similarity in terms of Sec,Similarity in terms of Eff,Similarity with Sus expert,Similarity with Sec expert,Similarity with Eff expert,Similarity with target profile agent,Similarity with target profile society
0,"(0.011582398787140846, 0.01114706788212061, 0.9772705435752869)","(0.0, 0.0, 1.0)",,,,"(0.11842105263157894, 1.0255563992184138)","(0.11842105263157894, 1.0255563992184138)","(0.11842105263157894, 1.0255563992184138)","(0.11842105263157894, 1.0255563992184138)","(0.11842105263157894, 1.0255563992184138)"
1,"(0.680772602558136, 0.3072734475135803, 0.01195400021970272)","(0.0, 0.25, 0.75)",,,,"(9.986842105263158, 11.195033463024)","(9.986842105263158, 11.195033463024)","(9.986842105263158, 11.195033463024)","(9.986842105263158, 11.195033463024)","(15.605263157894736, 8.16415294759968)"
2,"(0.5124002695083618, 0.4783281981945038, 0.009271519258618355)","(0.0, 0.5, 0.5)",,,,"(15.486842105263158, 12.8026451019564)","(15.486842105263158, 12.8026451019564)","(15.486842105263158, 12.8026451019564)","(15.486842105263158, 12.8026451019564)","(15.644736842105264, 7.539289976635768)"
3,"(0.2815394997596741, 0.7072862982749939, 0.011174187995493412)","(0.0, 0.75, 0.25)",,,,"(20.763157894736842, 13.309937345193026)","(20.763157894736842, 13.309937345193026)","(20.763157894736842, 13.309937345193026)","(20.763157894736842, 13.309937345193026)","(14.802631578947368, 8.52514814941823)"
4,"(0.0032893852330744267, 0.9943851232528687, 0.0023255168925970793)","(0.0, 1.0, 0.0)",,,,"(0.881578947368421, 3.418090823156439)","(0.881578947368421, 3.418090823156439)","(0.881578947368421, 3.418090823156439)","(0.881578947368421, 3.418090823156439)","(0.881578947368421, 3.418090823156439)"
5,"(0.3125540614128113, 0.12261566519737244, 0.5648302435874939)","(0.25, 0.0, 0.75)",,,,"(2.3947368421052633, 6.224059741646928)","(2.3947368421052633, 6.224059741646928)","(2.3947368421052633, 6.224059741646928)","(2.3947368421052633, 6.224059741646928)","(4.4868421052631575, 5.821338743325537)"
6,"(0.7217391133308411, 0.274302214384079, 0.00395860755816102)","(0.25, 0.25, 0.5)",,,,"(9.0, 9.673621212783818)","(9.0, 9.673621212783818)","(9.0, 9.673621212783818)","(9.0, 9.673621212783818)","(13.037280701754385, 7.190881098168023)"
7,"(0.5444930195808411, 0.448181688785553, 0.007325228303670883)","(0.25, 0.5, 0.25)",,,,"(13.947368421052632, 11.358853186231928)","(13.947368421052632, 11.358853186231928)","(13.947368421052632, 11.358853186231928)","(13.947368421052632, 11.358853186231928)","(15.377192982456142, 8.011156713405024)"
8,"(0.3274773061275482, 0.6644787788391113, 0.008043920621275902)","(0.25, 0.75, 0.0)",,,,"(0.868421052631579, 4.560534667590373)","(0.868421052631579, 4.560534667590373)","(0.868421052631579, 4.560534667590373)","(0.868421052631579, 4.560534667590373)","(13.756578947368421, 7.846593889377731)"
9,"(0.6085922718048096, 0.06905514746904373, 0.3223525881767273)","(0.5, 0.0, 0.5)",,,,"(3.013157894736842, 7.494723443956091)","(3.013157894736842, 7.494723443956091)","(3.013157894736842, 7.494723443956091)","(3.013157894736842, 7.494723443956091)","(4.427631578947368, 5.652028017125462)"
10,"(0.7422652840614319, 0.2546698749065399, 0.0030648810788989067)","(0.5, 0.25, 0.25)",,,,"(7.447368421052632, 9.575729650420909)","(7.447368421052632, 9.575729650420909)","(7.447368421052632, 9.575729650420909)","(7.447368421052632, 9.575729650420909)","(13.021929824561402, 6.851193076258676)"
11,"(0.5238299369812012, 0.4707726836204529, 0.005397418513894081)","(0.5, 0.5, 0.0)",,,,"(4.565789473684211, 8.572194226125275)","(4.565789473684211, 8.572194226125275)","(4.565789473684211, 8.572194226125275)","(4.565789473684211, 8.572194226125275)","(15.269736842105264, 7.8444754233530505)"
12,"(0.728286623954773, 0.05036165937781334, 0.22135169804096222)","(0.75, 0.0, 0.25)",,,,"(2.460526315789474, 5.930387378564218)","(2.460526315789474, 5.930387378564218)","(2.460526315789474, 5.930387378564218)","(2.460526315789474, 5.930387378564218)","(4.519736842105263, 6.109440919740575)"
13,"(0.6966024041175842, 0.30115750432014465, 0.0022400885354727507)","(0.75, 0.25, 0.0)",,,,"(5.421052631578948, 8.67734976199339)","(5.421052631578948, 8.67734976199339)","(5.421052631578948, 8.67734976199339)","(5.421052631578948, 8.67734976199339)","(14.730263157894736, 8.729276507924386)"
14,"(0.9195647239685059, 0.02128434181213379, 0.059150923043489456)","(1.0, 0.0, 0.0)",,,,"(0.2236842105263158, 1.9371620874125601)","(0.2236842105263158, 1.9371620874125601)","(0.2236842105263158, 1.9371620874125601)","(0.2236842105263158, 1.9371620874125601)","(0.2236842105263158, 1.9371620874125601)"
