,Policy,sus,sec,eff
0,Exp + P,"(0.38025577670257343, 0.11126354636423477)","(0.2918051385173672, 0.09969641974686427)","(0.21393223941375158, 0.10671546813275944)"
1,VL + P,"(0.38025577670257343, 0.11126354636423477)","(0.2918051385173672, 0.09969641974686427)","(0.21393223941375158, 0.10671546813275944)"
2,"Expert (0.0, 0.0, 1.0)","(0.4027201077383085, 0.12472095606301664)","(0.5896176209330166, 0.2227459038437514)","(0.21393223878993395, 0.1067154682539768)"
3,"Expert (0.0, 0.25, 0.75)","(0.4028674413765609, 0.12463013968572838)","(0.5874272079427579, 0.22197267759306466)","(0.213979365893465, 0.10669751383310419)"
4,"Expert (0.0, 0.5, 0.5)","(0.4103880063768501, 0.13884456765111633)","(0.5788209647810283, 0.21033457469868008)","(0.21443644523472022, 0.10707836923075388)"
5,"Expert (0.0, 0.75, 0.25)","(0.40942044636099845, 0.13741573848305827)","(0.5737722721418035, 0.21091107530796538)","(0.21504364492743902, 0.10852920912738166)"
6,"Expert (0.0, 1.0, 0.0)","(0.6477393075283066, 0.2361832086347883)","(0.2918051385056874, 0.09969641656120663)","(1.0907190222692167, 0.5074766754880546)"
7,"Expert (0.25, 0.0, 0.75)","(0.4011410429742874, 0.12268364241054362)","(0.592193416721114, 0.2234686967567687)","(0.21395527960703475, 0.10671268502777484)"
8,"Expert (0.25, 0.25, 0.5)","(0.40171453435629556, 0.12254669768427691)","(0.5883153200511037, 0.22316150815816935)","(0.21398448990313276, 0.10670429238828745)"
9,"Expert (0.25, 0.5, 0.25)","(0.4009782037694669, 0.1212448718997904)","(0.5788326984276002, 0.2189080362198283)","(0.21479698707882658, 0.10835386061454753)"
10,"Expert (0.25, 0.75, 0.0)","(0.5094783728763057, 0.1867359590385049)","(0.32776149622402856, 0.11753409635943045)","(0.7317764654634582, 0.42545221287865664)"
11,"Expert (0.5, 0.0, 0.5)","(0.39477771635038633, 0.11876015382284098)","(0.6022129209748911, 0.2285584391460929)","(0.21472996327218807, 0.10694905430388923)"
12,"Expert (0.5, 0.25, 0.25)","(0.3952277844211111, 0.11789069206907625)","(0.589823182310762, 0.22435896806297392)","(0.2149527714833599, 0.10797441487877871)"
13,"Expert (0.5, 0.5, 0.0)","(0.4318968428683308, 0.14177144151406518)","(0.4115705620832542, 0.1860892400584511)","(0.46349674451132733, 0.30640996701723444)"
14,"Expert (0.75, 0.0, 0.25)","(0.3898019181797281, 0.11303388307455756)","(0.608546416262949, 0.23452435103909963)","(0.21613906826831608, 0.10839280853671358)"
15,"Expert (0.75, 0.25, 0.0)","(0.38514371238048434, 0.11357921989777425)","(0.5312928840737042, 0.22238138934934082)","(0.2671347751188717, 0.16955037122753935)"
16,"Expert (1.0, 0.0, 0.0)","(0.38025577663517507, 0.11126355395736716)","(0.590937801081485, 0.2374247621512469)","(0.24652831641287776, 0.14015597125618823)"
17,"Society (0.0, 0.0, 1.0)","(0.4027201077383085, 0.12472095606301664)","(0.5896176209330166, 0.2227459038437514)","(0.21393223878993395, 0.1067154682539768)"
18,"Society (0.0, 0.25, 0.75)","(0.463764807174065, 0.13851333268600902)","(0.5149057138690726, 0.18786785585813998)","(0.4312196002035834, 0.1995472968015534)"
19,"Society (0.0, 0.5, 0.5)","(0.5255812940128014, 0.16743743558404867)","(0.43808922662057354, 0.15655359458287438)","(0.6573937670193309, 0.3082547484548185)"
20,"Society (0.0, 0.75, 0.25)","(0.5907142056552784, 0.20252208074241254)","(0.3614209698594143, 0.12628741341562355)","(0.8833260672152775, 0.4165901463179596)"
21,"Society (0.0, 1.0, 0.0)","(0.6477393075283066, 0.2361832086347883)","(0.2918051385056874, 0.09969641656120663)","(1.0907190222692167, 0.5074766754880546)"
22,"Society (0.25, 0.0, 0.75)","(0.3975121625849218, 0.12116850670107104)","(0.5872450837435806, 0.22102453708506883)","(0.22316377996650866, 0.11378412116151335)"
23,"Society (0.25, 0.25, 0.5)","(0.4564777953509628, 0.1406396084644107)","(0.5173040830579051, 0.19797529212867548)","(0.43498351335216084, 0.20807702213989313)"
24,"Society (0.25, 0.5, 0.25)","(0.5176206599554126, 0.16444739033069877)","(0.4472001953972435, 0.1593814855967933)","(0.6514612215474221, 0.2986585729863916)"
25,"Society (0.25, 0.75, 0.0)","(0.5836982089997802, 0.2024696800548836)","(0.36423265942401867, 0.12539863487581537)","(0.8877705987554357, 0.4123313159071769)"
26,"Society (0.5, 0.0, 0.5)","(0.3917484385106946, 0.11732045720287684)","(0.5930756153749444, 0.2220595442949766)","(0.22991554710170012, 0.11845207490085737)"
27,"Society (0.5, 0.25, 0.25)","(0.45193593344332544, 0.1370786511927445)","(0.5156909569898409, 0.19387346683525158)","(0.4466046053721297, 0.2051913945475104)"
28,"Society (0.5, 0.5, 0.0)","(0.512206472145657, 0.16240317134370058)","(0.442685419126256, 0.16720136089352663)","(0.6642196826562883, 0.29946504468243507)"
29,"Society (0.75, 0.0, 0.25)","(0.3855081940561496, 0.11399737546082347)","(0.5922467637824745, 0.2266551985200958)","(0.23954844818202362, 0.1325963585813411)"
30,"Society (0.75, 0.25, 0.0)","(0.4480139369889481, 0.1426313623248751)","(0.5137299354541985, 0.20106084710598698)","(0.4615332140361715, 0.24823723995810906)"
31,"Society (1.0, 0.0, 0.0)","(0.38025577663517507, 0.11126355395736716)","(0.590937801081485, 0.2374247621512469)","(0.24652831641287776, 0.14015597125618823)"
32,"Learning(0.0, 0.0, 1.0)_result_(0.01, 0.01, 0.98)","(0.4028674413765609, 0.12463013968572838)","(0.5874272079427579, 0.22197267759306466)","(0.213979365893465, 0.10669751383310419)"
33,"Learning(0.0, 0.25, 0.75)_result_(0.68, 0.31, 0.01)","(0.4066668529519934, 0.12736664304855508)","(0.4615316742465917, 0.19972231304098195)","(0.3581973939887432, 0.2437219920192829)"
34,"Learning(0.0, 0.5, 0.5)_result_(0.51, 0.48, 0.01)","(0.4595586624031727, 0.16132170883813315)","(0.37148203625704473, 0.1425802900275195)","(0.55675883896076, 0.35026465643380555)"
35,"Learning(0.0, 0.75, 0.25)_result_(0.28, 0.71, 0.01)","(0.5255929413029471, 0.18468766850611892)","(0.31904885873001676, 0.11093070852529639)","(0.7720119047421337, 0.4161511159987029)"
36,"Learning(0.0, 1.0, 0.0)_result_(0.0, 0.99, 0.0)","(0.6259012314648748, 0.23323329815348648)","(0.2922414229157623, 0.09993336595270651)","(1.040000859447709, 0.5000062036549159)"
37,"Learning(0.25, 0.0, 0.75)_result_(0.31, 0.12, 0.56)","(0.39437766071090374, 0.11772700917606205)","(0.5821542663945461, 0.22256901786557798)","(0.21676344613392998, 0.10900948105641543)"
38,"Learning(0.25, 0.25, 0.5)_result_(0.72, 0.27, 0.0)","(0.4015904564278715, 0.1208362087098963)","(0.47455399120257136, 0.21214638137375444)","(0.3418459327673956, 0.22141609055367803)"
39,"Learning(0.25, 0.5, 0.25)_result_(0.54, 0.45, 0.01)","(0.4536035254277522, 0.16006719417734108)","(0.37903990842977164, 0.14923094693545802)","(0.5338121788066162, 0.3454023499958402)"
40,"Learning(0.25, 0.75, 0.0)_result_(0.33, 0.66, 0.01)","(0.520554331853514, 0.18420401776151735)","(0.32145320562822716, 0.11387467990004696)","(0.7612302599177623, 0.41841254851222087)"
41,"Learning(0.5, 0.0, 0.5)_result_(0.61, 0.07, 0.32)","(0.3864272184483094, 0.11164148930607419)","(0.5941146269959925, 0.23654636267688672)","(0.22179640749259547, 0.110891990432695)"
42,"Learning(0.5, 0.25, 0.25)_result_(0.74, 0.25, 0.0)","(0.39804451580551503, 0.12087186149881671)","(0.4849450371778068, 0.20999395397180343)","(0.3239720823085487, 0.21006101605904967)"
43,"Learning(0.5, 0.5, 0.0)_result_(0.52, 0.47, 0.01)","(0.4595586624031727, 0.16132170883813315)","(0.37148203625704473, 0.1425802900275195)","(0.55675883896076, 0.35026465643380555)"
44,"Learning(0.75, 0.0, 0.25)_result_(0.73, 0.05, 0.22)","(0.383597923410554, 0.11118373647360884)","(0.5924376585163899, 0.24123413311660724)","(0.22949040558542996, 0.12078003302838414)"
45,"Learning(0.75, 0.25, 0.0)_result_(0.7, 0.3, 0.0)","(0.40830055740202387, 0.12987118034502923)","(0.4575440236175813, 0.19927194862903042)","(0.3652750926213278, 0.2597564948513976)"
46,"Learning(1.0, 0.0, 0.0)_result_(0.92, 0.02, 0.06)","(0.38029325149928855, 0.11126545871558854)","(0.5894530432346264, 0.2375202963567443)","(0.2464737127711966, 0.14013026939275458)"
