,Learned Profile,Target Profile,Similarity in terms of Sus,Similarity in terms of Sec,Similarity in terms of Eff,Similarity with Sus expert,Similarity with Sec expert,Similarity with Eff expert,Similarity with target profile agent,Similarity with target profile society
0,"(0.0110248988494277, 0.012387100607156754, 0.9765880107879639)","(0.0, 0.0, 1.0)","(0.9995556116227364, 0.0038485162385666198)","(0.9970804303219524, 0.025284215093080282)","(0.9997308464334673, 0.0023309382613645986)","(0.959536433082935, 0.05894257971368286)","(0.5577027836076024, 0.20048429661589526)","(0.9997308464334673, 0.0023309382613645986)","(0.9997308464334673, 0.0023309382613645986)","(0.9997308464334673, 0.0023309382613645986)"
1,"(0.012845955789089203, 0.03885266184806824, 0.9483014345169067)","(0.0, 0.25, 0.75)","(0.9985368905166557, 0.009108689795086033)","(0.9970645594977949, 0.01928046175541572)","(0.9996034427002842, 0.00247458460257656)","(0.954923085390387, 0.06452648789445052)","(0.5594475121890675, 0.19907694414292304)","(0.9991148922913363, 0.003829018917568393)","(0.9989073899520933, 0.007105521697506991)","(0.6152749073328304, 0.22112118733349942)"
2,"(0.02202601358294487, 0.13829798996448517, 0.839676022529602)","(0.0, 0.5, 0.5)","(0.9969565834546718, 0.02615212756984725)","(0.9920660337114274, 0.049225045008464904)","(0.9986753944016636, 0.008076458497448447)","(0.9525521340270302, 0.06739837670941536)","(0.5684633102600243, 0.2012678639807231)","(0.9970709698845083, 0.009477449464319481)","(0.9948259351533197, 0.0320867292522944)","(0.5092091018658266, 0.18905392035760046)"
3,"(0.022328902035951614, 0.17220471799373627, 0.8054664134979248)","(0.0, 0.75, 0.25)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(0.9507882637472849, 0.0678859359447362)","(0.5687700119199508, 0.20111759319222494)","(0.9969311455864341, 0.009511533092185958)","(1.0, 0.0)","(0.48884056828640216, 0.1799180513509974)"
4,"(0.0027709247078746557, 0.9938648343086243, 0.0033642041962593794)","(0.0, 1.0, 0.0)","(0.9774436146104183, 0.09389923782211358)","(0.9988568658594266, 0.004605943383209525)","(0.9719623705478986, 0.11607843835328244)","(0.643051230436187, 0.15629435120560303)","(0.9988568658594266, 0.004605943383209525)","(0.26665780078014284, 0.2054688867679948)","(0.9988568658594266, 0.004605943383209525)","(0.9988568658594266, 0.004605943383209525)"
5,"(0.05502750724554062, 0.01414820272475481, 0.9308242797851562)","(0.25, 0.0, 0.75)","(0.998501591301705, 0.009858813380140958)","(0.9942459203906526, 0.0350046272037821)","(0.9996172100352426, 0.002518053657026851)","(0.9612098666428381, 0.05743921808517169)","(0.5571346798906215, 0.2004582074049467)","(0.9997164260620179, 0.0023326179762096578)","(0.9993244160924072, 0.004120392957186745)","(0.9800498640981125, 0.037609212619035506)"
6,"(0.07414352148771286, 0.038256533443927765, 0.8876000046730042)","(0.25, 0.25, 0.5)","(0.9969799910264988, 0.026154044907090047)","(0.9952464701203866, 0.041166776333935555)","(0.9993828374930119, 0.00534478409314961)","(0.9641270476100089, 0.051688103586719804)","(0.5610479303890364, 0.20269916103864988)","(0.9990992635550299, 0.005801534385001813)","(0.9974492022444192, 0.022090556562493237)","(0.6667651729684106, 0.18442322109656997)"
7,"(0.11382362246513367, 0.13091422617435455, 0.7552621960639954)","(0.25, 0.5, 0.25)","(0.9967331725528349, 0.02829155559025133)","(0.9980184496950756, 0.017160729029413044)","(0.9997806031575848, 0.001900032390416868)","(0.9578607575707797, 0.05821461965705653)","(0.5671220801726191, 0.20205504341661984)","(0.9972496822672082, 0.009138510744481744)","(0.998035943909266, 0.017009224690332513)","(0.6015767211988967, 0.17136517724630257)"
8,"(0.29545828700065613, 0.6768578290939331, 0.027683880180120468)","(0.25, 0.75, 0.0)","(0.9840024690805488, 0.07287102792025596)","(0.9864943525672025, 0.05825543747727562)","(0.9668859005181732, 0.1415974817316981)","(0.775244873203642, 0.1645061087913551)","(0.913948070454769, 0.1085657483961796)","(0.44418061529591424, 0.31403059626566665)","(0.9857548202550136, 0.06227072185924763)","(0.8204110753350958, 0.1221591279129968)"
9,"(0.22307753562927246, 0.02139461040496826, 0.755527913570404)","(0.5, 0.0, 0.5)","(0.9972291080529353, 0.020461909721936976)","(0.9917990443592729, 0.051965667615771025)","(0.9992206541262025, 0.004967982216098616)","(0.9708694299154224, 0.049108518512910045)","(0.5555058308551393, 0.20234561699223044)","(0.996980156007891, 0.0095595373416989)","(0.9981540276870553, 0.013217779064661317)","(0.9687767419196064, 0.052103224492757595)"
10,"(0.2771955728530884, 0.08192181587219238, 0.6408826112747192)","(0.5, 0.25, 0.25)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(0.9668122299580214, 0.05054036423968194)","(0.5598779284122899, 0.200465838642846)","(0.9977270351218881, 0.009504868392394917)","(1.0, 0.0)","(0.7412827111542801, 0.1597353978665327)"
