,Learned Profile,Target Profile,Similarity in terms of Sus,Similarity in terms of Sec,Similarity in terms of Eff,Similarity with Sus expert,Similarity with Sec expert,Similarity with Eff expert,Similarity with target profile agent,Similarity with target profile society
0,"(0.0, 0.0, 1.0)","(0.0, 0.0, 1.0)",,,,"(8.013157894736842, 10.87790302577786)","(25.69736842105263, 10.514425850683864)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
1,"(0.0, 0.25, 0.75)","(0.0, 0.25, 0.75)",,,,"(9.986842105263158, 12.49472880547784)","(25.960526315789473, 11.239545773592273)","(3.289473684210526, 9.001192595653329)","(2.776315789473684, 8.439566408497235)","(14.078947368421053, 9.236317274038587)"
2,"(0.0, 0.5, 0.5)","(0.0, 0.5, 0.5)",,,,"(10.68421052631579, 12.996163934342713)","(24.789473684210527, 11.812477557175766)","(5.9868421052631575, 10.975443188573095)","(4.5394736842105265, 9.03711759687976)","(15.388157894736842, 9.222255220036491)"
3,"(0.0, 0.75, 0.25)","(0.0, 0.75, 0.25)",,,,"(15.43421052631579, 12.986162196247882)","(19.17105263157895, 11.718617843206793)","(13.18421052631579, 12.094703632403677)","(12.328947368421053, 11.912386474739042)","(16.55263157894737, 8.936390323959706)"
4,"(0.0, 1.0, 0.0)","(0.0, 1.0, 0.0)",,,,"(25.605263157894736, 10.578129059736044)","(0.0, 0.0)","(25.69736842105263, 10.514425850683864)","(0.0, 0.0)","(0.0, 0.0)"
5,"(0.25, 0.0, 0.75)","(0.25, 0.0, 0.75)",,,,"(5.697368421052632, 9.681805693972837)","(26.039473684210527, 10.447161273300997)","(2.473684210526316, 6.995249674281839)","(1.9342105263157894, 5.845230908760689)","(3.973684210526316, 5.546392104238685)"
6,"(0.25, 0.25, 0.5)","(0.25, 0.25, 0.5)",,,,"(8.013157894736842, 11.1136395822675)","(24.75, 10.520812706250407)","(3.0, 7.0206462440583435)","(2.473684210526316, 6.201599293328605)","(11.585526315789474, 6.451035402470471)"
7,"(0.25, 0.5, 0.25)","(0.25, 0.5, 0.25)",,,,"(11.394736842105264, 13.025358816522829)","(22.86842105263158, 12.1051773452336)","(7.644736842105263, 10.987677245284255)","(7.328947368421052, 10.531141985727176)","(14.199561403508772, 8.476274927687182)"
8,"(0.25, 0.75, 0.0)","(0.25, 0.75, 0.0)",,,,"(21.592105263157894, 11.102604757892282)","(7.671052631578948, 10.89228137851795)","(21.68421052631579, 11.427356979399306)","(4.381578947368421, 8.083392828026383)","(14.546052631578947, 7.591623513859028)"
9,"(0.5, 0.0, 0.5)","(0.5, 0.0, 0.5)",,,,"(3.763157894736842, 7.165098928785267)","(25.81578947368421, 10.28247170561297)","(4.565789473684211, 9.20002220580242)","(3.0526315789473686, 8.252423466763702)","(4.1644736842105265, 5.759653314387859)"
10,"(0.5, 0.25, 0.25)","(0.5, 0.25, 0.25)",,,,"(7.302631578947368, 10.940051641418222)","(24.06578947368421, 10.831648956348863)","(4.315789473684211, 7.619591310900629)","(3.789473684210526, 7.275256894494271)","(11.451754385964913, 6.955939854635833)"
11,"(0.5, 0.5, 0.0)","(0.5, 0.5, 0.0)",,,,"(15.657894736842104, 12.136886611503735)","(14.447368421052632, 11.376793943955093)","(16.25, 12.050469525685449)","(7.368421052631579, 10.968666024135773)","(15.052631578947368, 7.169736721368478)"
12,"(0.75, 0.0, 0.25)","(0.75, 0.0, 0.25)",,,,"(1.881578947368421, 5.173228415966891)","(26.56578947368421, 10.000441472249573)","(6.421052631578948, 10.40402649520941)","(2.8026315789473686, 6.884421270716005)","(3.9078947368421053, 5.331578297916519)"
13,"(0.75, 0.25, 0.0)","(0.75, 0.25, 0.0)",,,,"(8.0, 10.622716472878201)","(22.86842105263158, 11.464294806121396)","(8.039473684210526, 10.175358249834026)","(3.526315789473684, 6.544329976983543)","(15.052631578947368, 7.740690056350043)"
14,"(1.0, 0.0, 0.0)","(1.0, 0.0, 0.0)",,,,"(0.0, 0.0)","(25.605263157894736, 10.578129059736044)","(8.013157894736842, 10.87790302577786)","(0.0, 0.0)","(0.0, 0.0)"
