,Learned Profile,Target Profile,Similarity in terms of Sus,Similarity in terms of Sec,Similarity in terms of Eff,Similarity with Sus expert,Similarity with Sec expert,Similarity with Eff expert,Similarity with target profile agent,Similarity with target profile society
0,"(0.0110248988494277, 0.012387100607156754, 0.9765880107879639)","(0.0, 0.0, 1.0)",,,,"(8.131578947368421, 10.83894307488555)","(25.63157894736842, 10.540451035569635)","(0.11842105263157894, 1.0255563992184138)","(0.11842105263157894, 1.0255563992184138)","(0.11842105263157894, 1.0255563992184138)"
1,"(0.012845955789089203, 0.03885266184806824, 0.9483014345169067)","(0.0, 0.25, 0.75)",,,,"(8.81578947368421, 11.135186674298199)","(25.736842105263158, 10.66273444371445)","(1.118421052631579, 5.067873802231686)","(0.6052631578947368, 3.69593997504951)","(12.407894736842104, 7.422720510594034)"
2,"(0.02202601358294487, 0.13829798996448517, 0.839676022529602)","(0.0, 0.5, 0.5)",,,,"(9.263157894736842, 12.052918865801578)","(25.894736842105264, 11.133849463600464)","(2.223684210526316, 7.651279019688087)","(0.2236842105263158, 1.363033422482121)","(14.05921052631579, 8.06061212302043)"
3,"(0.022328902035951614, 0.17220471799373627, 0.8054664134979248)","(0.0, 0.75, 0.25)",,,,"(9.552631578947368, 12.091095828664587)","(26.0, 11.190926775976294)","(2.513157894736842, 7.971154279903043)","(0.0, 0.0)","(14.848684210526315, 8.805657473003134)"
4,"(0.0027709247078746557, 0.9938648343086243, 0.0033642041962593794)","(0.0, 1.0, 0.0)",,,,"(25.13157894736842, 10.630569258985293)","(0.7631578947368421, 3.2882102836962988)","(25.25, 10.55826565702012)","(0.7631578947368421, 3.2882102836962988)","(0.7631578947368421, 3.2882102836962988)"
5,"(0.05502750724554062, 0.01414820272475481, 0.9308242797851562)","(0.25, 0.0, 0.75)",,,,"(7.776315789473684, 10.419615464430192)","(25.61842105263158, 10.526866761896185)","(0.5263157894736842, 3.665176394873809)","(0.3026315789473684, 1.884980363168032)","(3.986842105263158, 5.449513307705444)"
6,"(0.07414352148771286, 0.038256533443927765, 0.8876000046730042)","(0.25, 0.25, 0.5)",,,,"(7.684210526315789, 10.377367233191702)","(25.526315789473685, 10.483663587509211)","(0.6447368421052632, 3.7895422142926196)","(0.11842105263157894, 1.0255563992184138)","(11.013157894736842, 5.679536672240664)"
7,"(0.11382362246513367, 0.13091422617435455, 0.7552621960639954)","(0.25, 0.5, 0.25)",,,,"(8.513157894736842, 10.752592613990249)","(25.69736842105263, 10.609106982660185)","(2.236842105263158, 6.535064170450919)","(0.39473684210526316, 3.4185213307280478)","(12.585526315789474, 6.624896193661668)"
8,"(0.29545828700065613, 0.6768578290939331, 0.027683880180120468)","(0.25, 0.75, 0.0)",,,,"(18.723684210526315, 12.1607637877017)","(10.513157894736842, 10.817254030692952)","(19.13157894736842, 12.379250578098265)","(1.0394736842105263, 4.680420554298188)","(14.5, 7.214750971374367)"
9,"(0.22307753562927246, 0.02139461040496826, 0.755527913570404)","(0.5, 0.0, 0.5)",,,,"(6.618421052631579, 10.392263196678115)","(25.907894736842106, 10.432966010602803)","(1.7894736842105263, 5.326981443738944)","(0.35526315789473684, 2.280950559977948)","(4.203947368421052, 5.599681400464102)"
10,"(0.2771955728530884, 0.08192181587219238, 0.6408826112747192)","(0.5, 0.25, 0.25)",,,,"(7.197368421052632, 10.29948866492909)","(25.723684210526315, 10.348657024757681)","(1.131578947368421, 4.727695848216231)","(0.0, 0.0)","(10.877192982456142, 6.083625829368834)"
11,"(0.5941954851150513, 0.3905937373638153, 0.015210767276585102)","(0.5, 0.5, 0.0)",,,,"(11.947368421052632, 12.013035394544614)","(20.105263157894736, 12.200710664556455)","(11.25, 11.597555323156868)","(0.47368421052631576, 3.6687646142828316)","(16.11842105263158, 7.950450343522682)"
12,"(0.38806915283203125, 0.008103492669761181, 0.6038274168968201)","(0.75, 0.0, 0.25)",,,,"(4.644736842105263, 8.455306566959841)","(26.039473684210527, 10.214077990532278)","(3.6578947368421053, 8.21512185830584)","(0.25, 2.165063509461097)","(4.2894736842105265, 6.002884809721169)"
13,"(0.8395043015480042, 0.15554191172122955, 0.0049537671729922295)","(0.75, 0.25, 0.0)",,,,"(5.171052631578948, 8.936012530463367)","(24.11842105263158, 10.810529839081063)","(6.526315789473684, 9.264353989763421)","(0.4342105263157895, 3.142809363057322)","(14.217105263157896, 7.41368556965844)"
14,"(0.9507735967636108, 0.015446705743670464, 0.03377970680594444)","(1.0, 0.0, 0.0)",,,,"(0.2236842105263158, 1.9371620874125601)","(25.61842105263158, 10.582964346015274)","(7.973684210526316, 10.843350720494353)","(0.2236842105263158, 1.9371620874125601)","(0.2236842105263158, 1.9371620874125601)"
