,Learned Profile,Target Profile,Similarity in terms of Sus,Similarity in terms of Sec,Similarity in terms of Eff,Similarity with Sus expert,Similarity with Sec expert,Similarity with Eff expert,Similarity with target profile agent,Similarity with target profile society
0,"(0.0, 0.0, 1.0)","(0.0, 0.0, 1.0)","(1.0, 5.5964254e-08)","(1.0, 5.7203465e-08)","(1.0, 5.5964254e-08)","(0.7249099, 0.33315212)","(0.2853967, 0.24089439)","(1.0, 5.5964254e-08)","(1.0, 5.5964254e-08)","(1.0, 5.9604645e-08)"
1,"(0.0, 0.1, 0.9)","(0.0, 0.1, 0.9)","(0.93808705, 0.19031647)","(0.9379986, 0.187669)","(0.94600296, 0.17248398)","(0.69092715, 0.33889538)","(0.2886593, 0.24002095)","(0.94600296, 0.17248398)","(0.9446327, 0.1742145)","(0.86636364, 0.17514168)"
2,"(0.0, 0.2, 0.8)","(0.0, 0.2, 0.8)","(0.9314415, 0.1996084)","(0.92897856, 0.20276293)","(0.93925315, 0.18012215)","(0.6854365, 0.3423517)","(0.2881507, 0.24021523)","(0.9324339, 0.18735823)","(0.93561697, 0.18638803)","(0.7778605, 0.18984382)"
3,"(0.0, 0.3, 0.7)","(0.0, 0.3, 0.7)","(0.90970373, 0.21781689)","(0.8997834, 0.23720913)","(0.913946, 0.2034678)","(0.6732998, 0.355557)","(0.30164978, 0.24850239)","(0.8857189, 0.238109)","(0.9072386, 0.21788561)","(0.6770141, 0.21856436)"
4,"(0.0, 0.4, 0.6)","(0.0, 0.4, 0.6)","(0.87950146, 0.2509699)","(0.8662486, 0.27425835)","(0.87547433, 0.24889198)","(0.6602473, 0.37120128)","(0.31338418, 0.24992599)","(0.8319109, 0.2812287)","(0.8709114, 0.25824547)","(0.57719177, 0.22755148)"
5,"(0.0, 0.5, 0.5)","(0.0, 0.5, 0.5)","(0.8468029, 0.2679405)","(0.8364581, 0.28327549)","(0.8287804, 0.28479457)","(0.6610861, 0.36424497)","(0.32787362, 0.25996238)","(0.7914665, 0.30731258)","(0.83403677, 0.2790217)","(0.51063836, 0.22091109)"
6,"(0.0, 0.6, 0.4)","(0.0, 0.6, 0.4)","(0.792579, 0.28699607)","(0.7855705, 0.29793587)","(0.7527819, 0.32790864)","(0.6325164, 0.37606382)","(0.35080558, 0.26580673)","(0.7061696, 0.3388053)","(0.7771164, 0.29951432)","(0.45945615, 0.21508898)"
7,"(0.0, 0.7, 0.3)","(0.0, 0.7, 0.3)","(0.6223711, 0.3419554)","(0.6346199, 0.33686522)","(0.56108075, 0.37980577)","(0.50971395, 0.37498876)","(0.43462327, 0.28793103)","(0.5308346, 0.3728144)","(0.61795574, 0.3417844)","(0.45100433, 0.21857612)"
8,"(0.0, 0.8, 0.2)","(0.0, 0.8, 0.2)","(0.48785225, 0.350003)","(0.5221203, 0.33651197)","(0.4150708, 0.37506998)","(0.4223544, 0.35464332)","(0.5295122, 0.3102898)","(0.3805241, 0.34843516)","(0.50168717, 0.3422078)","(0.49864402, 0.26656333)"
9,"(0.0, 0.9, 0.1)","(0.0, 0.9, 0.1)","(0.3277025, 0.3162283)","(0.38806558, 0.31214833)","(0.25742733, 0.32713458)","(0.28467536, 0.29952753)","(0.78910464, 0.27352917)","(0.22600819, 0.29812342)","(0.370833, 0.31100345)","(0.7417559, 0.26169088)"
10,"(0.0, 1.0, 0.0)","(0.0, 1.0, 0.0)","(1.0, 4.377894e-08)","(1.0, 4.2146848e-08)","(1.0, 4.4309612e-08)","(0.21288814, 0.2362042)","(1.0, 4.2146848e-08)","(0.14918546, 0.21923478)","(1.0, 4.2146848e-08)","(1.0, 5.116433e-08)"
