,Policy,sus,sec,eff
0,Exp + P,"(0.38340658292566476, 0.1080219872976395)","(0.2970280264945407, 0.09709416686675408)","(0.21256572568151905, 0.10409788470733876)"
1,VL + P,"(0.38340658292566476, 0.1080219872976395)","(0.2970280264945407, 0.09709416686675408)","(0.21256572568151905, 0.10409788470733876)"
2,"Expert (0.0, 0.0, 1.0)","(0.40294469083202883, 0.12217468721267494)","(0.5885897678555537, 0.21892939955785365)","(0.21256572456523395, 0.10409788265092682)"
3,"Expert (0.0, 0.1, 0.9)","(0.40294469083202883, 0.12217468721267494)","(0.5885897678555537, 0.21892939955785365)","(0.21256572456523395, 0.10409788265092682)"
4,"Expert (0.0, 0.2, 0.8)","(0.4030920244702812, 0.12208170565255722)","(0.586399354865295, 0.21813232466546845)","(0.212612851668765, 0.10408009543433726)"
5,"Expert (0.0, 0.3, 0.7)","(0.40849127655153433, 0.13229779704534653)","(0.5814850725098375, 0.20930848153749024)","(0.21276650353875562, 0.10417434158539561)"
6,"Expert (0.0, 0.4, 0.6)","(0.4088895983303174, 0.13256425465535268)","(0.5782904564133021, 0.20676114531241388)","(0.21293562803590535, 0.10433865767441564)"
7,"Expert (0.0, 0.5, 0.5)","(0.4097392324482299, 0.13286625392636506)","(0.5770195218537992, 0.20632587346380935)","(0.21302233602718365, 0.10447408260406085)"
8,"Expert (0.0, 0.6, 0.4)","(0.40877973895418873, 0.1313636825259804)","(0.573013762343563, 0.20543178052312278)","(0.2134511299989658, 0.10591503118722229)"
9,"Expert (0.0, 0.7, 0.3)","(0.4087716724323783, 0.13136764134907364)","(0.5719708292145744, 0.20686958348485676)","(0.21362953571990242, 0.10596869021560087)"
10,"Expert (0.0, 0.8, 0.2)","(0.4125612968032089, 0.1349469152599324)","(0.5649641589627304, 0.2065313266217537)","(0.21585166511642073, 0.1081615698489921)"
11,"Expert (0.0, 0.9, 0.1)","(0.4076565228529752, 0.13327166710984303)","(0.5174784577008579, 0.19106365797960004)","(0.24442299405123585, 0.14709210800913428)"
12,"Expert (0.0, 1.0, 0.0)","(0.6542267498160456, 0.22416048957209667)","(0.29702802631666264, 0.0970941634381398)","(1.0842543207051534, 0.49601380734361794)"
13,"Society (0.0, 0.0, 1.0)","(0.40294469083202883, 0.12217468721267494)","(0.5885897678555537, 0.21892939955785365)","(0.21256572456523395, 0.10409788265092682)"
14,"Society (0.0, 0.1, 0.9)","(0.42768008138350283, 0.1332806525480241)","(0.5578548522566914, 0.20088926337748714)","(0.30228782831541856, 0.17355100351658642)"
15,"Society (0.0, 0.2, 0.8)","(0.4541772480808982, 0.13997672489155305)","(0.5297397121036117, 0.18776150885640858)","(0.3917642750109831, 0.2139261847239959)"
16,"Society (0.0, 0.3, 0.7)","(0.48047875113751565, 0.14672506281272976)","(0.4965288251579822, 0.1674010098642868)","(0.4801470870880478, 0.24446409617706233)"
17,"Society (0.0, 0.4, 0.6)","(0.4968994127496109, 0.14861498733703016)","(0.4708089661247198, 0.16395102758670846)","(0.5496695563730962, 0.26145126436010707)"
18,"Society (0.0, 0.5, 0.5)","(0.5304971046886702, 0.17080462785134276)","(0.43685582483468405, 0.1514819225102806)","(0.6543881424285294, 0.3456900500881456)"
19,"Society (0.0, 0.6, 0.4)","(0.5590233540560707, 0.17695036824227126)","(0.41273297269152337, 0.14116964987404035)","(0.7477101858791827, 0.3601928406402253)"
20,"Society (0.0, 0.7, 0.3)","(0.5813443197760008, 0.19240168852260453)","(0.38487078323818613, 0.12499342490488555)","(0.8290657579284207, 0.40590599429620644)"
