,Learned Profile,Target Profile,Similarity in terms of Sus,Similarity in terms of Sec,Similarity in terms of Eff,Similarity with Sus expert,Similarity with Sec expert,Similarity with Eff expert,Similarity with target profile agent,Similarity with target profile society
0,"(0.0, 0.0, 1.0)","(0.0, 0.0, 1.0)",,,,"(8.013157894736842, 10.87790302577786)","(25.69736842105263, 10.514425850683864)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
1,"(0.1, 0.0, 0.9)","(0.1, 0.0, 0.9)",,,,"(7.605263157894737, 10.368320865131773)","(25.63157894736842, 10.474080923457471)","(0.5921052631578947, 3.8565652552325673)","(0.18421052631578946, 1.5953099543397553)","(3.0789473684210527, 5.2790877349234675)"
2,"(0.2, 0.0, 0.8)","(0.2, 0.0, 0.8)",,,,"(6.078947368421052, 10.015465879663493)","(26.026315789473685, 10.440273343127775)","(2.0921052631578947, 6.293642639452147)","(1.5526315789473684, 4.942817055406086)","(4.0131578947368425, 6.283318392991145)"
3,"(0.3, 0.0, 0.7)","(0.3, 0.0, 0.7)",,,,"(5.302631578947368, 9.286407351384327)","(25.88157894736842, 10.401122289221787)","(2.8684210526315788, 7.659431931085047)","(2.3289473684210527, 6.657777718963337)","(4.0855263157894735, 5.5921633123922065)"
4,"(0.4, 0.0, 0.6)","(0.4, 0.0, 0.6)",,,,"(4.052631578947368, 7.493672307603236)","(26.026315789473685, 10.21862809337943)","(4.25, 9.145210135423495)","(3.710526315789474, 8.413359973208157)","(4.151315789473684, 5.758871723858411)"
5,"(0.5, 0.0, 0.5)","(0.5, 0.0, 0.5)",,,,"(3.763157894736842, 7.165098928785267)","(25.81578947368421, 10.28247170561297)","(4.565789473684211, 9.20002220580242)","(3.0526315789473686, 8.252423466763702)","(4.1644736842105265, 5.759653314387859)"
6,"(0.6, 0.0, 0.4)","(0.6, 0.0, 0.4)",,,,"(2.513157894736842, 5.8094601186174)","(26.32894736842105, 10.088278969981811)","(5.7631578947368425, 10.120157608836971)","(3.3157894736842106, 8.267263478888458)","(4.1381578947368425, 5.700645556824502)"
7,"(0.7, 0.0, 0.3)","(0.7, 0.0, 0.3)",,,,"(2.4210526315789473, 5.532828242919797)","(26.342105263157894, 10.092405471414928)","(5.776315789473684, 10.13150205028918)","(2.75, 6.880798989713484)","(4.052631578947368, 5.62979558580506)"
8,"(0.8, 0.0, 0.2)","(0.8, 0.0, 0.2)",,,,"(1.4078947368421053, 4.724453829694991)","(26.32894736842105, 10.339485070521922)","(6.7894736842105265, 10.528552393964963)","(2.75, 6.121843977447525)","(3.710526315789474, 5.2171674848615845)"
9,"(0.9, 0.0, 0.1)","(0.9, 0.0, 0.1)",,,,"(0.7368421052631579, 3.540622979128448)","(25.789473684210527, 10.812171247784265)","(7.381578947368421, 10.620198116477912)","(1.9210526315789473, 4.90102878001069)","(2.901315789473684, 5.537562959629078)"
10,"(1.0, 0.0, 0.0)","(1.0, 0.0, 0.0)",,,,"(0.0, 0.0)","(25.605263157894736, 10.578129059736044)","(8.013157894736842, 10.87790302577786)","(0.0, 0.0)","(0.0, 0.0)"
