,Learned Profile,Target Profile,Similarity in terms of Sus,Similarity in terms of Sec,Similarity in terms of Eff,Similarity with Sus expert,Similarity with Sec expert,Similarity with Eff expert,Similarity with target profile agent,Similarity with target profile society
0,"(0.008598866872489452, 0.006737861316651106, 0.9846632480621338)","(0.0, 0.0, 1.0)",,,,"(8.013157894736842, 10.87790302577786)","(25.69736842105263, 10.514425850683864)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
1,"(0.020813992246985435, 0.007863511331379414, 0.9713224768638611)","(0.1, 0.0, 0.9)",,,,"(7.657894736842105, 10.456114594340113)","(25.68421052631579, 10.500890346105983)","(0.40789473684210525, 3.5324720417523157)","(0.0, 0.0)","(3.0065789473684212, 5.234936673982735)"
2,"(0.10139015316963196, 0.001872866996563971, 0.8967370390892029)","(0.2, 0.0, 0.8)",,,,"(7.605263157894737, 10.368320865131773)","(25.63157894736842, 10.474080923457471)","(0.5921052631578947, 3.8565652552325673)","(0.0, 0.0)","(3.7039473684210527, 5.503095798334876)"
3,"(0.10139015316963196, 0.001872866996563971, 0.8967370390892029)","(0.3, 0.0, 0.7)",,,,"(7.605263157894737, 10.368320865131773)","(25.63157894736842, 10.474080923457471)","(0.5921052631578947, 3.8565652552325673)","(0.0, 0.0)","(4.019736842105263, 5.661760460289299)"
4,"(0.10139015316963196, 0.001872866996563971, 0.8967370390892029)","(0.4, 0.0, 0.6)",,,,"(7.605263157894737, 10.368320865131773)","(25.63157894736842, 10.474080923457471)","(0.5921052631578947, 3.8565652552325673)","(0.0, 0.0)","(4.046052631578948, 5.666253770058626)"
5,"(0.1535181999206543, 0.001999689731746912, 0.8444821238517761)","(0.5, 0.0, 0.5)",,,,"(7.4605263157894735, 10.352270014824468)","(25.592105263157894, 10.311181503053842)","(0.7631578947368421, 3.989685454732094)","(1.1973684210526316, 3.86284506836097)","(4.1118421052631575, 5.657202375018182)"
6,"(0.25123804807662964, 0.0111409155651927, 0.737621009349823)","(0.6, 0.0, 0.4)",,,,"(5.697368421052632, 9.681805693972837)","(26.039473684210527, 10.447161273300997)","(2.473684210526316, 6.995249674281839)","(0.0, 0.0)","(4.0855263157894735, 5.5921633123922065)"
7,"(0.35934677720069885, 0.011182439513504505, 0.6294707655906677)","(0.7, 0.0, 0.3)",,,,"(4.723684210526316, 8.439566408497233)","(26.06578947368421, 10.229389453298648)","(3.5789473684210527, 8.221062740070609)","(0.3157894736842105, 2.734817064582438)","(4.105263157894737, 5.750466679845305)"
8,"(0.4484443962574005, 0.005800302606076002, 0.5457552671432495)","(0.8, 0.0, 0.2)",,,,"(4.052631578947368, 7.493672307603236)","(26.026315789473685, 10.21862809337943)","(4.25, 9.145210135423495)","(0.0, 0.0)","(4.3618421052631575, 6.155655660175299)"
9,"(0.5439459085464478, 0.0011553338263183832, 0.4548986852169037)","(0.9, 0.0, 0.1)",,,,"(2.8157894736842106, 6.252811002210357)","(26.289473684210527, 10.08361854102417)","(5.4605263157894735, 9.942520052086874)","(0.42105263157894735, 2.8016121199970074)","(4.118421052631579, 6.110747876666846)"
10,"(0.9688597917556763, 0.009442987851798534, 0.02169712446630001)","(1.0, 0.0, 0.0)",,,,"(0.0, 0.0)","(25.605263157894736, 10.578129059736044)","(8.013157894736842, 10.87790302577786)","(0.0, 0.0)","(0.0, 0.0)"
