,Policy,sus,sec,eff
0,Exp + P,"(0.38340658292566476, 0.1080219872976395)","(0.2970280264945407, 0.09709416686675408)","(0.21256572568151905, 0.10409788470733876)"
1,VL + P,"(0.38340658292566476, 0.1080219872976395)","(0.2970280264945407, 0.09709416686675408)","(0.21256572568151905, 0.10409788470733876)"
2,"Expert (0.0, 0.0, 1.0)","(0.40294469083202883, 0.12217468721267494)","(0.5885897678555537, 0.21892939955785365)","(0.21256572456523395, 0.10409788265092682)"
3,"Expert (0.1, 0.0, 0.9)","(0.40179178381176345, 0.12004938031340019)","(0.5894778799638994, 0.22012997558098693)","(0.21257084857490172, 0.10410490005446175)"
4,"Expert (0.2, 0.0, 0.8)","(0.40136562606800763, 0.12009713856649519)","(0.5911655636436511, 0.21967680310177642)","(0.21258876538233476, 0.10409533190679741)"
5,"Expert (0.3, 0.0, 0.7)","(0.40136562606800763, 0.12009713856649519)","(0.5911655636436511, 0.21967680310177642)","(0.21258876538233476, 0.10409533190679741)"
6,"Expert (0.4, 0.0, 0.6)","(0.40136562606800763, 0.12009713856649519)","(0.5911655636436511, 0.21967680310177642)","(0.21258876538233476, 0.10409533190679741)"
7,"Expert (0.5, 0.0, 0.5)","(0.3980520427047802, 0.11712002303574238)","(0.5972686400642775, 0.2244136203170472)","(0.21310153326722733, 0.10448701806050285)"
8,"Expert (0.6, 0.0, 0.4)","(0.3948829037307357, 0.11305780554384966)","(0.5965882309191282, 0.22650016827855843)","(0.21381368306289292, 0.10597844357750415)"
9,"Expert (0.7, 0.0, 0.3)","(0.3931710129691055, 0.111248980167306)","(0.6017781746898101, 0.22830872830397714)","(0.2144473394670824, 0.10596595773625042)"
10,"Expert (0.8, 0.0, 0.2)","(0.39092306867257176, 0.11051451372487685)","(0.6121016113387381, 0.2309548890606873)","(0.21553179161204944, 0.10562750259119182)"
11,"Expert (0.9, 0.0, 0.1)","(0.3880606589426813, 0.10954081228573005)","(0.6239780059157439, 0.23547180240145732)","(0.21815866834559097, 0.1066363580993204)"
12,"Expert (1.0, 0.0, 0.0)","(0.38340658279010215, 0.10802199626372055)","(0.5996791414997317, 0.23166123127540622)","(0.24096945956491828, 0.13894954093124948)"
13,"Society (0.0, 0.0, 1.0)","(0.40294469083202883, 0.12217468721267494)","(0.5885897678555537, 0.21892939955785365)","(0.21256572456523395, 0.10409788265092682)"
14,"Society (0.1, 0.0, 0.9)","(0.4005333404689353, 0.11995645860727965)","(0.5900938423657193, 0.2192211854830582)","(0.2159107505715311, 0.10694110417456353)"
15,"Society (0.2, 0.0, 0.8)","(0.3991762302022452, 0.11911839010356409)","(0.5884189165039923, 0.21177468959198817)","(0.219979906274545, 0.11447763535635515)"
16,"Society (0.3, 0.0, 0.7)","(0.39702820637873004, 0.11781166479819224)","(0.5935434828275328, 0.21318390894304962)","(0.2223803042887563, 0.11370331282296717)"
17,"Society (0.4, 0.0, 0.6)","(0.3950731591128524, 0.11593379766793252)","(0.590617658408921, 0.21159079861518587)","(0.2258056093574851, 0.12146969211070895)"
18,"Society (0.5, 0.0, 0.5)","(0.39282895909487514, 0.11315362740917585)","(0.5939107613929465, 0.21671249460034414)","(0.2267500500628988, 0.11901508252143406)"
19,"Society (0.6, 0.0, 0.4)","(0.39122970145544966, 0.11262740171717948)","(0.5970746056995075, 0.22047007208227756)","(0.22804792920827535, 0.11885072476754177)"
20,"Society (0.7, 0.0, 0.3)","(0.3893938888913621, 0.11148606022110326)","(0.5960590941781304, 0.21920659978944682)","(0.23147518502159264, 0.1259573343546196)"
