,Learned Profile,Target Profile,Similarity in terms of Sus,Similarity in terms of Sec,Similarity in terms of Eff,Similarity with Sus expert,Similarity with Sec expert,Similarity with Eff expert,Similarity with target profile agent,Similarity with target profile society
0,"(0.0, 1.0, 0.0)","(0.0, 1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(0.628044624958861, 0.16642321879156494)","(1.0, 0.0)","(0.2601554384014188, 0.20838896015446284)","(1.0, 0.0)","(1.0, 0.0)"
1,"(0.1, 0.9, 0.0)","(0.1, 0.9, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(0.6812018645416614, 0.15883698623610426)","(0.9894225438531676, 0.02695926679430226)","(0.3054537162402454, 0.23749333120242114)","(1.0, 0.0)","(0.9056837430748566, 0.09457943187982859)"
2,"(0.2, 0.8, 0.0)","(0.2, 0.8, 0.0)","(0.9350835238062608, 0.11153517000657347)","(0.9530393621138213, 0.08317905005247879)","(0.8783766312501541, 0.22692436348072573)","(0.7012184519502276, 0.16868321151121346)","(0.9793582646661539, 0.03657580858585828)","(0.3409797552329712, 0.27371157180294714)","(0.9489288069090714, 0.08865362165709335)","(0.853778022015058, 0.10640474493999855)"
3,"(0.3, 0.7, 0.0)","(0.3, 0.7, 0.0)","(0.9360931549147516, 0.13620943137822192)","(0.9389043323348762, 0.12703998647349338)","(0.893658364163032, 0.22252123061640047)","(0.7535682574072279, 0.1694601601248183)","(0.9330986151683616, 0.08647361244141732)","(0.4145855682103485, 0.30707113466838837)","(0.9374551508610559, 0.12976979214815174)","(0.8136021700609767, 0.11782816350325478)"
4,"(0.4, 0.6, 0.0)","(0.4, 0.6, 0.0)","(0.9316409529441271, 0.11728690270211202)","(0.9130756517272666, 0.14290445546744163)","(0.8449469668052094, 0.24618741594466895)","(0.8051551657545271, 0.1534698726514176)","(0.884596370419715, 0.13509646505632375)","(0.47402216149551657, 0.31340224686155477)","(0.9198199037950574, 0.1326121193601133)","(0.7869127979430881, 0.12897849897861055)"
5,"(0.5, 0.5, 0.0)","(0.5, 0.5, 0.0)","(0.9246853598860677, 0.12762880225182693)","(0.9011346671063244, 0.1543469242464074)","(0.817527405137248, 0.28481069865772934)","(0.8369872616763319, 0.14258644740166096)","(0.8438606638987307, 0.15870447117664227)","(0.5220510159874108, 0.3232735069973265)","(0.911903536832547, 0.14076902087583346)","(0.7950762754001207, 0.11406458516088691)"
6,"(0.6, 0.4, 0.0)","(0.6, 0.4, 0.0)","(0.9512540894021891, 0.08849115234600465)","(0.908185206397304, 0.16076126918918734)","(0.8640144009021722, 0.24877743662321714)","(0.9024533234776068, 0.1092035750087791)","(0.7617884886594086, 0.17655024549672105)","(0.660283088521875, 0.31456976439660994)","(0.9311733040688547, 0.12196157393544534)","(0.8056889432809489, 0.10919288628966418)"
7,"(0.7, 0.3, 0.0)","(0.7, 0.3, 0.0)","(0.9637591937049624, 0.0698495720483353)","(0.913494738165778, 0.16338568774506446)","(0.8798303233599638, 0.2398385012058938)","(0.9457726135560451, 0.07727264414049242)","(0.6895282400154731, 0.1835664496205221)","(0.7632604812667074, 0.2731351726115034)","(0.9448468863585606, 0.10571064823818953)","(0.8387582030168923, 0.0945074174934034)"
8,"(0.8, 0.2, 0.0)","(0.8, 0.2, 0.0)","(0.990422427109873, 0.03042658217793078)","(0.9651801118982501, 0.10236444268467171)","(0.9692537917436553, 0.11411446219833399)","(0.9817214601464288, 0.034068189026764846)","(0.6244711511070871, 0.19809655690058606)","(0.872309891939452, 0.20404873586225897)","(0.9839545441535106, 0.049174965301164913)","(0.880812842946673, 0.08876207903085317)"
9,"(0.9, 0.1, 0.0)","(0.9, 0.1, 0.0)","(0.99587159881846, 0.012032665292321073)","(0.9690032891058862, 0.08103165711240574)","(0.9847518508764584, 0.053244307432943574)","(0.9929310527243258, 0.01527292704151191)","(0.5943031651311861, 0.20041083628133638)","(0.8917172819241739, 0.17584182932449477)","(0.9924964607644301, 0.02081924876314216)","(0.9242293891446778, 0.06912424887231311)"
10,"(1.0, 0.0, 0.0)","(1.0, 0.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(0.5531167947007112, 0.20616171782951725)","(0.9237480948129704, 0.13574958522696715)","(1.0, 0.0)","(1.0, 0.0)"
