,Learned Profile,Target Profile,Similarity in terms of Sus,Similarity in terms of Sec,Similarity in terms of Eff,Similarity with Sus expert,Similarity with Sec expert,Similarity with Eff expert,Similarity with target profile agent,Similarity with target profile society
0,"(0.0007149421726353467, 0.9985135197639465, 0.0007715689716860652)","(0.0, 1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(0.628044624958861, 0.16642321879156494)","(1.0, 0.0)","(0.2601554384014188, 0.20838896015446284)","(1.0, 0.0)","(1.0, 0.0)"
1,"(0.04799046739935875, 0.9293205738067627, 0.022688956931233406)","(0.1, 0.9, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(0.6812018645416614, 0.15883698623610426)","(0.9894225438531676, 0.02695926679430226)","(0.3054537162402454, 0.23749333120242114)","(1.0, 0.0)","(0.9113083157142922, 0.10551201367365015)"
2,"(0.28418171405792236, 0.692162275314331, 0.02365601249039173)","(0.2, 0.8, 0.0)","(0.992841367369378, 0.05038100666056416)","(0.9953284925569965, 0.031257328722016836)","(0.9890078452114114, 0.07908738408165644)","(0.7595795108049131, 0.16738515923243608)","(0.928825636602204, 0.09199398955865573)","(0.419452639455781, 0.3055908146975039)","(0.9947292956603274, 0.03587723536682875)","(0.8480327966495808, 0.11620504269289646)"
3,"(0.37240785360336304, 0.6117374897003174, 0.01585475727915764)","(0.3, 0.7, 0.0)","(0.9940291065601239, 0.03649550508067847)","(0.9901382010289926, 0.060041779772625224)","(0.991037255920859, 0.05481247888871078)","(0.8051551657545271, 0.1534698726514176)","(0.884596370419715, 0.13509646505632375)","(0.47402216149551657, 0.31340224686155477)","(0.9911396596526019, 0.05396860109406326)","(0.8125240559370546, 0.10491614102238975)"
4,"(0.49583670496940613, 0.4932519197463989, 0.010911375284194946)","(0.4, 0.6, 0.0)","(0.9961860099826629, 0.030591268376582062)","(0.9964666914514868, 0.026848430425801068)","(0.9835906009718226, 0.0935718908750569)","(0.8622567856311719, 0.12439073344037394)","(0.8044624231648086, 0.15868186565845666)","(0.5691635393241349, 0.31165291566718606)","(0.9963494012537404, 0.028379127120632848)","(0.7972047038837351, 0.10956438231677984)"
5,"(0.6277361512184143, 0.3645336925983429, 0.007730142213404179)","(0.5, 0.5, 0.0)","(0.9894246453148502, 0.040249870618141)","(0.9766524319847094, 0.08905052216815669)","(0.9674566254316779, 0.12646742248731893)","(0.9182852306483513, 0.10075763956747257)","(0.7360409650435411, 0.1870597235616189)","(0.6912601893568917, 0.2999426141440086)","(0.9821316160859805, 0.06799288070187637)","(0.7997106221083629, 0.12187591076595335)"
6,"(0.7045666575431824, 0.2869296371936798, 0.008503669872879982)","(0.6, 0.4, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(0.9491290453118383, 0.07526401946853624)","(0.685066388603025, 0.1878098510458805)","(0.7731683127457859, 0.26971063049437877)","(1.0, 0.0)","(0.8255245306888966, 0.1063714112016405)"
7,"(0.7831709384918213, 0.21356835961341858, 0.0032607249449938536)","(0.7, 0.3, 0.0)","(0.9983791629792227, 0.009943624328394659)","(0.9958877559462787, 0.025017966342155442)","(0.9985592289326012, 0.008764316310827124)","(0.9797109031325203, 0.03674436119144172)","(0.627430764145927, 0.1966034557249916)","(0.8697592883656281, 0.20536690429645352)","(0.9975742153741521, 0.014771538923842507)","(0.8386418728987856, 0.10485636162977457)"
8,"(0.8895995616912842, 0.10094133764505386, 0.009459109045565128)","(0.8, 0.2, 0.0)","(0.9979511844951514, 0.011118655271094477)","(0.9891897844012465, 0.05781274508148433)","(0.9910429677304652, 0.0525679201011054)","(0.9933056223165138, 0.015091542088158865)","(0.5936430696958103, 0.20125626339331654)","(0.8962287681011238, 0.17415556503418922)","(0.9956801564695172, 0.023600782342881224)","(0.8860353458330505, 0.08611245055977992)"
9,"(0.9460870027542114, 0.053309448063373566, 0.0006035714177414775)","(0.9, 0.1, 0.0)","(0.9969705717474329, 0.009435939875359812)","(0.9638603438016934, 0.10262931166699743)","(0.9674391109309047, 0.11282560358058881)","(0.9983256244046574, 0.005890542435894624)","(0.5697714396786572, 0.21084291120809295)","(0.9225988601116232, 0.14184139227743364)","(0.9922478561808499, 0.02404988501945128)","(0.9357796783645839, 0.06778233413054331)"
10,"(0.9697346091270447, 0.009724294766783714, 0.02054104022681713)","(1.0, 0.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(0.5531167947007112, 0.20616171782951725)","(0.9237480948129704, 0.13574958522696715)","(1.0, 0.0)","(1.0, 0.0)"
