,Learned Profile,Target Profile,Similarity in terms of Sus,Similarity in terms of Sec,Similarity in terms of Eff,Similarity with Sus expert,Similarity with Sec expert,Similarity with Eff expert,Similarity with target profile agent,Similarity with target profile society
0,"(0.0, 1.0, 0.0)","(0.0, 1.0, 0.0)","(1.0, 4.377894e-08)","(1.0, 4.2146848e-08)","(1.0, 4.4309612e-08)","(0.21288814, 0.2362042)","(1.0, 4.2146848e-08)","(0.14918546, 0.21923478)","(1.0, 4.2146848e-08)","(1.0, 5.116433e-08)"
1,"(0.1, 0.9, 0.0)","(0.1, 0.9, 0.0)","(1.0, 4.7368967e-08)","(1.0, 4.4834003e-08)","(1.0, 4.6371614e-08)","(0.2521979, 0.25901797)","(0.86580896, 0.23451558)","(0.1893, 0.26473805)","(1.0, 5.5122637e-08)","(0.80000037, 0.22223555)"
2,"(0.2, 0.8, 0.0)","(0.2, 0.8, 0.0)","(0.85017115, 0.25298795)","(0.870017, 0.21738099)","(0.831292, 0.29248148)","(0.2753329, 0.2897068)","(0.80522805, 0.26755208)","(0.22347751, 0.29931048)","(0.86501944, 0.2252553)","(0.69741565, 0.24134853)"
3,"(0.3, 0.7, 0.0)","(0.3, 0.7, 0.0)","(0.8454854, 0.30492866)","(0.84749955, 0.2954971)","(0.8416741, 0.31587693)","(0.34193805, 0.34210315)","(0.71360254, 0.2830437)","(0.291379, 0.34706235)","(0.8470227, 0.29789)","(0.58230036, 0.22972591)"
4,"(0.4, 0.6, 0.0)","(0.4, 0.6, 0.0)","(0.7942099, 0.3112698)","(0.82029295, 0.2762008)","(0.76852614, 0.34387305)","(0.42070583, 0.35747385)","(0.62792504, 0.3222698)","(0.339051, 0.3483291)","(0.80854684, 0.29025814)","(0.5235861, 0.21660718)"
5,"(0.5, 0.5, 0.0)","(0.5, 0.5, 0.0)","(0.7561567, 0.3400526)","(0.77862203, 0.3091721)","(0.73754644, 0.37234598)","(0.4657886, 0.36902606)","(0.5635023, 0.32501346)","(0.38579378, 0.37056503)","(0.7667095, 0.32425052)","(0.507911, 0.2278325)"
6,"(0.6, 0.4, 0.0)","(0.6, 0.4, 0.0)","(0.8263696, 0.27147362)","(0.84088415, 0.24978547)","(0.8084663, 0.30268186)","(0.57252157, 0.37075114)","(0.4480885, 0.3008697)","(0.5252141, 0.38910076)","(0.83253205, 0.26157534)","(0.51130193, 0.23842104)"
7,"(0.7, 0.3, 0.0)","(0.7, 0.3, 0.0)","(0.8317755, 0.29653662)","(0.83659, 0.2908241)","(0.81178266, 0.33054197)","(0.66653585, 0.36989462)","(0.37914026, 0.27107194)","(0.61425704, 0.3653251)","(0.8335092, 0.2934324)","(0.5688446, 0.26686913)"
8,"(0.8, 0.2, 0.0)","(0.8, 0.2, 0.0)","(0.92822176, 0.20949787)","(0.9272259, 0.20960253)","(0.9250808, 0.21978092)","(0.789909, 0.31514236)","(0.31622067, 0.24586326)","(0.7210084, 0.32608443)","(0.9283795, 0.20809583)","(0.67777294, 0.2659285)"
9,"(0.9, 0.1, 0.0)","(0.9, 0.1, 0.0)","(0.9325246, 0.19495963)","(0.92408675, 0.20432752)","(0.9335581, 0.18710868)","(0.8727681, 0.25463885)","(0.29267257, 0.24663313)","(0.71149665, 0.32927802)","(0.9316017, 0.19580013)","(0.8015048, 0.23366262)"
10,"(1.0, 0.0, 0.0)","(1.0, 0.0, 0.0)","(1.0, 5.2069968e-08)","(1.0, 5.554504e-08)","(1.0, 5.80149e-08)","(1.0, 5.2069968e-08)","(0.2656385, 0.24339676)","(0.72588277, 0.3276126)","(1.0, 5.2069968e-08)","(1.0, 5.7203465e-08)"
