,Learned Profile,Target Profile,Similarity in terms of Sus,Similarity in terms of Sec,Similarity in terms of Eff,Similarity with Sus expert,Similarity with Sec expert,Similarity with Eff expert,Similarity with target profile agent,Similarity with target profile society
0,"(0.0007149421726353467, 0.9985135197639465, 0.0007715689716860652)","(0.0, 1.0, 0.0)","(1.0, 4.377894e-08)","(1.0, 4.2146848e-08)","(1.0, 4.4309612e-08)","(0.21288814, 0.2362042)","(1.0, 4.2146848e-08)","(0.14918546, 0.21923478)","(1.0, 4.2146848e-08)","(1.0, 5.116433e-08)"
1,"(0.04799046739935875, 0.9293205738067627, 0.022688956931233406)","(0.1, 0.9, 0.0)","(1.0, 4.7368967e-08)","(1.0, 4.4834003e-08)","(1.0, 4.6371614e-08)","(0.2521979, 0.25901797)","(0.86580896, 0.23451558)","(0.1893, 0.26473805)","(1.0, 5.5122637e-08)","(0.80365705, 0.22221395)"
2,"(0.28418171405792236, 0.692162275314331, 0.02365601249039173)","(0.2, 0.8, 0.0)","(0.9879368, 0.087194696)","(0.9883524, 0.08264076)","(0.98744124, 0.090834126)","(0.3495819, 0.34336573)","(0.70813715, 0.28835925)","(0.2967032, 0.34630844)","(0.9882741, 0.08359626)","(0.63576907, 0.23878624)"
3,"(0.37240785360336304, 0.6117374897003174, 0.01585475727915764)","(0.3, 0.7, 0.0)","(0.98903936, 0.066860124)","(0.9857844, 0.08660043)","(0.9897173, 0.06286065)","(0.42070583, 0.35747385)","(0.62792504, 0.3222698)","(0.339051, 0.3483291)","(0.98730516, 0.077380046)","(0.56717104, 0.2329961)"
4,"(0.49583670496940613, 0.4932519197463989, 0.010911375284194946)","(0.4, 0.6, 0.0)","(0.9802944, 0.10399174)","(0.98044604, 0.099013254)","(0.9767735, 0.12582369)","(0.49434224, 0.36242533)","(0.5007555, 0.3054705)","(0.4300342, 0.36707476)","(0.9804822, 0.100224525)","(0.4848786, 0.21959838)"
5,"(0.6277361512184143, 0.3645336925983429, 0.007730142213404179)","(0.5, 0.5, 0.0)","(0.9609758, 0.14813912)","(0.96657544, 0.12684721)","(0.9546469, 0.1721167)","(0.5940563, 0.37011635)","(0.42552903, 0.29871392)","(0.5487359, 0.37707302)","(0.9636151, 0.13778354)","(0.49794257, 0.23704638)"
6,"(0.7045666575431824, 0.2869296371936798, 0.008503669872879982)","(0.6, 0.4, 0.0)","(1.0, 5.3399628e-08)","(1.0, 6.0383826e-08)","(1.0, 5.6380348e-08)","(0.68160427, 0.3684403)","(0.37809658, 0.2720356)","(0.62961745, 0.36578935)","(1.0, 6.1153074e-08)","(0.550775, 0.24313249)"
7,"(0.7831709384918213, 0.21356835961341858, 0.0032607249449938536)","(0.7, 0.3, 0.0)","(0.9861145, 0.084836416)","(0.9846312, 0.093494706)","(0.9858614, 0.08600485)","(0.78018206, 0.32183105)","(0.31909153, 0.2452682)","(0.73186594, 0.33142623)","(0.9855901, 0.08777527)","(0.61140203, 0.243694)"
8,"(0.8895995616912842, 0.10094133764505386, 0.009459109045565128)","(0.8, 0.2, 0.0)","(0.97470695, 0.13065636)","(0.9730299, 0.13940908)","(0.9722607, 0.13994715)","(0.8777972, 0.25332427)","(0.29224682, 0.24687886)","(0.71885973, 0.32939038)","(0.97433203, 0.13255401)","(0.7474284, 0.21930325)"
9,"(0.9460870027542114, 0.053309448063373566, 0.0006035714177414775)","(0.9, 0.1, 0.0)","(0.94573593, 0.16707921)","(0.9406185, 0.1665524)","(0.9400171, 0.18479787)","(0.9529146, 0.16553915)","(0.27692345, 0.2488211)","(0.73675704, 0.33104494)","(0.94522154, 0.16650982)","(0.8808764, 0.1646498)"
10,"(0.9697346091270447, 0.009724294766783714, 0.02054104022681713)","(1.0, 0.0, 0.0)","(1.0, 5.2069968e-08)","(1.0, 5.554504e-08)","(1.0, 5.80149e-08)","(1.0, 5.2069968e-08)","(0.2656385, 0.24339676)","(0.72588277, 0.3276126)","(1.0, 5.2069968e-08)","(1.0, 5.7203465e-08)"
