,Learned Profile,Target Profile,Similarity in terms of Sus,Similarity in terms of Sec,Similarity in terms of Eff,Similarity with Sus expert,Similarity with Sec expert,Similarity with Eff expert,Similarity with target profile agent,Similarity with target profile society
0,"(0.0, 1.0, 0.0)","(0.0, 1.0, 0.0)",,,,"(25.605263157894736, 10.578129059736044)","(0.0, 0.0)","(25.69736842105263, 10.514425850683864)","(0.0, 0.0)","(0.0, 0.0)"
1,"(0.1, 0.9, 0.0)","(0.1, 0.9, 0.0)",,,,"(23.289473684210527, 10.854074895091468)","(4.315789473684211, 8.028256883487076)","(23.61842105263158, 11.262381613681377)","(0.0, 0.0)","(10.842105263157896, 8.400427043623168)"
2,"(0.2, 0.8, 0.0)","(0.2, 0.8, 0.0)",,,,"(22.355263157894736, 11.270249550508984)","(6.5394736842105265, 9.415050646191984)","(22.394736842105264, 11.681157733006582)","(4.394736842105263, 8.574869873753219)","(13.210526315789474, 7.972099026033635)"
3,"(0.3, 0.7, 0.0)","(0.3, 0.7, 0.0)",,,,"(20.092105263157894, 11.957355841730301)","(9.881578947368421, 11.083376724274437)","(20.42105263157895, 12.242358688601955)","(4.394736842105263, 9.293572973563958)","(14.828947368421053, 7.949492135209408)"
4,"(0.4, 0.6, 0.0)","(0.4, 0.6, 0.0)",,,,"(17.276315789473685, 12.01161574237131)","(12.328947368421053, 11.472378909334157)","(17.86842105263158, 12.049614653440123)","(5.855263157894737, 9.15323346285261)","(14.802631578947368, 6.99439575818817)"
5,"(0.5, 0.5, 0.0)","(0.5, 0.5, 0.0)",,,,"(15.657894736842104, 12.136886611503735)","(14.447368421052632, 11.376793943955093)","(16.25, 12.050469525685449)","(7.368421052631579, 10.968666024135773)","(15.052631578947368, 7.169736721368478)"
6,"(0.6, 0.4, 0.0)","(0.6, 0.4, 0.0)",,,,"(12.157894736842104, 11.799924878863186)","(19.55263157894737, 11.953192413086388)","(11.881578947368421, 11.861001006464264)","(4.5131578947368425, 7.748503116990831)","(15.855263157894736, 7.879360025054835)"
7,"(0.7, 0.3, 0.0)","(0.7, 0.3, 0.0)",,,,"(9.868421052631579, 12.01900042395938)","(22.05263157894737, 11.580263083142466)","(9.776315789473685, 11.48064582381392)","(4.7105263157894735, 9.1245991829399)","(15.881578947368421, 8.149858095734515)"
8,"(0.8, 0.2, 0.0)","(0.8, 0.2, 0.0)",,,,"(5.776315789473684, 9.294308790882567)","(24.013157894736842, 10.944228737525536)","(7.052631578947368, 9.506084944367428)","(1.7763157894736843, 5.497843319287563)","(14.144736842105264, 7.724625603886677)"
9,"(0.9, 0.1, 0.0)","(0.9, 0.1, 0.0)",,,,"(3.6447368421052633, 7.782747362576745)","(24.592105263157894, 10.584469297263286)","(7.605263157894737, 9.963194038914615)","(1.868421052631579, 5.824951107233609)","(11.105263157894736, 7.9087375853486135)"
10,"(1.0, 0.0, 0.0)","(1.0, 0.0, 0.0)",,,,"(0.0, 0.0)","(25.605263157894736, 10.578129059736044)","(8.013157894736842, 10.87790302577786)","(0.0, 0.0)","(0.0, 0.0)"
