,Learned Profile,Target Profile,Similarity in terms of Sus,Similarity in terms of Sec,Similarity in terms of Eff,Similarity with Sus expert,Similarity with Sec expert,Similarity with Eff expert,Similarity with target profile agent,Similarity with target profile society
0,"(0.003280949080362916, 0.9944015145301819, 0.002317466540262103)","(0.0, 1.0, 0.0)",,,,"(25.13157894736842, 10.630569258985293)","(0.7631578947368421, 3.2882102836962988)","(25.25, 10.55826565702012)","(0.7631578947368421, 3.2882102836962988)","(0.7631578947368421, 3.2882102836962988)"
1,"(0.013799915090203285, 0.9817714691162109, 0.00442870706319809)","(0.1, 0.9, 0.0)",,,,"(25.0, 10.8397416943394)","(0.8947368421052632, 3.4510827719962)","(25.11842105263158, 10.770289427356651)","(3.4210526315789473, 7.659296308708676)","(8.927631578947368, 7.359072429468313)"
2,"(0.2579191327095032, 0.7340569496154785, 0.008023904636502266)","(0.2, 0.8, 0.0)",,,,"(21.43421052631579, 11.025491427543562)","(8.197368421052632, 10.84097943822676)","(21.657894736842106, 11.322488836938806)","(2.263157894736842, 4.783107394099603)","(14.105263157894736, 8.35177092372192)"
3,"(0.3347560465335846, 0.6568486094474792, 0.008395370095968246)","(0.3, 0.7, 0.0)",,,,"(19.05263157894737, 11.980131289195926)","(10.026315789473685, 10.563060865471023)","(19.38157894736842, 12.292452867793523)","(3.039473684210526, 7.320556474163198)","(14.348684210526315, 7.136368924501647)"
4,"(0.4340909719467163, 0.5602169036865234, 0.005692108068615198)","(0.4, 0.6, 0.0)",,,,"(16.592105263157894, 12.02866929637486)","(13.223684210526315, 11.489810914355617)","(17.236842105263158, 11.893019205280655)","(4.855263157894737, 9.209125833376284)","(14.907894736842104, 6.977742116297453)"
5,"(0.6031567454338074, 0.3917706608772278, 0.005072580184787512)","(0.5, 0.5, 0.0)",,,,"(11.68421052631579, 11.876791306794624)","(19.842105263157894, 12.043837288028206)","(11.723684210526315, 11.717731373088222)","(0.0, 0.0)","(15.763157894736842, 7.794850562445616)"
6,"(0.6280409097671509, 0.3685966432094574, 0.0033625150099396706)","(0.6, 0.4, 0.0)",,,,"(11.697368421052632, 12.01317230644204)","(20.19736842105263, 12.086333884143809)","(11.18421052631579, 11.792850785110835)","(3.5, 7.202886848158065)","(15.677631578947368, 8.29937535195794)"
7,"(0.6820614337921143, 0.3153199851512909, 0.0026186348404735327)","(0.7, 0.3, 0.0)",,,,"(10.486842105263158, 11.874888831670928)","(21.82894736842105, 11.384879351110191)","(9.526315789473685, 11.38728941016269)","(5.328947368421052, 9.012255045061139)","(16.013157894736842, 8.43082286839352)"
8,"(0.806769073009491, 0.1911698281764984, 0.0020610725041478872)","(0.8, 0.2, 0.0)",,,,"(5.776315789473684, 9.294308790882567)","(24.013157894736842, 10.944228737525536)","(7.052631578947368, 9.506084944367428)","(1.7763157894736843, 5.497843319287563)","(13.703947368421053, 7.944369750588906)"
9,"(0.8916186690330505, 0.10696633160114288, 0.0014149905182421207)","(0.9, 0.1, 0.0)",,,,"(3.6447368421052633, 7.782747362576745)","(24.592105263157894, 10.584469297263286)","(7.605263157894737, 9.963194038914615)","(1.868421052631579, 5.824951107233609)","(11.342105263157896, 8.861956881998093)"
10,"(0.9605440497398376, 0.010968009941279888, 0.02848791517317295)","(1.0, 0.0, 0.0)",,,,"(0.0, 0.0)","(25.605263157894736, 10.578129059736044)","(8.013157894736842, 10.87790302577786)","(0.0, 0.0)","(0.0, 0.0)"
