,Learned Profile,Target Profile,Similarity in terms of Sus,Similarity in terms of Sec,Similarity in terms of Eff,Similarity with Sus expert,Similarity with Sec expert,Similarity with Eff expert,Similarity with target profile agent,Similarity with target profile society
0,"(0.013789385557174683, 0.011204198002815247, 0.9750064015388489)","(0.0, 0.0, 1.0)","(0.9995556116227364, 0.0038485162385666198)","(0.9970804303219524, 0.025284215093080282)","(0.9997308464334673, 0.0023309382613645986)","(0.9523270053935955, 0.06755463682318406)","(0.5488494630517721, 0.2070253569602565)","(0.9997308464334673, 0.0023309382613645986)","(0.9997308464334673, 0.0023309382613645986)","(0.9997308464334673, 0.0023309382613645986)"
1,"(0.6954702734947205, 0.2134958952665329, 0.09103382378816605)","(0.0, 0.1, 0.9)","(0.9611705399352344, 0.06087371822636403)","(0.8860494033705573, 0.17632483506843463)","(0.8928568822783343, 0.18154525770488153)","(0.9871343914990154, 0.025565653603767797)","(0.6114118526518575, 0.20486079975646201)","(0.8928568822783343, 0.18154525770488153)","(0.8909108491652455, 0.18030910215432597)","(0.7797322379645772, 0.2006258305091775)"
2,"(0.6616013646125793, 0.3289449214935303, 0.009453734382987022)","(0.0, 0.2, 0.8)","(0.9266830185233099, 0.08091401119328472)","(0.7868986688132488, 0.22023247126698167)","(0.7279629201893517, 0.27921823552249136)","(0.938274374790521, 0.07893991223974466)","(0.698465538146335, 0.18064141239171277)","(0.7278916124024817, 0.2793371432871166)","(0.7329102777695102, 0.2686676157216504)","(0.678075908393441, 0.2152208363023448)"
3,"(0.6487314105033875, 0.34319835901260376, 0.008070281706750393)","(0.0, 0.3, 0.7)","(0.9237601521342134, 0.08488786024223485)","(0.7778700160642551, 0.2241245928381328)","(0.7133101137775654, 0.2875804601586168)","(0.9293897051278179, 0.08470593122016867)","(0.713173832355901, 0.18246153637075851)","(0.7131231326422973, 0.2878465754299495)","(0.7223260930037411, 0.27113580173932333)","(0.6096913578118915, 0.19344462822635955)"
4,"(0.5592823028564453, 0.43100976943969727, 0.009707869030535221)","(0.0, 0.4, 0.6)","(0.8812871943146388, 0.10702780112102944)","(0.7034382345207827, 0.23252264082912533)","(0.5758323563658275, 0.310489220676046)","(0.8728440882674712, 0.11941874995169816)","(0.7950906017470382, 0.1593132932444443)","(0.5752827041885157, 0.3103039528469195)","(0.6041964337713361, 0.28305666313283395)","(0.658184630176407, 0.1931306698699719)"
5,"(0.5435200929641724, 0.44555234909057617, 0.010927537456154823)","(0.0, 0.5, 0.5)","(0.8780465273982236, 0.10989528779568476)","(0.6978379545973526, 0.23111801500191384)","(0.5656582754234197, 0.3105149135781776)","(0.8678662529106411, 0.12208994658359738)","(0.8016976271211971, 0.15412366246169967)","(0.5649188568388093, 0.3104655725906474)","(0.6056687672080795, 0.2748033573273989)","(0.6626545367647858, 0.20024846964190474)"
6,"(0.4530845284461975, 0.5348014831542969, 0.012113926000893116)","(0.0, 0.6, 0.4)","(0.8398429951848787, 0.13025572288513018)","(0.6529829698086356, 0.22256478840975638)","(0.4881540095015241, 0.31249859638322003)","(0.8239765056633619, 0.14225584083345344)","(0.8564116398840134, 0.13592848804221905)","(0.4867698681601792, 0.31144366672659207)","(0.5509546159612633, 0.2668658922979531)","(0.7261845063509573, 0.18156306414910472)"
7,"(0.2768465280532837, 0.7114642262458801, 0.011689189821481705)","(0.0, 0.7, 0.3)","(0.7895354252521634, 0.1554009080758911)","(0.6084671735001544, 0.22851062629454802)","(0.41040278677693987, 0.30385207901233846)","(0.7626573562718977, 0.15904613599536843)","(0.9255700081067588, 0.09763694966980913)","(0.4089933798190045, 0.30306967338536533)","(0.5048832973182952, 0.2559823964684458)","(0.7515530208582245, 0.1626013313966419)"
8,"(0.28607887029647827, 0.7039340138435364, 0.00998704507946968)","(0.0, 0.8, 0.2)","(0.7982431602807691, 0.1567972753839115)","(0.6176065755002619, 0.22834797119520647)","(0.413669133565087, 0.303448189934356)","(0.7626573562718977, 0.15904613599536843)","(0.9255700081067588, 0.09763694966980913)","(0.4089933798190045, 0.30306967338536533)","(0.5382857651077221, 0.245662174929164)","(0.8104941153027985, 0.15971653305067407)"
9,"(0.01070223655551672, 0.9849364161491394, 0.00436133099719882)","(0.0, 0.9, 0.1)","(0.686280461200934, 0.17281985114291887)","(0.6199284332509812, 0.20280363999446752)","(0.30868194054439196, 0.2353301208797517)","(0.6541066786555225, 0.16139302878846792)","(0.9986830449788402, 0.004804512532300712)","(0.2697608606218608, 0.2070718361463239)","(0.5363678623713468, 0.19505282482226177)","(0.8963657520841753, 0.11214082016594745)"
10,"(0.0031073945574462414, 0.9946551322937012, 0.0022374179679900408)","(0.0, 1.0, 0.0)","(0.9787397738253031, 0.0955700609493962)","(0.9990584781297154, 0.004263248734772378)","(0.972686132533851, 0.12134321640442741)","(0.6506529360198713, 0.16376975159090115)","(0.9990584781297154, 0.004263248734772378)","(0.26847924418418395, 0.20777802669774348)","(0.9990584781297154, 0.004263248734772378)","(0.9990584781297154, 0.004263248734772378)"
