,Learned Profile,Target Profile,Similarity in terms of Sus,Similarity in terms of Sec,Similarity in terms of Eff,Similarity with Sus expert,Similarity with Sec expert,Similarity with Eff expert,Similarity with target profile agent,Similarity with target profile society
0,"(0.0, 0.0, 1.0)","(0.0, 0.0, 1.0)","(1.0, 5.921121e-08)","(1.0, 5.554504e-08)","(1.0, 5.116433e-08)","(0.72607416, 0.33811668)","(0.28648674, 0.23576437)","(1.0, 5.116433e-08)","(1.0, 5.116433e-08)","(1.0, 5.116433e-08)"
1,"(0.0, 0.1, 0.9)","(0.0, 0.1, 0.9)","(0.9420633, 0.19347616)","(0.9428506, 0.1888848)","(0.9473135, 0.17962612)","(0.6885477, 0.35342944)","(0.28889805, 0.23572335)","(0.9473135, 0.17962612)","(0.94664204, 0.18056357)","(0.86177766, 0.18871047)"
2,"(0.0, 0.2, 0.8)","(0.0, 0.2, 0.8)","(0.9354178, 0.20275363)","(0.9338307, 0.2041033)","(0.9405637, 0.18702005)","(0.683057, 0.35670826)","(0.28838944, 0.23592168)","(0.9337446, 0.19404508)","(0.93818694, 0.19175759)","(0.78032404, 0.19657786)"
3,"(0.0, 0.3, 0.7)","(0.0, 0.3, 0.7)","(0.9150738, 0.22393888)","(0.905288, 0.24439774)","(0.91806144, 0.21044454)","(0.6768692, 0.37040904)","(0.30842543, 0.253726)","(0.8898342, 0.24457306)","(0.9122731, 0.22456703)","(0.6847681, 0.21485108)"
4,"(0.0, 0.4, 0.6)","(0.0, 0.4, 0.6)","(0.868076, 0.26285452)","(0.8570091, 0.28055772)","(0.8578353, 0.27139643)","(0.702266, 0.36538196)","(0.34095374, 0.27066848)","(0.82199746, 0.29586414)","(0.8580809, 0.2717147)","(0.5893871, 0.21749495)"
5,"(0.0, 0.5, 0.5)","(0.0, 0.5, 0.5)","(0.8283235, 0.28640965)","(0.8180556, 0.29856405)","(0.80789644, 0.30721432)","(0.6993683, 0.36085927)","(0.34999308, 0.28008378)","(0.77769756, 0.3174806)","(0.81445867, 0.29772392)","(0.52526104, 0.21266437)"
6,"(0.0, 0.6, 0.4)","(0.0, 0.6, 0.4)","(0.7757675, 0.30158162)","(0.76975715, 0.3089017)","(0.7394147, 0.33663657)","(0.6642726, 0.3681699)","(0.37039477, 0.28140175)","(0.6999175, 0.33924714)","(0.76181597, 0.31084168)","(0.46191928, 0.22155797)"
7,"(0.0, 0.7, 0.3)","(0.0, 0.7, 0.3)","(0.6230038, 0.34790757)","(0.6342244, 0.34274408)","(0.57117194, 0.3803005)","(0.5389872, 0.37126502)","(0.44063884, 0.2894617)","(0.5447837, 0.37127417)","(0.62059927, 0.34634206)","(0.4524988, 0.21601868)"
8,"(0.0, 0.8, 0.2)","(0.0, 0.8, 0.2)","(0.47591677, 0.36253595)","(0.507648, 0.34709078)","(0.41444314, 0.3846912)","(0.43680915, 0.35929286)","(0.5508925, 0.3121089)","(0.38237807, 0.35737696)","(0.48985466, 0.3528295)","(0.5158782, 0.2621222)"
9,"(0.0, 0.9, 0.1)","(0.0, 0.9, 0.1)","(0.34151676, 0.32636333)","(0.40505812, 0.32510546)","(0.27236798, 0.3357648)","(0.30695975, 0.31513405)","(0.8099386, 0.27392688)","(0.22592732, 0.29717425)","(0.38757297, 0.32360414)","(0.7514693, 0.25970572)"
10,"(0.0, 1.0, 0.0)","(0.0, 1.0, 0.0)","(1.0, 4.9303186e-08)","(1.0, 4.4309612e-08)","(1.0, 4.377894e-08)","(0.23872817, 0.26103696)","(1.0, 4.4309612e-08)","(0.14410883, 0.20005205)","(1.0, 4.4309612e-08)","(1.0, 5.2960118e-08)"
