,Learned Profile,Target Profile,Similarity in terms of Sus,Similarity in terms of Sec,Similarity in terms of Eff,Similarity with Sus expert,Similarity with Sec expert,Similarity with Eff expert,Similarity with target profile agent,Similarity with target profile society
0,"(0.017024695873260498, 0.008413741365075111, 0.9745615720748901)","(0.0, 0.0, 1.0)","(1.0, 5.921121e-08)","(1.0, 5.554504e-08)","(1.0, 5.116433e-08)","(0.72607416, 0.33811668)","(0.28648674, 0.23576437)","(1.0, 5.116433e-08)","(1.0, 5.116433e-08)","(1.0, 5.116433e-08)"
1,"(0.017024695873260498, 0.008413741365075111, 0.9745615720748901)","(0.0, 0.1, 0.9)","(1.0, 5.921121e-08)","(1.0, 5.554504e-08)","(1.0, 5.116433e-08)","(0.72607416, 0.33811668)","(0.28648674, 0.23576437)","(1.0, 5.116433e-08)","(1.0, 5.9604645e-08)","(0.91146773, 0.079281405)"
2,"(0.04794963821768761, 0.028978191316127777, 0.9230722188949585)","(0.0, 0.2, 0.8)","(1.0, 5.921121e-08)","(1.0, 5.5122637e-08)","(1.0, 4.9303186e-08)","(0.7188715, 0.33803517)","(0.2888713, 0.23550947)","(0.9931808, 0.05905596)","(1.0, 7.0723736e-08)","(0.82807755, 0.12096821)"
3,"(0.001709706848487258, 0.03501235693693161, 0.9632779955863953)","(0.0, 0.3, 0.7)","(1.0, 5.921121e-08)","(1.0, 6.733784e-08)","(1.0, 4.7368967e-08)","(0.69663876, 0.34649256)","(0.2892849, 0.23522586)","(0.97177285, 0.14196783)","(1.0, 5.6793397e-08)","(0.7323246, 0.17409024)"
4,"(0.002278180094435811, 0.0518326461315155, 0.9458891749382019)","(0.0, 0.4, 0.6)","(1.0, 5.921121e-08)","(1.0, 6.8371214e-08)","(1.0, 4.7368967e-08)","(0.7026271, 0.3477486)","(0.28941897, 0.23518614)","(0.96416235, 0.15514283)","(1.0, 5.383555e-08)","(0.6637899, 0.17170472)"
5,"(0.0010955568868666887, 0.0844297781586647, 0.9144746661186218)","(0.0, 0.5, 0.5)","(0.98324203, 0.11197979)","(0.9829065, 0.11268641)","(0.9863724, 0.0933463)","(0.69785535, 0.3455772)","(0.28957263, 0.23502001)","(0.9576087, 0.15871093)","(0.9842243, 0.10632394)","(0.5812975, 0.17680977)"
6,"(0.0040326728485524654, 0.12200377881526947, 0.8739635348320007)","(0.0, 0.6, 0.4)","(0.9903305, 0.083739944)","(0.9895027, 0.09090831)","(0.99340326, 0.05712937)","(0.6885477, 0.35342944)","(0.28889805, 0.23572335)","(0.9473135, 0.17962612)","(0.9904251, 0.08292081)","(0.5091131, 0.1899409)"
7,"(0.006724543869495392, 0.15210629999637604, 0.8411691188812256)","(0.0, 0.7, 0.3)","(1.0, 5.921121e-08)","(1.0, 6.972523e-08)","(1.0, 4.5352333e-08)","(0.683057, 0.35670826)","(0.28838944, 0.23592168)","(0.9337446, 0.19404508)","(1.0, 5.5964254e-08)","(0.4426661, 0.20839842)"
8,"(0.004529362078756094, 0.2930210828781128, 0.7024495601654053)","(0.0, 0.8, 0.2)","(0.987089, 0.07889429)","(0.9822202, 0.10848879)","(0.9872605, 0.077545196)","(0.6768692, 0.37040904)","(0.30842543, 0.253726)","(0.8898342, 0.24457306)","(0.98303556, 0.10346113)","(0.38004875, 0.22418803)"
9,"(0.10334214568138123, 0.4601602852344513, 0.4364974796772003)","(0.0, 0.9, 0.1)","(0.98065645, 0.08306735)","(0.982134, 0.07918418)","(0.9712388, 0.12239173)","(0.6999762, 0.3634303)","(0.35298276, 0.28577703)","(0.7627794, 0.32000506)","(0.9814459, 0.081453994)","(0.37734103, 0.25677264)"
10,"(0.000727725331671536, 0.998508632183075, 0.0007635505171492696)","(0.0, 1.0, 0.0)","(1.0, 4.9303186e-08)","(1.0, 4.4309612e-08)","(1.0, 4.377894e-08)","(0.23872817, 0.26103696)","(1.0, 4.4309612e-08)","(0.14410883, 0.20005205)","(1.0, 4.4309612e-08)","(1.0, 5.2960118e-08)"
