,Learned Profile,Target Profile,Similarity in terms of Sus,Similarity in terms of Sec,Similarity in terms of Eff,Similarity with Sus expert,Similarity with Sec expert,Similarity with Eff expert,Similarity with target profile agent,Similarity with target profile society
0,"(0.013789385557174683, 0.011204198002815247, 0.9750064015388489)","(0.0, 0.0, 1.0)","(0.99279726, 0.06237721)","(0.9935542, 0.055822648)","(0.9931808, 0.059055954)","(0.69322306, 0.34253585)","(0.2857619, 0.24370034)","(0.9931808, 0.059055954)","(0.9931808, 0.059055954)","(0.9931808, 0.059055954)"
1,"(0.6954702734947205, 0.2134958952665329, 0.09103382378816605)","(0.0, 0.1, 0.9)","(0.7654918, 0.30416748)","(0.7662759, 0.3068456)","(0.7451768, 0.32320955)","(0.82187754, 0.30729157)","(0.32762268, 0.26595554)","(0.7451768, 0.32320955)","(0.7489897, 0.3182162)","(0.7024477, 0.2881549)"
2,"(0.6616013646125793, 0.3289449214935303, 0.009453734382987022)","(0.0, 0.2, 0.8)","(0.6135379, 0.3384583)","(0.62520075, 0.33693668)","(0.56380385, 0.3704154)","(0.64405113, 0.3470926)","(0.39175874, 0.28041014)","(0.56284183, 0.37155843)","(0.57980746, 0.3570082)","(0.516549, 0.28691563)"
3,"(0.6487314105033875, 0.34319835901260376, 0.008070281706750393)","(0.0, 0.3, 0.7)","(0.61382693, 0.3367075)","(0.62837344, 0.33322403)","(0.56074727, 0.3712787)","(0.61880136, 0.35181913)","(0.39836434, 0.29144245)","(0.55902183, 0.37336153)","(0.5859806, 0.35150382)","(0.48439062, 0.24918959)"
4,"(0.5592823028564453, 0.43100976943969727, 0.009707869030535221)","(0.0, 0.4, 0.6)","(0.50197625, 0.34120104)","(0.53401273, 0.33244604)","(0.43829185, 0.37238044)","(0.52658343, 0.35513425)","(0.48285714, 0.29537645)","(0.42942142, 0.36771193)","(0.4807132, 0.34939653)","(0.44488025, 0.23327866)"
5,"(0.5435200929641724, 0.44555234909057617, 0.010927537456154823)","(0.0, 0.5, 0.5)","(0.49014744, 0.34628096)","(0.52027345, 0.33897725)","(0.42784426, 0.3746954)","(0.51752573, 0.35794124)","(0.4890481, 0.2931399)","(0.42004022, 0.36893755)","(0.47803873, 0.34977368)","(0.43726137, 0.21565212)"
6,"(0.4530845284461975, 0.5348014831542969, 0.012113926000893116)","(0.0, 0.6, 0.4)","(0.4084435, 0.3384091)","(0.4438076, 0.3259089)","(0.3507968, 0.3629782)","(0.44601893, 0.34937593)","(0.5595907, 0.30949524)","(0.340626, 0.35259533)","(0.40697876, 0.33538902)","(0.47792676, 0.23056965)"
7,"(0.2768465280532837, 0.7114642262458801, 0.011689189821481705)","(0.0, 0.7, 0.3)","(0.33589688, 0.33539507)","(0.37499046, 0.32743922)","(0.28731582, 0.35347497)","(0.36431098, 0.337135)","(0.6980337, 0.2881372)","(0.2870613, 0.34936348)","(0.34585276, 0.33145955)","(0.5692856, 0.22509764)"
8,"(0.28607887029647827, 0.7039340138435364, 0.00998704507946968)","(0.0, 0.8, 0.2)","(0.33281374, 0.33419016)","(0.37134576, 0.3230208)","(0.2853649, 0.35354117)","(0.36431098, 0.337135)","(0.6980337, 0.2881372)","(0.2870613, 0.34936348)","(0.35164207, 0.326671)","(0.6211931, 0.26127136)"
9,"(0.01070223655551672, 0.9849364161491394, 0.00436133099719882)","(0.0, 0.9, 0.1)","(0.2600772, 0.25463513)","(0.3330004, 0.26830986)","(0.18733445, 0.25377673)","(0.24758753, 0.26063284)","(0.95798373, 0.15264072)","(0.1532265, 0.21996467)","(0.31264517, 0.26246378)","(0.8811056, 0.16147503)"
10,"(0.0031073945574462414, 0.9946551322937012, 0.0022374179679900408)","(0.0, 1.0, 0.0)","(0.96858215, 0.14050415)","(0.9656783, 0.1466419)","(0.96860605, 0.14296319)","(0.24653232, 0.26129285)","(0.9656783, 0.1466419)","(0.15271726, 0.22022818)","(0.9656783, 0.1466419)","(0.9656783, 0.1466419)"
