,Learned Profile,Target Profile,Similarity in terms of Sus,Similarity in terms of Sec,Similarity in terms of Eff,Similarity with Sus expert,Similarity with Sec expert,Similarity with Eff expert,Similarity with target profile agent,Similarity with target profile society
0,"(0.0, 0.0, 1.0)","(0.0, 0.0, 1.0)",,,,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
1,"(0.0, 0.1, 0.9)","(0.0, 0.1, 0.9)",,,,"(2.276315789473684, 8.993563025868946)","(2.276315789473684, 8.993563025868946)","(2.276315789473684, 8.993563025868946)","(2.276315789473684, 8.993563025868946)","(9.144736842105264, 10.318549912617032)"
2,"(0.0, 0.2, 0.8)","(0.0, 0.2, 0.8)",,,,"(2.5526315789473686, 9.257137696823468)","(2.5526315789473686, 9.257137696823468)","(2.5526315789473686, 9.257137696823468)","(2.5526315789473686, 9.257137696823468)","(13.335526315789474, 9.97377751310337)"
3,"(0.0, 0.3, 0.7)","(0.0, 0.3, 0.7)",,,,"(2.8815789473684212, 8.684479660901362)","(2.8815789473684212, 8.684479660901362)","(2.8815789473684212, 8.684479660901362)","(2.8815789473684212, 8.684479660901362)","(14.618421052631579, 9.975255049190418)"
4,"(0.0, 0.4, 0.6)","(0.0, 0.4, 0.6)",,,,"(3.710526315789474, 8.649331871783788)","(3.710526315789474, 8.649331871783788)","(3.710526315789474, 8.649331871783788)","(3.710526315789474, 8.649331871783788)","(14.756578947368421, 9.060648511795037)"
5,"(0.0, 0.5, 0.5)","(0.0, 0.5, 0.5)",,,,"(5.0131578947368425, 10.054448375369182)","(5.0131578947368425, 10.054448375369182)","(5.0131578947368425, 10.054448375369182)","(5.0131578947368425, 10.054448375369182)","(14.94078947368421, 9.093435712696374)"
6,"(0.0, 0.6, 0.4)","(0.0, 0.6, 0.4)",,,,"(6.302631578947368, 10.3530058397017)","(6.302631578947368, 10.3530058397017)","(6.302631578947368, 10.3530058397017)","(6.302631578947368, 10.3530058397017)","(15.480263157894736, 9.229686368293546)"
7,"(0.0, 0.7, 0.3)","(0.0, 0.7, 0.3)",,,,"(10.868421052631579, 12.17670565731224)","(10.868421052631579, 12.17670565731224)","(10.868421052631579, 12.17670565731224)","(10.868421052631579, 12.17670565731224)","(15.572368421052632, 8.710891529154004)"
8,"(0.0, 0.8, 0.2)","(0.0, 0.8, 0.2)",,,,"(15.592105263157896, 12.722935807739777)","(15.592105263157896, 12.722935807739777)","(15.592105263157896, 12.722935807739777)","(15.592105263157896, 12.722935807739777)","(15.697368421052632, 9.378053519341545)"
9,"(0.0, 0.9, 0.1)","(0.0, 0.9, 0.1)",,,,"(21.0, 12.946245137409331)","(21.0, 12.946245137409331)","(21.0, 12.946245137409331)","(21.0, 12.946245137409331)","(11.986842105263158, 9.651143129801326)"
10,"(0.0, 1.0, 0.0)","(0.0, 1.0, 0.0)",,,,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
