,Policy,sus,sec,eff
0,Exp + P,"(0.38025577670257343, 0.11126354636423477)","(0.2918051385173672, 0.09969641974686427)","(0.21393223941375158, 0.10671546813275944)"
1,VL + P,"(0.38025577670257343, 0.11126354636423477)","(0.2918051385173672, 0.09969641974686427)","(0.21393223941375158, 0.10671546813275944)"
2,"Expert (0.0, 0.0, 1.0)","(0.4027201077383085, 0.12472095606301664)","(0.5896176209330166, 0.2227459038437514)","(0.21393223878993395, 0.1067154682539768)"
3,"Expert (0.0, 0.1, 0.9)","(0.4027201077383085, 0.12472095606301664)","(0.5896176209330166, 0.2227459038437514)","(0.21393223878993395, 0.1067154682539768)"
4,"Expert (0.0, 0.2, 0.8)","(0.4028674413765609, 0.12463013968572838)","(0.5874272079427579, 0.22197267759306466)","(0.213979365893465, 0.10669751383310419)"
5,"Expert (0.0, 0.3, 0.7)","(0.4065388041597448, 0.13394338825685465)","(0.5842238443621778, 0.21504914979402373)","(0.21408668519909138, 0.10678951823032665)"
6,"Expert (0.0, 0.4, 0.6)","(0.4069371259385279, 0.13421237346666756)","(0.5810292282656423, 0.2126117735305177)","(0.2142558096962411, 0.10694772879446562)"
7,"Expert (0.0, 0.5, 0.5)","(0.4103880063768501, 0.13884456765111633)","(0.5788209647810283, 0.21033457469868008)","(0.21443644523472022, 0.10707836923075388)"
8,"Expert (0.0, 0.6, 0.4)","(0.4094285128828089, 0.1374119158199677)","(0.5748152052707921, 0.2094920427993556)","(0.21486523920650238, 0.10847914237096705)"
9,"Expert (0.0, 0.7, 0.3)","(0.40942044636099845, 0.13741573848305827)","(0.5737722721418035, 0.21091107530796538)","(0.21504364492743902, 0.10852920912738166)"
10,"Expert (0.0, 0.8, 0.2)","(0.41343566308128893, 0.14043161312545735)","(0.5662240973960204, 0.211604678019853)","(0.21744150311745838, 0.11042893377745619)"
11,"Expert (0.0, 0.9, 0.1)","(0.40257704968864444, 0.13480319480631567)","(0.5169529790176679, 0.20170937418081372)","(0.24825596205903966, 0.1422856182239815)"
12,"Expert (0.0, 1.0, 0.0)","(0.6477393075283066, 0.2361832086347883)","(0.2918051385056874, 0.09969641656120663)","(1.0907190222692167, 0.5074766754880546)"
13,"Society (0.0, 0.0, 1.0)","(0.4027201077383085, 0.12472095606301664)","(0.5896176209330166, 0.2227459038437514)","(0.21393223878993395, 0.1067154682539768)"
14,"Society (0.0, 0.1, 0.9)","(0.425961075867465, 0.13275861170463474)","(0.5588423463080145, 0.21169093930839566)","(0.3010957614051892, 0.15304927939431665)"
15,"Society (0.0, 0.2, 0.8)","(0.450538440739834, 0.14113649877300108)","(0.533335779346204, 0.1982672089852813)","(0.38574788231566537, 0.1936768169927102)"
16,"Society (0.0, 0.3, 0.7)","(0.4732755020770894, 0.1427277281591636)","(0.5053416247010892, 0.18272632800292174)","(0.465066786555843, 0.21112353304911557)"
17,"Society (0.0, 0.4, 0.6)","(0.5047809484485984, 0.16882594450537736)","(0.47206093177180597, 0.16282475218785236)","(0.5732117810802024, 0.2933250258816813)"
18,"Society (0.0, 0.5, 0.5)","(0.5290222201131798, 0.17157043200802527)","(0.4466517152458484, 0.16209933152729644)","(0.6555116000963226, 0.31924285926066376)"
19,"Society (0.0, 0.6, 0.4)","(0.5510337137767285, 0.17823073095959238)","(0.41125977630171723, 0.14951333476739712)","(0.7434877563449462, 0.34934939289827105)"
20,"Society (0.0, 0.7, 0.3)","(0.5754051615487888, 0.2002035665953971)","(0.38537183697341165, 0.13163653308002754)","(0.8281626766723332, 0.4050100289747037)"
21,"Society (0.0, 0.8, 0.2)","(0.5993623230575682, 0.2059405270307797)","(0.3495533199255557, 0.12998953928006002)","(0.91587327435543, 0.42823891907814754)"
22,"Society (0.0, 0.9, 0.1)","(0.6211252340724489, 0.22232611433612218)","(0.32673135075393045, 0.11249408207075288)","(0.9914057419240538, 0.4632509527221105)"
23,"Society (0.0, 1.0, 0.0)","(0.6477393075283066, 0.2361832086347883)","(0.2918051385056874, 0.09969641656120663)","(1.0907190222692167, 0.5074766754880546)"
24,"Learning(0.0, 0.0, 1.0)_result_(0.01, 0.01, 0.98)","(0.4028674413765609, 0.12463013968572838)","(0.5874272079427579, 0.22197267759306466)","(0.213979365893465, 0.10669751383310419)"
25,"Learning(0.0, 0.1, 0.9)_result_(0.7, 0.21, 0.09)","(0.3858667946448182, 0.1138106606928575)","(0.5299632905570386, 0.21887227298978884)","(0.2597825893654341, 0.15537714725087168)"
26,"Learning(0.0, 0.2, 0.8)_result_(0.66, 0.33, 0.01)","(0.4106519599858745, 0.13093555493866676)","(0.4521602971630943, 0.19380794558507314)","(0.373558015031832, 0.26060705886601593)"
27,"Learning(0.0, 0.3, 0.7)_result_(0.65, 0.34, 0.01)","(0.41528191606477394, 0.13276135424339341)","(0.4426583308323691, 0.1905948121631038)","(0.3872420477495517, 0.26777976381347046)"
28,"Learning(0.0, 0.4, 0.6)_result_(0.56, 0.43, 0.01)","(0.4500691624975604, 0.15738483826109678)","(0.38397394906017945, 0.15449192006014548)","(0.5217869187977876, 0.34154303875983105)"
29,"Learning(0.0, 0.5, 0.5)_result_(0.54, 0.45, 0.01)","(0.4536035254277522, 0.16006719417734108)","(0.37903990842977164, 0.14923094693545802)","(0.5338121788066162, 0.3454023499958402)"
30,"Learning(0.0, 0.6, 0.4)_result_(0.45, 0.53, 0.01)","(0.4832862293965024, 0.17384381732348372)","(0.3462474266552339, 0.1165737856911464)","(0.6450869384808404, 0.38727529464229055)"
31,"Learning(0.0, 0.7, 0.3)_result_(0.28, 0.71, 0.01)","(0.5255929413029471, 0.18468766850611892)","(0.31904885873001676, 0.11093070852529639)","(0.7720119047421337, 0.4161511159987029)"
32,"Learning(0.0, 0.8, 0.2)_result_(0.29, 0.7, 0.01)","(0.5255929413029471, 0.18468766850611892)","(0.31904885873001676, 0.11093070852529639)","(0.7720119047421337, 0.4161511159987029)"
33,"Learning(0.0, 0.9, 0.1)_result_(0.01, 0.98, 0.0)","(0.6259012314648748, 0.23323329815348648)","(0.2922414229157623, 0.09993336595270651)","(1.040000859447709, 0.5000062036549159)"
34,"Learning(0.0, 1.0, 0.0)_result_(0.0, 0.99, 0.0)","(0.6304681457197723, 0.23469255731599417)","(0.2921331369432569, 0.0999144508877987)","(1.0502886740497688, 0.5039413395732032)"
