,Learned Profile,Target Profile,Similarity in terms of Sus,Similarity in terms of Sec,Similarity in terms of Eff,Similarity with target profile agent,Similarity with target profile society
0,"(0.0, 0.0, 1.0)","(0.0, 0.0, 1.0)",1.0,1.0,1.0,1.0,1.0
1,"(0.0, 0.25, 0.75)","(0.0, 0.25, 0.75)",0.9819894197635285,0.9647201932291813,0.9905165407832781,0.995712013141465,0.5039291376280894
2,"(0.0, 0.5, 0.5)","(0.0, 0.5, 0.5)",0.9604229750135111,0.7758208976206693,0.9053386817687217,0.9658671812822737,0.7552094254907624
3,"(0.0, 0.75, 0.25)","(0.0, 0.75, 0.25)",0.8705363160432052,0.3832609853510497,0.5912888080829091,0.8510700903219645,0.8740357080714837
4,"(0.0, 1.0, 0.0)","(0.0, 1.0, 0.0)",1.0,1.0,1.0,1.0,1.0
5,"(0.25, 0.0, 0.75)","(0.25, 0.0, 0.75)",0.9807789903893502,0.98181792413337,0.9946676299033183,0.9987375288210114,0.9816070656856177
6,"(0.25, 0.25, 0.5)","(0.25, 0.25, 0.5)",0.9787351956250766,0.9033409672503436,0.9543249682478827,0.9857877121444669,0.6746276718113319
7,"(0.25, 0.5, 0.25)","(0.25, 0.5, 0.25)",0.9368968564326777,0.6354078847708869,0.8015222508549734,0.9378178961158626,0.8402260720619098
8,"(0.25, 0.75, 0.0)","(0.25, 0.75, 0.0)",0.9181518017848024,0.9095076501317059,0.8617531798766425,0.9805047217119391,0.8483329417502705
9,"(0.5, 0.0, 0.5)","(0.5, 0.0, 0.5)",0.9895267084017364,0.976402597857881,0.9914954167330441,0.9978582626990771,0.9784301519528855
10,"(0.5, 0.25, 0.25)","(0.5, 0.25, 0.25)",0.9776031201448104,0.7815764475600817,0.917051871839218,0.9861458503988798,0.7947096871527962
11,"(0.5, 0.5, 0.0)","(0.5, 0.5, 0.0)",0.9248391724521381,0.8506240993040987,0.8063769702399552,0.9819425118450378,0.8670645999639831
12,"(0.75, 0.0, 0.25)","(0.75, 0.0, 0.25)",0.987171020043467,0.9471226887238272,0.9727870219395671,0.9961876130880316,0.9913429545541133
13,"(0.75, 0.25, 0.0)","(0.75, 0.25, 0.0)",0.974297917949177,0.8773335842161355,0.9056306343139281,0.9928200526385002,0.8882536792555499
14,"(1.0, 0.0, 0.0)","(1.0, 0.0, 0.0)",1.0,1.0,1.0,1.0,1.0
