,Learned Profile,Target Profile,Similarity in terms of Sus,Similarity in terms of Sec,Similarity in terms of Eff,Similarity with target profile agent,Similarity with target profile society
0,"(0.0, 0.0, 1.0)","(0.0, 0.0, 1.0)",1.0,1.0,1.0,1.0,1.0
1,"(0.0, 0.25, 0.75)","(0.0, 0.25, 0.75)",0.90564084,0.9003399,0.9123483,0.9066902,0.7130894
2,"(0.0, 0.5, 0.5)","(0.0, 0.5, 0.5)",0.8133683,0.80187833,0.79837275,0.8005126,0.50543565
3,"(0.0, 0.75, 0.25)","(0.0, 0.75, 0.25)",0.5168286,0.5382853,0.45479703,0.5196102,0.43780145
4,"(0.0, 1.0, 0.0)","(0.0, 1.0, 0.0)",1.0,1.0,1.0,1.0,1.0
5,"(0.25, 0.0, 0.75)","(0.25, 0.0, 0.75)",0.9065084,0.9066194,0.9142929,0.9115144,0.8857988
6,"(0.25, 0.25, 0.5)","(0.25, 0.25, 0.5)",0.88413256,0.8742435,0.86787957,0.87462574,0.67481923
7,"(0.25, 0.5, 0.25)","(0.25, 0.5, 0.25)",0.70683014,0.71020365,0.6704296,0.70122206,0.4936554
8,"(0.25, 0.75, 0.0)","(0.25, 0.75, 0.0)",0.82580495,0.83962613,0.810383,0.8354538,0.6663258
9,"(0.5, 0.0, 0.5)","(0.5, 0.0, 0.5)",0.9381706,0.9341266,0.94268376,0.93988216,0.8465968
10,"(0.5, 0.25, 0.25)","(0.5, 0.25, 0.25)",0.85375667,0.8439661,0.83691657,0.8483523,0.659327
11,"(0.5, 0.5, 0.0)","(0.5, 0.5, 0.0)",0.75951433,0.7808797,0.73665833,0.77049786,0.4966134
12,"(0.75, 0.0, 0.25)","(0.75, 0.0, 0.25)",0.8999967,0.8920313,0.89720255,0.8995102,0.87810427
13,"(0.75, 0.25, 0.0)","(0.75, 0.25, 0.0)",0.8806267,0.88407534,0.8642261,0.88197446,0.6239755
14,"(1.0, 0.0, 0.0)","(1.0, 0.0, 0.0)",1.0,1.0,1.0,1.0,1.0
