,Policy,sus,sec,"('0.700', '0.300', '0.000')",Societal cost
0,Expert + given profile,"(3.0683981740945265, 0.8978190336321694)","(1.5124104819015454, 0.5167212172019352)","(2.6383432989057742, 0.8298362062940282)","(0, 0)"
1,Value Learning + given profile,"(3.0683981740945265, 0.8978190336321694)","(1.5124104819015454, 0.5167212172019352)","(2.6358738000455655, 0.8268580003675421)","(0, 0)"
2,"Profile Learning (as weights): ('0.354', '0.305', '0.341')","(3.150685234681556, 0.9502568614766005)","(2.7243203775663125, 1.1089801164568538)","(2.894866407701844, 0.962356724040019)","(0, 0)"
3,"Profile Learning (as probs): ('0.354', '0.305', '0.341')","(3.740730309094253, 1.1297050913928672)","(2.600162498731362, 0.9564358460355756)","(3.0563897046603654, 0.9647600628069873)","(1.8165779846573347, 0.5245423147586419)"
4,"Expert with profile ('0.700', '0.300', '0.000')","(3.129086051724459, 0.9246928647106492)","(2.69011208924808, 1.1329455739494878)","(2.865701756195018, 0.9633659984858085)","(0, 0)"
5,"Society with profile ('0.700', '0.300', '0.000')","(3.688745656531108, 1.2157310456606314)","(2.6119302083002887, 1.003332427354341)","(3.0426564585221443, 0.9946445071585363)","(2.315692832203288, 0.6721467144937688)"
6,"Expert with profile ('1.000', '0.000', '0.000')","(3.0683981740945265, 0.8978190336321694)","(3.06279917335824, 1.230559921030689)","(3.065038848080133, 1.0383142692386387)","(0, 0)"
7,"Expert with profile ('0.000', '1.000', '0.000')","(5.226803132970082, 1.9058333094634088)","(1.5124104819015454, 0.5167212172019352)","(2.9981676175406107, 0.9814681020686096)","(0, 0)"
8,"Expert with profile ('0.700', '0.300', '0.000')","(3.129086051724459, 0.924692864710649)","(2.69011208924808, 1.1329455739494878)","(2.865701756195018, 0.9633659984858088)","(0, 0)"
9,"Expert with profile ('0.900', '0.100', '0.000')","(3.0774041535822967, 0.904482737805919)","(2.9345622615594613, 1.196957718099936)","(2.991699103462069, 1.0061202132765563)","(0, 0)"
10,"Expert with profile ('0.300', '0.700', '0.000')","(3.9621525951906253, 1.4446966725464159)","(1.7612511590123177, 0.5959015669992392)","(2.641611783912307, 0.8302145627661112)","(0, 0)"
11,"Expert with profile ('0.200', '0.800', '0.000')","(4.257490796086035, 1.5093584470674561)","(1.648829118593743, 0.5759443775059899)","(2.6922938596261177, 0.8444049838979382)","(0, 0)"
12,"Expert with profile ('0.500', '0.500', '0.000')","(3.485105468646476, 1.1439963941902784)","(2.1331482996281825, 0.9644906310577511)","(2.673931219860127, 0.8692321118030175)","(0, 0)"
13,"Expert with profile ('0.800', '0.200', '0.000')","(3.0954388689837957, 0.9139998223488621)","(2.8039607519381926, 1.1646106595133017)","(2.9205520913789145, 0.9799630494209975)","(0, 0)"
14,"Expert with profile ('0.600', '0.400', '0.000')","(3.2539516024683652, 1.004432019622996)","(2.43619639504897, 1.0736730272006711)","(2.7632985389546345, 0.9205477502337878)","(0, 0)"
15,"Expert with profile ('0.100', '0.900', '0.000')","(4.788054343509047, 1.7978995729353384)","(1.5287362991979248, 0.5204484650832152)","(2.8324635899380635, 0.9305671109271628)","(0, 0)"
16,"Expert with profile ('0.400', '0.600', '0.000')","(3.7097369005021297, 1.3015428561350544)","(1.9240808208522044, 0.73926984865232)","(2.6383432989057742, 0.8298362062940282)","(0, 0)"
17,"Society with profile ('1.000', '0.000', '0.000')","(3.0683981740945265, 0.8978190336321693)","(3.06279917335824, 1.2305599210306892)","(3.065038848080133, 1.0383142692386387)","(0, 0)"
18,"Society with profile ('0.000', '1.000', '0.000')","(5.226803132970082, 1.9058333094634088)","(1.5124104819015454, 0.5167212172019352)","(2.9981676175406107, 0.9814681020686096)","(0, 0)"
19,"Society with profile ('0.700', '0.300', '0.000')","(3.6969873582846247, 1.1196151086428836)","(2.6154942686620513, 1.0771118664067842)","(3.048091577542456, 0.9954489412980895)","(0, 0)"
20,"Society with profile ('0.900', '0.100', '0.000')","(3.3082656815648086, 0.9868941126744127)","(2.8963971092512737, 1.1432162816342486)","(3.0611446140628114, 1.0137654890075547)","(0, 0)"
21,"Society with profile ('0.300', '0.700', '0.000')","(4.582152202646983, 1.6130730285934847)","(1.9755603873415999, 0.6880255440673856)","(3.018197191545838, 0.9681731568944991)","(0, 0)"
22,"Society with profile ('0.200', '0.800', '0.000')","(4.803707718770755, 1.7479109654809024)","(1.8102873172414933, 0.6369445663832348)","(3.0076555496767945, 0.9644587832095665)","(0, 0)"
23,"Society with profile ('0.500', '0.500', '0.000')","(4.15526925427349, 1.4134196109247887)","(2.2984613529945674, 0.8694527107314195)","(3.041184591776446, 0.975177278282353)","(0, 0)"
24,"Society with profile ('0.800', '0.200', '0.000')","(3.5385352944857202, 1.0978415044865744)","(2.7402784760061065, 1.0726979858427674)","(3.0595812806957645, 1.003957296465168)","(0, 0)"
25,"Society with profile ('0.600', '0.400', '0.000')","(3.901412129951151, 1.2347380768183573)","(2.4766199676614056, 0.9398675296783021)","(3.0465369099064876, 0.9713442909035084)","(0, 0)"
26,"Society with profile ('0.100', '0.900', '0.000')","(5.008543882950356, 1.7633232197375297)","(1.6678868296115024, 0.5824994348504355)","(3.004149724778376, 0.9674456829036102)","(0, 0)"
27,"Society with profile ('0.400', '0.600', '0.000')","(4.37173175882352, 1.4692439086252935)","(2.1272824136834396, 0.782033366550129)","(3.0250622272491454, 0.9722986677204761)","(0, 0)"
