,Policy,sus,sec,eff
0,Exp + P,"(0.3869445493542834, 0.10923170779963566)","(0.29519764588851677, 0.09677944286056422)","(0.21749619121271135, 0.09845512954400333)"
1,VL + P,"(0.3869445493542834, 0.10923170779963566)","(0.29519764588851677, 0.09677944286056422)","(0.21749619121271135, 0.09845512954400333)"
2,"Expert (0.0, 0.0, 1.0)","(0.4068437005840487, 0.12040219703832673)","(0.6043815228346686, 0.2125888262403318)","(0.21749619169177573, 0.09845513254429793)"
3,"Expert (0.0, 0.25, 0.75)","(0.4087189235203703, 0.1210962256367531)","(0.6004801910695325, 0.21033417359140874)","(0.217589651359671, 0.09843013100347586)"
4,"Expert (0.0, 0.5, 0.5)","(0.41666430557961576, 0.13542983819544796)","(0.5912384806280514, 0.19837743782339562)","(0.21809008469656538, 0.09887637199408525)"
5,"Expert (0.0, 0.75, 0.25)","(0.417604292205253, 0.13602317401590722)","(0.5897638542052224, 0.19980639459869778)","(0.21832248684375755, 0.09901595432231718)"
6,"Expert (0.0, 1.0, 0.0)","(0.6720819642367516, 0.23549319977926167)","(0.2951976461073699, 0.09677944055609534)","(1.1383899091256593, 0.5017821476533155)"
7,"Expert (0.25, 0.0, 0.75)","(0.40569079356378335, 0.11828304595842493)","(0.6052696349430143, 0.2137594056483775)","(0.2175013157014435, 0.09846229552339396)"
8,"Expert (0.25, 0.25, 0.5)","(0.40583812720203577, 0.11818357937595458)","(0.6030792219527555, 0.2131144860666091)","(0.21754844280497454, 0.0984411272422348)"
9,"Expert (0.25, 0.5, 0.25)","(0.4074341603156522, 0.11944782105675804)","(0.5965351992658965, 0.20950346437442446)","(0.21802949643078087, 0.09883595728994221)"
10,"Expert (0.25, 0.75, 0.0)","(0.5233057852854376, 0.1830587066761122)","(0.33347348836813534, 0.11899381606406696)","(0.7531531667321504, 0.4188608491787401)"
11,"Expert (0.5, 0.0, 0.5)","(0.39895503056744164, 0.11397842436749848)","(0.6161272948374972, 0.21898485014470256)","(0.21837185147658028, 0.09852723533691732)"
12,"Expert (0.5, 0.25, 0.25)","(0.4003543560592286, 0.11468653241887929)","(0.6096623076193378, 0.21605737040798262)","(0.21830274104286218, 0.09841303183986286)"
13,"Expert (0.5, 0.5, 0.0)","(0.4374076017158682, 0.13572548348062657)","(0.42346765412960513, 0.19357514251749794)","(0.45848344652691403, 0.2919110027004783)"
14,"Expert (0.75, 0.0, 0.25)","(0.39637138353550416, 0.11164188908122766)","(0.624036966979283, 0.2232418552397081)","(0.2191005809585668, 0.0988058138219759)"
15,"Expert (0.75, 0.25, 0.0)","(0.391898815469559, 0.11187144155942186)","(0.5401473540029991, 0.2171785597817425)","(0.2720927578928623, 0.16911553349172576)"
16,"Expert (1.0, 0.0, 0.0)","(0.3869445511311489, 0.10923171603180774)","(0.6028011442080912, 0.22798126895404305)","(0.24939780441414577, 0.13516654385426935)"
17,"Society (0.0, 0.0, 1.0)","(0.4068437005840487, 0.12040219703832673)","(0.6043815228346686, 0.2125888262403318)","(0.21749619169177573, 0.09845513254429793)"
18,"Society (0.0, 0.25, 0.75)","(0.4705501014323857, 0.14500094351908646)","(0.5223879595793015, 0.1678504037559895)","(0.4438780991743872, 0.21963462348141252)"
19,"Society (0.0, 0.5, 0.5)","(0.5415233439487087, 0.17234777966739512)","(0.4500909943472882, 0.15123993830799842)","(0.6771852750761593, 0.33165488688268646)"
20,"Society (0.0, 0.75, 0.25)","(0.6104534604147805, 0.20884340447627356)","(0.367412156400391, 0.11942811615643101)","(0.9239324616733556, 0.43495527680692014)"
21,"Society (0.0, 1.0, 0.0)","(0.6720819642367516, 0.23549319977926167)","(0.2951976461073699, 0.09677944055609534)","(1.1383899091256593, 0.5017821476533155)"
22,"Society (0.25, 0.0, 0.75)","(0.40238470607958, 0.11727010849537428)","(0.6060194568474178, 0.20838641923972812)","(0.2243799576984633, 0.10488207133384153)"
23,"Society (0.25, 0.25, 0.5)","(0.4665762440106942, 0.1412852030088487)","(0.5255468428280055, 0.17428969339519315)","(0.4498452539462672, 0.22403429367230912)"
24,"Society (0.25, 0.5, 0.25)","(0.5332392794986127, 0.1667991179839296)","(0.451020128995017, 0.15081721549798635)","(0.6821470492579945, 0.3111312101704885)"
25,"Society (0.25, 0.75, 0.0)","(0.6022454547345804, 0.20282968667861487)","(0.3682330615724871, 0.12241356068247862)","(0.9224456996082152, 0.41512935290369185)"
26,"Society (0.5, 0.0, 0.5)","(0.39739501508286734, 0.11439104507585449)","(0.6045261704982534, 0.2084561427873317)","(0.23219868058191712, 0.11086560766558065)"
27,"Society (0.5, 0.25, 0.25)","(0.4628620184792549, 0.13735936101585236)","(0.5246615302830545, 0.18222286936418944)","(0.4687528446559888, 0.23537758817104126)"
28,"Society (0.5, 0.5, 0.0)","(0.5321662667830089, 0.1680831333213123)","(0.4470496034390779, 0.15671647922754844)","(0.7029970926856837, 0.31880242333214204)"
29,"Society (0.75, 0.0, 0.25)","(0.3915280604296928, 0.11086883649886696)","(0.6040329411366225, 0.22092069580911008)","(0.2418526890655477, 0.12363023741939252)"
30,"Society (0.75, 0.25, 0.0)","(0.4611103660098467, 0.13999067453639397)","(0.5284856369977972, 0.1952913882819301)","(0.47871664217167753, 0.22751689201854322)"
31,"Society (1.0, 0.0, 0.0)","(0.3869445511311489, 0.10923171603180774)","(0.6028011442080912, 0.22798126895404305)","(0.24939780441414577, 0.13516654385426935)"
32,"Learning(0.0, 0.0, 1.0)_result_(0.0, 0.0, 1.0)","(0.4068437005840487, 0.12040219703832673)","(0.6043815228346686, 0.2125888262403318)","(0.21749619169177573, 0.09845513254429793)"
33,"Learning(0.0, 0.25, 0.75)_result_(0.0, 0.25, 0.75)","(0.4184293472560392, 0.13699121847802315)","(0.5834802774839581, 0.2018610792207519)","(0.22028340131395166, 0.10110315401247089)"
34,"Learning(0.0, 0.5, 0.5)_result_(0.0, 0.5, 0.5)","(0.41070635126456373, 0.1320711015525223)","(0.5225166120240159, 0.2006746474704001)","(0.2579525478163544, 0.14519554581397198)"
35,"Learning(0.0, 0.75, 0.25)_result_(0.0, 0.75, 0.25)","(0.4673271926516655, 0.15465267312440822)","(0.391375809068306, 0.1481030627527087)","(0.5098414400548025, 0.3172190343073415)"
36,"Learning(0.0, 1.0, 0.0)_result_(0.0, 1.0, 0.0)","(0.6720819642367516, 0.23549319977926167)","(0.2951976461073699, 0.09677944055609534)","(1.1383899091256593, 0.5017821476533155)"
37,"Learning(0.25, 0.0, 0.75)_result_(0.25, 0.0, 0.75)","(0.39716130675821515, 0.11159588237019409)","(0.6196839534585659, 0.22163401468950386)","(0.21877416581992293, 0.09889712892049943)"
38,"Learning(0.25, 0.25, 0.5)_result_(0.25, 0.25, 0.5)","(0.4005599051766024, 0.114904813287776)","(0.5622229620984351, 0.20840730003202643)","(0.23433391150779484, 0.11524597763703041)"
39,"Learning(0.25, 0.5, 0.25)_result_(0.25, 0.5, 0.25)","(0.4186880983884054, 0.12939980235475176)","(0.4763172737285985, 0.1938244971742551)","(0.327806554622121, 0.21385479762707357)"
40,"Learning(0.25, 0.75, 0.0)_result_(0.25, 0.75, 0.0)","(0.5811756005545918, 0.21190632109687776)","(0.3069489260369186, 0.10534575679172249)","(0.9095504651601292, 0.4820154376703412)"
41,"Learning(0.5, 0.0, 0.5)_result_(0.5, 0.0, 0.5)","(0.39435527147725224, 0.1106462746614882)","(0.6275104975211434, 0.22528826133070212)","(0.22055040402942963, 0.09929509863700176)"
42,"Learning(0.5, 0.25, 0.25)_result_(0.5, 0.25, 0.25)","(0.39509033016388695, 0.11345529294341175)","(0.5395909963125106, 0.21450619340866084)","(0.25553946913216924, 0.14727201729114986)"
43,"Learning(0.5, 0.5, 0.0)_result_(0.5, 0.5, 0.0)","(0.48469332552064626, 0.16590263442015746)","(0.3617782910554716, 0.12827515177967083)","(0.6323982869653264, 0.3682162357907618)"
44,"Learning(0.75, 0.0, 0.25)_result_(0.75, 0.0, 0.25)","(0.3911458346043027, 0.10981364315176904)","(0.6385939282711326, 0.21798403611180847)","(0.22577097564192772, 0.09990736448900457)"
45,"Learning(0.75, 0.25, 0.0)_result_(0.75, 0.25, 0.0)","(0.4043149261530121, 0.11779577118193925)","(0.4956334834392979, 0.21036874902447086)","(0.32605441235462324, 0.2072430674008227)"
46,"Learning(1.0, 0.0, 0.0)_result_(1.0, 0.0, 0.0)","(0.3869445511311489, 0.10923171603180774)","(0.6028011442080912, 0.22798126895404305)","(0.24939780441414577, 0.13516654385426935)"
