,Policy,sus,sec,eff
0,Exp + P,"(0.39333369161345455, 0.0991770147641672)","(0.3121420986656296, 0.09426891709476934)","(0.2123078509527994, 0.0926888773559368)"
1,VL + P,"(0.39333369161345455, 0.0991770147641672)","(0.3121420986656296, 0.09426891709476934)","(0.2123078509527994, 0.0926888773559368)"
2,"Expert (0.0, 0.0, 1.0)","(0.41556316961865186, 0.11331361232876459)","(0.6101055767610791, 0.18976607828349093)","(0.21230785043429168, 0.09268887536004405)"
3,"Expert (0.33, 0.0, 0.67)","(0.4139841048546307, 0.11124969225033186)","(0.6126813725491765, 0.19033691086449214)","(0.21233089125139246, 0.09268607474238694)"
4,"Expert (0.67, 0.0, 0.33)","(0.40530841480358504, 0.10304742176887133)","(0.6205916297453529, 0.19874340652635564)","(0.21385301761160677, 0.09478111923382714)"
5,"Expert (1.0, 0.0, 0.0)","(0.39333369159200965, 0.09917702212016373)","(0.6260245058158609, 0.20216650632522978)","(0.23905497051524244, 0.1195088919095227)"
6,"Society (0.0, 0.0, 1.0)","(0.41556316961865186, 0.11331361232876459)","(0.6101055767610791, 0.18976607828349093)","(0.21230785043429168, 0.09268887536004405)"
7,"Society (0.33, 0.0, 0.67)","(0.40928393050593226, 0.11004772728054561)","(0.6130826600147166, 0.17879576207966633)","(0.22095600715991554, 0.09917469788028915)"
8,"Society (0.67, 0.0, 0.33)","(0.4020422662403067, 0.10307521173118374)","(0.6207154666906909, 0.1864398625373881)","(0.22846409836370418, 0.10809846759577384)"
9,"Society (1.0, 0.0, 0.0)","(0.39333369159200965, 0.09917702212016373)","(0.6260245058158609, 0.20216650632522978)","(0.23905497051524244, 0.1195088919095227)"
10,"Learning(0.0, 0.0, 1.0)_result_(0.01, 0.01, 0.98)","(0.41556316961865186, 0.11331361232876459)","(0.6101055767610791, 0.18976607828349093)","(0.21230785043429168, 0.09268887536004405)"
11,"Learning(0.33, 0.0, 0.67)_result_(0.09, 0.0, 0.91)","(0.41322783646663946, 0.11115838052186486)","(0.6130048037295254, 0.19033627904821074)","(0.2124023236346578, 0.09267957669596691)"
12,"Learning(0.67, 0.0, 0.33)_result_(0.23, 0.02, 0.74)","(0.40530841480358504, 0.10304742176887133)","(0.6205916297453529, 0.19874340652635564)","(0.21385301761160677, 0.09478111923382714)"
13,"Learning(1.0, 0.0, 0.0)_result_(0.95, 0.02, 0.03)","(0.39333369159200965, 0.09917702212016373)","(0.6260245058158609, 0.20216650632522978)","(0.23905497051524244, 0.1195088919095227)"
