,Policy,sus,sec,"('0.700', '0.300', '0.000')",Societal cost
0,Expert + given profile,"(3.0683981740945265, 0.8978190336321694)","(1.5124104819015454, 0.5167212172019352)","(2.6383432989057742, 0.8298362062940282)","(0, 0)"
1,Value Learning + given profile,"(3.0683981740945265, 0.8978190336321694)","(1.5124104819015454, 0.5167212172019352)","(2.6358738000455655, 0.8268580003675421)","(0, 0)"
2,"Profile Learning (as weights): ('0.444', '0.488', '0.068')","(3.401301377305859, 1.0989817850133985)","(2.2346916163438246, 0.957999224093349)","(2.7013355877838636, 0.8763173201708754)","(0, 0)"
3,"Profile Learning (as probs): ('0.444', '0.488', '0.068')","(4.109970269156129, 1.3169715037106544)","(2.318282335604492, 0.8925069002056123)","(3.034957581758499, 0.9633980180201899)","(2.013036660539607, 0.6168220326106729)"
4,"Expert with profile ('0.700', '0.300', '0.000')","(3.129086051724459, 0.9246928647106492)","(2.69011208924808, 1.1329455739494878)","(2.865701756195018, 0.9633659984858085)","(0, 0)"
5,"Society with profile ('0.700', '0.300', '0.000')","(3.730229415156339, 1.1738828253251408)","(2.596424236109382, 1.005298027620619)","(3.0499463812301038, 0.9910266550699349)","(2.2994271677575613, 0.6423011640114379)"
6,"Expert with profile ('1.000', '0.000', '0.000')","(3.0683981740945265, 0.8978190336321694)","(3.06279917335824, 1.230559921030689)","(3.065038848080133, 1.0383142692386387)","(0, 0)"
7,"Expert with profile ('0.000', '1.000', '0.000')","(5.226803132970082, 1.9058333094634088)","(1.5124104819015454, 0.5167212172019352)","(2.9981676175406107, 0.9814681020686096)","(0, 0)"
8,"Expert with profile ('0.700', '0.300', '0.000')","(3.129086051724459, 0.924692864710649)","(2.69011208924808, 1.1329455739494878)","(2.865701756195018, 0.9633659984858088)","(0, 0)"
9,"Expert with profile ('0.900', '0.100', '0.000')","(3.0774041535822967, 0.904482737805919)","(2.9345622615594613, 1.196957718099936)","(2.991699103462069, 1.0061202132765563)","(0, 0)"
10,"Expert with profile ('0.300', '0.700', '0.000')","(3.9621525951906253, 1.4446966725464159)","(1.7612511590123177, 0.5959015669992392)","(2.641611783912307, 0.8302145627661112)","(0, 0)"
11,"Expert with profile ('0.200', '0.800', '0.000')","(4.257490796086035, 1.5093584470674561)","(1.648829118593743, 0.5759443775059899)","(2.6922938596261177, 0.8444049838979382)","(0, 0)"
12,"Expert with profile ('0.500', '0.500', '0.000')","(3.485105468646476, 1.1439963941902784)","(2.1331482996281825, 0.9644906310577511)","(2.673931219860127, 0.8692321118030175)","(0, 0)"
13,"Expert with profile ('0.800', '0.200', '0.000')","(3.0954388689837957, 0.9139998223488621)","(2.8039607519381926, 1.1646106595133017)","(2.9205520913789145, 0.9799630494209975)","(0, 0)"
14,"Expert with profile ('0.600', '0.400', '0.000')","(3.2539516024683652, 1.004432019622996)","(2.43619639504897, 1.0736730272006711)","(2.7632985389546345, 0.9205477502337878)","(0, 0)"
15,"Expert with profile ('0.100', '0.900', '0.000')","(4.788054343509047, 1.7978995729353384)","(1.5287362991979248, 0.5204484650832152)","(2.8324635899380635, 0.9305671109271628)","(0, 0)"
16,"Expert with profile ('0.400', '0.600', '0.000')","(3.7097369005021297, 1.3015428561350544)","(1.9240808208522044, 0.73926984865232)","(2.6383432989057742, 0.8298362062940282)","(0, 0)"
17,"Society with profile ('1.000', '0.000', '0.000')","(3.0683981740945265, 0.8978190336321694)","(3.06279917335824, 1.2305599210306892)","(3.065038848080133, 1.0383142692386387)","(0, 0)"
18,"Society with profile ('0.000', '1.000', '0.000')","(5.226803132970082, 1.9058333094634086)","(1.5124104819015454, 0.5167212172019352)","(2.9981676175406107, 0.9814681020686096)","(0, 0)"
19,"Society with profile ('0.700', '0.300', '0.000')","(3.6899883236539996, 1.1143839937775986)","(2.5848535903974588, 0.9856470662947515)","(3.0269075625821165, 0.9677343876070659)","(0, 0)"
20,"Society with profile ('0.900', '0.100', '0.000')","(3.30421615439026, 0.9760662854884707)","(2.904966696469407, 1.1630112526189664)","(3.0646665485281694, 1.0187564564006126)","(0, 0)"
21,"Society with profile ('0.300', '0.700', '0.000')","(4.618287217224899, 1.6376180563606006)","(1.9579829690487758, 0.7352908563484768)","(3.0221047418682203, 0.9855377521270404)","(0, 0)"
22,"Society with profile ('0.200', '0.800', '0.000')","(4.784883611061071, 1.6581681608245529)","(1.8221366546655953, 0.6339015171638404)","(3.007235513235393, 0.9585094588082136)","(0, 0)"
23,"Society with profile ('0.500', '0.500', '0.000')","(4.134206118787591, 1.382341560652527)","(2.2974272114665886, 0.8819380879908729)","(3.032138852226107, 0.9755805915408763)","(0, 0)"
24,"Society with profile ('0.800', '0.200', '0.000')","(3.4889322849480724, 1.1586345336695543)","(2.7524897195790943, 1.0571439189894098)","(3.047066817471855, 1.0078523334040603)","(0, 0)"
25,"Society with profile ('0.600', '0.400', '0.000')","(3.886978717462012, 1.2410345457364913)","(2.441699296157611, 0.9146421556746355)","(3.0198111372558696, 0.970226570190976)","(0, 0)"
26,"Society with profile ('0.100', '0.900', '0.000')","(5.016714778307237, 1.8184442880024818)","(1.6669763401150703, 0.5618526010338644)","(3.006871789693833, 0.9686824884287311)","(0, 0)"
27,"Society with profile ('0.400', '0.600', '0.000')","(4.36640550690262, 1.4654782928575374)","(2.1371826976537704, 0.7517941007415553)","(3.028871895137586, 0.9458872661420049)","(0, 0)"
