,Policy,sus,sec,eff
0,Exp + P,"(0.39333369161345455, 0.0991770147641672)","(0.3121420986656296, 0.09426891709476934)","(0.2123078509527994, 0.0926888773559368)"
1,VL + P,"(0.39333369161345455, 0.0991770147641672)","(0.3121420986656296, 0.09426891709476934)","(0.2123078509527994, 0.0926888773559368)"
2,"Expert (0.0, 0.0, 1.0)","(0.41556316961865186, 0.11331361232876459)","(0.6101055767610791, 0.18976607828349093)","(0.21230785043429168, 0.09268887536004405)"
3,"Expert (0.33, 0.0, 0.67)","(0.4139841048546307, 0.11124969225033186)","(0.6126813725491765, 0.19033691086449214)","(0.21233089125139246, 0.09268607474238694)"
4,"Expert (0.67, 0.0, 0.33)","(0.40530841480358504, 0.10304742176887133)","(0.6205916297453529, 0.19874340652635564)","(0.21385301761160677, 0.09478111923382714)"
5,"Expert (1.0, 0.0, 0.0)","(0.39333369159200965, 0.09917702212016373)","(0.6260245058158609, 0.20216650632522978)","(0.23905497051524244, 0.1195088919095227)"
6,"Society (0.0, 0.0, 1.0)","(0.41556316961865186, 0.11331361232876459)","(0.6101055767610791, 0.18976607828349093)","(0.21230785043429168, 0.09268887536004405)"
7,"Society (0.33, 0.0, 0.67)","(0.4058892758924661, 0.10554759126884267)","(0.6142470181352877, 0.1893730479284887)","(0.22223389905917235, 0.10024484841487781)"
8,"Society (0.67, 0.0, 0.33)","(0.4019446350091848, 0.10483706244727216)","(0.6235385572216107, 0.19360290281971193)","(0.22787756395593628, 0.10193945705587065)"
9,"Society (1.0, 0.0, 0.0)","(0.39333369159200965, 0.09917702212016373)","(0.6260245058158609, 0.20216650632522978)","(0.23905497051524244, 0.1195088919095227)"
10,"Learning(0.0, 0.0, 1.0)_result_(0.04, 0.04, 0.92)","(0.41571050325690423, 0.1131969308141282)","(0.6079151637708204, 0.18909534778767081)","(0.2123549775378227, 0.0926690294243235)"
11,"Learning(0.33, 0.0, 0.67)_result_(0.33, 0.1, 0.57)","(0.4068356347500077, 0.10519848337420439)","(0.609621328125573, 0.1977608585468995)","(0.21428845720028653, 0.09492914671470269)"
12,"Learning(0.67, 0.0, 0.33)_result_(0.68, 0.05, 0.27)","(0.39611209052351404, 0.09854063116844579)","(0.6214697261457331, 0.2111617461571254)","(0.2257092846006057, 0.10178293462753261)"
13,"Learning(1.0, 0.0, 0.0)_result_(0.94, 0.02, 0.04)","(0.39333369159200965, 0.09917702212016373)","(0.6260245058158609, 0.20216650632522978)","(0.23905497051524244, 0.1195088919095227)"
