,Learned Profile,Target Profile,Similarity in terms of Sus,Similarity in terms of Sec,Similarity in terms of Eff,Similarity with Sus expert,Similarity with Sec expert,Similarity with Eff expert,Similarity with target profile agent,Similarity with target profile society
0,"(0.0, 0.0, 1.0)","(0.0, 0.0, 1.0)","(1.0, 5.7610613e-08)","(1.0, 5.80149e-08)","(1.0, 5.2516928e-08)","(0.7004257, 0.343155)","(0.28337735, 0.2439163)","(1.0, 5.2516928e-08)","(1.0, 5.2516928e-08)","(1.0, 5.6380348e-08)"
1,"(0.1, 0.0, 0.9)","(0.1, 0.0, 0.9)","(0.97102624, 0.14569965)","(0.9691269, 0.15368102)","(0.9705479, 0.14734057)","(0.7292571, 0.3297525)","(0.2839751, 0.2457308)","(0.9623944, 0.16191034)","(0.97065985, 0.14686337)","(0.93291396, 0.16011406)"
2,"(0.2, 0.0, 0.8)","(0.2, 0.0, 0.8)","(0.9180824, 0.20617355)","(0.9187795, 0.20605442)","(0.92329305, 0.20028979)","(0.7839592, 0.32033017)","(0.27362558, 0.23693211)","(0.90835077, 0.22042803)","(0.9218885, 0.20180717)","(0.879717, 0.1901951)"
3,"(0.3, 0.0, 0.7)","(0.3, 0.0, 0.7)","(0.89758605, 0.23397692)","(0.8975123, 0.236096)","(0.905392, 0.22302896)","(0.80445546, 0.30827194)","(0.2760225, 0.2375526)","(0.8904497, 0.24016549)","(0.9022824, 0.22721176)","(0.85779, 0.18965523)"
4,"(0.4, 0.0, 0.6)","(0.4, 0.0, 0.6)","(0.8900011, 0.24097064)","(0.88935965, 0.24524564)","(0.897247, 0.2319735)","(0.8287584, 0.2860427)","(0.27379495, 0.23842974)","(0.8614684, 0.27037412)","(0.8936358, 0.23620982)","(0.8451827, 0.20505737)"
5,"(0.5, 0.0, 0.5)","(0.5, 0.0, 0.5)","(0.92196816, 0.22624165)","(0.9168575, 0.23938951)","(0.9263479, 0.21664405)","(0.8385419, 0.2779814)","(0.27668256, 0.23685312)","(0.84958255, 0.27594617)","(0.92381024, 0.22181718)","(0.84527165, 0.19517598)"
6,"(0.6, 0.0, 0.4)","(0.6, 0.0, 0.4)","(0.90750223, 0.23933563)","(0.90810263, 0.23779984)","(0.90893143, 0.23575984)","(0.87571245, 0.24596786)","(0.2672573, 0.23700418)","(0.8136723, 0.2982509)","(0.9076575, 0.23852451)","(0.8462899, 0.19351675)"
7,"(0.7, 0.0, 0.3)","(0.7, 0.0, 0.3)","(0.90576774, 0.22631021)","(0.90676326, 0.22505645)","(0.90031254, 0.23372562)","(0.88617855, 0.23808806)","(0.26898932, 0.23700236)","(0.8042387, 0.30567756)","(0.9043139, 0.22770593)","(0.86276776, 0.17771186)"
8,"(0.8, 0.0, 0.2)","(0.8, 0.0, 0.2)","(0.8896822, 0.23143715)","(0.88163155, 0.23898701)","(0.8839097, 0.23818573)","(0.9322131, 0.19861889)","(0.26698592, 0.24355714)","(0.76276106, 0.318304)","(0.8888107, 0.23228246)","(0.9065257, 0.15527615)"
9,"(0.9, 0.0, 0.1)","(0.9, 0.0, 0.1)","(0.89557385, 0.22658166)","(0.88949454, 0.23664209)","(0.8845954, 0.24302167)","(0.9730807, 0.12249865)","(0.2895914, 0.26364407)","(0.7211442, 0.33167702)","(0.89483273, 0.2274863)","(0.94641155, 0.11646703)"
10,"(1.0, 0.0, 0.0)","(1.0, 0.0, 0.0)","(1.0, 5.7203465e-08)","(1.0, 5.5964254e-08)","(1.0, 5.3399628e-08)","(1.0, 5.7203465e-08)","(0.29193324, 0.2631259)","(0.69973135, 0.3388141)","(1.0, 5.7203465e-08)","(1.0, 6.191277e-08)"
