,Learned Profile,Target Profile,Similarity in terms of Sus,Similarity in terms of Sec,Similarity in terms of Eff,Similarity with Sus expert,Similarity with Sec expert,Similarity with Eff expert,Similarity with target profile agent,Similarity with target profile society
0,"(0.009938295930624008, 0.009815455414354801, 0.9802462458610535)","(0.0, 0.0, 1.0)","(0.99279726, 0.06237721)","(0.9935542, 0.055822648)","(0.9931808, 0.059055954)","(0.69322306, 0.34253585)","(0.2857619, 0.24370034)","(0.9931808, 0.059055954)","(0.9931808, 0.059055954)","(0.9931808, 0.059055954)"
1,"(0.12850211560726166, 0.019670559093356133, 0.8518273234367371)","(0.1, 0.0, 0.9)","(0.96665806, 0.14932619)","(0.9670284, 0.14793943)","(0.9690119, 0.14266405)","(0.7229657, 0.3289346)","(0.28675383, 0.2451916)","(0.9608584, 0.15758711)","(0.9686966, 0.1436243)","(0.93265283, 0.14900571)"
2,"(0.30083170533180237, 0.08723907172679901, 0.611929178237915)","(0.2, 0.0, 0.8)","(0.9262025, 0.20205203)","(0.9223141, 0.2111634)","(0.9245503, 0.20663005)","(0.7506146, 0.3180568)","(0.28533864, 0.23387843)","(0.92501247, 0.20536909)","(0.92508096, 0.2050517)","(0.90305823, 0.16867079)"
3,"(0.4264049232006073, 0.11873307824134827, 0.45486196875572205)","(0.3, 0.0, 0.7)","(0.867006, 0.24387407)","(0.86395544, 0.24959986)","(0.8677192, 0.24195638)","(0.80446625, 0.3093074)","(0.27823982, 0.23533824)","(0.8602028, 0.2519541)","(0.8670904, 0.24190465)","(0.846215, 0.1993717)"
4,"(0.540352463722229, 0.1056743711233139, 0.3539732098579407)","(0.4, 0.0, 0.6)","(0.87786573, 0.23041958)","(0.87262887, 0.2408085)","(0.87510604, 0.23701061)","(0.8269041, 0.29982004)","(0.29211164, 0.24962081)","(0.8467533, 0.26871204)","(0.87628776, 0.23273595)","(0.82454693, 0.20674847)"
5,"(0.659183144569397, 0.07568372786045074, 0.2651331126689911)","(0.5, 0.0, 0.5)","(0.869281, 0.25050533)","(0.86445075, 0.26197296)","(0.8622343, 0.25802433)","(0.85770166, 0.2718961)","(0.29319444, 0.24888645)","(0.79754084, 0.29604462)","(0.86634696, 0.25196782)","(0.8311961, 0.2085046)"
6,"(0.7177774310112, 0.06052892655134201, 0.22169366478919983)","(0.6, 0.0, 0.4)","(0.8583405, 0.2633215)","(0.8604385, 0.25954366)","(0.8452066, 0.2800929)","(0.89736235, 0.23004217)","(0.2973607, 0.26224148)","(0.7609298, 0.31936765)","(0.85381055, 0.26842722)","(0.84527546, 0.20045817)"
7,"(0.7060500383377075, 0.06391149014234543, 0.23003844916820526)","(0.7, 0.0, 0.3)","(0.90470004, 0.21621662)","(0.9038319, 0.21856049)","(0.89060605, 0.24126096)","(0.8694247, 0.25822777)","(0.3041589, 0.26112652)","(0.78502864, 0.30711186)","(0.9012734, 0.2217121)","(0.8329426, 0.22217524)"
8,"(0.8198301792144775, 0.03769604116678238, 0.14247378706932068)","(0.8, 0.0, 0.2)","(0.8600147, 0.26871142)","(0.860285, 0.2704723)","(0.85220367, 0.2761412)","(0.9549995, 0.13896008)","(0.29842415, 0.26228797)","(0.72934663, 0.333771)","(0.8586514, 0.26954207)","(0.91625607, 0.1399086)"
9,"(0.8628538250923157, 0.013314121402800083, 0.12383200973272324)","(0.9, 0.0, 0.1)","(0.8977081, 0.222022)","(0.8903791, 0.23234947)","(0.8865488, 0.23843414)","(0.9652193, 0.13785246)","(0.2869241, 0.2565166)","(0.72309774, 0.3293016)","(0.89692354, 0.22295657)","(0.93664503, 0.13552964)"
10,"(0.9595772624015808, 0.011157701723277569, 0.029265088960528374)","(1.0, 0.0, 0.0)","(1.0, 5.7203465e-08)","(1.0, 5.5964254e-08)","(1.0, 5.3399628e-08)","(1.0, 5.7203465e-08)","(0.29193324, 0.2631259)","(0.69973135, 0.3388141)","(1.0, 5.7203465e-08)","(1.0, 6.191277e-08)"
