,Learned Profile,Target Profile,Similarity in terms of Sus,Similarity in terms of Sec,Similarity in terms of Eff,Similarity with target profile agent,Similarity with target profile society
0,"(0.0725960060954094, 0.04195312410593033, 0.8854508996009827)","(0.0, 0.0, 1.0)",0.0,0.0,0.0,0.0,0.0
1,"(0.1739235818386078, 0.06081436201930046, 0.7652620077133179)","(0.1, 0.0, 0.9)",0.0,0.0,0.0,0.0,0.0
2,"(0.2702083885669708, 0.11809785664081573, 0.6116937398910522)","(0.2, 0.0, 0.8)",0.0,0.0,0.0,0.0,0.0
3,"(0.3303098678588867, 0.11843258142471313, 0.5512574911117554)","(0.3, 0.0, 0.7)",0.0,0.0,0.0,0.0,0.0
4,"(0.4518079161643982, 0.12257883697748184, 0.42561325430870056)","(0.4, 0.0, 0.6)",0.0,0.0,0.0,0.0,0.0
5,"(0.6240705847740173, 0.06782659888267517, 0.3081028461456299)","(0.5, 0.0, 0.5)",0.0,0.0,0.0,0.0,0.0
6,"(0.686317503452301, 0.05945251137018204, 0.2542300820350647)","(0.6, 0.0, 0.4)",0.0,0.0,0.0,0.0,0.0
7,"(0.7242180705070496, 0.05274735763669014, 0.2230345606803894)","(0.7, 0.0, 0.3)",0.0,0.0,0.0,0.0,0.0
8,"(0.7792149782180786, 0.033422086387872696, 0.187362939119339)","(0.8, 0.0, 0.2)",0.0,0.0,0.0,0.0,0.0
9,"(0.8702515363693237, 0.029692091047763824, 0.10005632787942886)","(0.9, 0.0, 0.1)",0.0,0.0,0.0,0.0,0.0
10,"(0.937723696231842, 0.020019207149744034, 0.04225712642073631)","(1.0, 0.0, 0.0)",0.0,0.0,0.0,0.0,0.0
