,Learned Profile,Target Profile,Similarity in terms of Sus,Similarity in terms of Sec,Similarity in terms of Eff,Similarity with Sus expert,Similarity with Sec expert,Similarity with Eff expert,Similarity with target profile agent,Similarity with target profile society
0,"(0.008598866872489452, 0.006737861316651106, 0.9846632480621338)","(0.0, 0.0, 1.0)",,,,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
1,"(0.020813992246985435, 0.007863511331379414, 0.9713224768638611)","(0.1, 0.0, 0.9)",,,,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(2.763157894736842, 4.967972214338329)"
2,"(0.10139015316963196, 0.001872866996563971, 0.8967370390892029)","(0.2, 0.0, 0.8)",,,,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(3.6973684210526314, 5.601385488482444)"
3,"(0.10139015316963196, 0.001872866996563971, 0.8967370390892029)","(0.3, 0.0, 0.7)",,,,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(4.098684210526316, 5.646971554947155)"
4,"(0.10139015316963196, 0.001872866996563971, 0.8967370390892029)","(0.4, 0.0, 0.6)",,,,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(3.973684210526316, 5.631148532494402)"
5,"(0.1535181999206543, 0.001999689731746912, 0.8444821238517761)","(0.5, 0.0, 0.5)",,,,"(1.1973684210526316, 3.86284506836097)","(1.1973684210526316, 3.86284506836097)","(1.1973684210526316, 3.86284506836097)","(1.1973684210526316, 3.86284506836097)","(4.1118421052631575, 5.657202375018182)"
6,"(0.25123804807662964, 0.0111409155651927, 0.737621009349823)","(0.6, 0.0, 0.4)",,,,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(4.0855263157894735, 5.5921633123922065)"
7,"(0.35934677720069885, 0.011182439513504505, 0.6294707655906677)","(0.7, 0.0, 0.3)",,,,"(0.3157894736842105, 2.734817064582438)","(0.3157894736842105, 2.734817064582438)","(0.3157894736842105, 2.734817064582438)","(0.3157894736842105, 2.734817064582438)","(4.151315789473684, 5.7313884930417816)"
8,"(0.4484443962574005, 0.005800302606076002, 0.5457552671432495)","(0.8, 0.0, 0.2)",,,,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(4.0855263157894735, 5.829478263811852)"
9,"(0.5439459085464478, 0.0011553338263183832, 0.4548986852169037)","(0.9, 0.0, 0.1)",,,,"(0.42105263157894735, 2.8016121199970074)","(0.42105263157894735, 2.8016121199970074)","(0.42105263157894735, 2.8016121199970074)","(0.42105263157894735, 2.8016121199970074)","(3.9276315789473686, 6.462291403214141)"
10,"(0.9688597917556763, 0.009442987851798534, 0.02169712446630001)","(1.0, 0.0, 0.0)",,,,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
