,Learned Profile,Target Profile,Similarity in terms of Sus,Similarity in terms of Sec,Similarity in terms of Eff,Similarity with Sus expert,Similarity with Sec expert,Similarity with Eff expert,Similarity with target profile agent,Similarity with target profile society
0,"(0.009938295930624008, 0.009815455414354801, 0.9802462458610535)","(0.0, 0.0, 1.0)",,,,"(0.11842105263157894, 1.0255563992184138)","(0.11842105263157894, 1.0255563992184138)","(0.11842105263157894, 1.0255563992184138)","(0.11842105263157894, 1.0255563992184138)","(0.11842105263157894, 1.0255563992184138)"
1,"(0.12850211560726166, 0.019670559093356133, 0.8518273234367371)","(0.1, 0.0, 0.9)",,,,"(0.9078947368421053, 4.383514666454868)","(0.9078947368421053, 4.383514666454868)","(0.9078947368421053, 4.383514666454868)","(0.9078947368421053, 4.383514666454868)","(3.2697368421052633, 5.091556988027028)"
2,"(0.30083170533180237, 0.08723907172679901, 0.611929178237915)","(0.2, 0.0, 0.8)",,,,"(1.868421052631579, 5.592151702593551)","(1.868421052631579, 5.592151702593551)","(1.868421052631579, 5.592151702593551)","(1.868421052631579, 5.592151702593551)","(3.7434210526315788, 5.368949116185434)"
3,"(0.4264049232006073, 0.11873307824134827, 0.45486196875572205)","(0.3, 0.0, 0.7)",,,,"(3.6578947368421053, 7.587303507520669)","(3.6578947368421053, 7.587303507520669)","(3.6578947368421053, 7.587303507520669)","(3.6578947368421053, 7.587303507520669)","(4.743421052631579, 6.544128254564421)"
4,"(0.540352463722229, 0.1056743711233139, 0.3539732098579407)","(0.4, 0.0, 0.6)",,,,"(3.289473684210526, 7.089309574937991)","(3.289473684210526, 7.089309574937991)","(3.289473684210526, 7.089309574937991)","(3.289473684210526, 7.089309574937991)","(4.348684210526316, 5.46581465544208)"
5,"(0.659183144569397, 0.07568372786045074, 0.2651331126689911)","(0.5, 0.0, 0.5)",,,,"(3.5, 7.770558470751534)","(3.5, 7.770558470751534)","(3.5, 7.770558470751534)","(3.5, 7.770558470751534)","(4.519736842105263, 5.789305470044293)"
6,"(0.7177774310112, 0.06052892655134201, 0.22169366478919983)","(0.6, 0.0, 0.4)",,,,"(3.263157894736842, 6.867866482955301)","(3.263157894736842, 6.867866482955301)","(3.263157894736842, 6.867866482955301)","(3.263157894736842, 6.867866482955301)","(4.506578947368421, 5.780237099633357)"
7,"(0.7060500383377075, 0.06391149014234543, 0.23003844916820526)","(0.7, 0.0, 0.3)",,,,"(2.0, 5.132456065389931)","(2.0, 5.132456065389931)","(2.0, 5.132456065389931)","(2.0, 5.132456065389931)","(4.552631578947368, 5.784836659755865)"
8,"(0.8198301792144775, 0.03769604116678238, 0.14247378706932068)","(0.8, 0.0, 0.2)",,,,"(3.25, 6.5456393680710905)","(3.25, 6.5456393680710905)","(3.25, 6.5456393680710905)","(3.25, 6.5456393680710905)","(3.848684210526316, 5.58193735046243)"
9,"(0.8628538250923157, 0.013314121402800083, 0.12383200973272324)","(0.9, 0.0, 0.1)",,,,"(2.263157894736842, 5.0689156451034485)","(2.263157894736842, 5.0689156451034485)","(2.263157894736842, 5.0689156451034485)","(2.263157894736842, 5.0689156451034485)","(3.335526315789474, 5.562674100110874)"
10,"(0.9595772624015808, 0.011157701723277569, 0.029265088960528374)","(1.0, 0.0, 0.0)",,,,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
