,Policy,sus,sec,eff
0,Exp + P,"(0.38025577670257343, 0.11126354636423477)","(0.2918051385173672, 0.09969641974686427)","(0.21393223941375158, 0.10671546813275944)"
1,VL + P,"(0.38025577670257343, 0.11126354636423477)","(0.2918051385173672, 0.09969641974686427)","(0.21393223941375158, 0.10671546813275944)"
2,"Expert (0.0, 0.0, 1.0)","(0.4027201077383085, 0.12472095606301664)","(0.5896176209330166, 0.2227459038437514)","(0.21393223878993395, 0.1067154682539768)"
3,"Expert (0.1, 0.0, 0.9)","(0.4015672007180432, 0.12263767183267384)","(0.5905057330413623, 0.22392194206947635)","(0.2139373627996017, 0.10672224793146308)"
4,"Expert (0.2, 0.0, 0.8)","(0.4011410429742874, 0.12268364241054362)","(0.592193416721114, 0.2234686967567687)","(0.21395527960703475, 0.10671268502777484)"
5,"Expert (0.3, 0.0, 0.7)","(0.4011410429742874, 0.12268364241054362)","(0.592193416721114, 0.2234686967567687)","(0.21395527960703475, 0.10671268502777484)"
6,"Expert (0.4, 0.0, 0.6)","(0.3984066780739292, 0.12131600508029101)","(0.5959333107518767, 0.2247263613690075)","(0.21418585736299925, 0.1066733723204772)"
7,"Expert (0.5, 0.0, 0.5)","(0.39477771635038633, 0.11876015382284098)","(0.6022129209748911, 0.2285584391460929)","(0.21472996327218807, 0.10694905430388923)"
8,"Expert (0.6, 0.0, 0.4)","(0.39160857737634186, 0.11466554907205584)","(0.6015325118297417, 0.23062207530764536)","(0.21544211306785369, 0.10839591507174084)"
9,"Expert (0.7, 0.0, 0.3)","(0.39024426400857537, 0.113107801560392)","(0.6054579291713277, 0.2325602139773868)","(0.2159442113008577, 0.10842296533403023)"
10,"Expert (0.8, 0.0, 0.2)","(0.3888686276377963, 0.11241382359495157)","(0.6129215042915588, 0.23527539551351181)","(0.21665914186183058, 0.10824976139863793)"
11,"Expert (0.9, 0.0, 0.1)","(0.3865480849743012, 0.11195971611665334)","(0.621397288752058, 0.23820819540393526)","(0.2187975946155922, 0.10917178404895873)"
12,"Expert (1.0, 0.0, 0.0)","(0.38025577663517507, 0.11126355395736716)","(0.590937801081485, 0.2374247621512469)","(0.24652831641287776, 0.14015597125618823)"
13,"Society (0.0, 0.0, 1.0)","(0.4027201077383085, 0.12472095606301664)","(0.5896176209330166, 0.2227459038437514)","(0.21393223878993395, 0.1067154682539768)"
14,"Society (0.1, 0.0, 0.9)","(0.4000986070814849, 0.12353687833730322)","(0.5906195113155072, 0.22234195694237463)","(0.21782348751424396, 0.10796728330120005)"
15,"Society (0.2, 0.0, 0.8)","(0.39806392732762585, 0.1212091308381605)","(0.5891263463741971, 0.2159300533609842)","(0.2205633924800694, 0.11313495905687336)"
16,"Society (0.3, 0.0, 0.7)","(0.3956957308967647, 0.11959337170834307)","(0.5866990534149074, 0.219198242130104)","(0.22420713328664485, 0.11566845013817378)"
17,"Society (0.4, 0.0, 0.6)","(0.3946244483464398, 0.11815661152585236)","(0.5925318803688768, 0.21636335510630733)","(0.22409078055153303, 0.1141304200490838)"
18,"Society (0.5, 0.0, 0.5)","(0.391161627707525, 0.11738466448533513)","(0.5915515767973327, 0.2228590238104396)","(0.23133138480158147, 0.121859056292282)"
19,"Society (0.6, 0.0, 0.4)","(0.38891532277676133, 0.11543580569241578)","(0.592066186927887, 0.22052209945388568)","(0.23269778299359856, 0.1217293225309658)"
20,"Society (0.7, 0.0, 0.3)","(0.3877041740811699, 0.1148412725912923)","(0.5947965725772328, 0.2241455011268972)","(0.2338516765941198, 0.12099076703686693)"
21,"Society (0.8, 0.0, 0.2)","(0.3846014621237133, 0.11350488828962339)","(0.5926311528458762, 0.22755025964641026)","(0.23886570874823712, 0.12756864579152308)"
22,"Society (0.9, 0.0, 0.1)","(0.38281109042674005, 0.1120207295249174)","(0.5936639941893336, 0.22982983763365622)","(0.24162502142594586, 0.13166832005226387)"
23,"Society (1.0, 0.0, 0.0)","(0.38025577663517507, 0.11126355395736716)","(0.590937801081485, 0.2374247621512469)","(0.24652831641287776, 0.14015597125618823)"
24,"Learning(0.0, 0.0, 1.0)_result_(0.0, 0.0, 1.0)","(0.4027201077383085, 0.12472095606301664)","(0.5896176209330166, 0.2227459038437514)","(0.21393223878993395, 0.1067154682539768)"
25,"Learning(0.1, 0.0, 0.9)_result_(0.1, 0.0, 0.9)","(0.3984066780739292, 0.12131600508029101)","(0.5959333107518767, 0.2247263613690075)","(0.21418585736299925, 0.1066733723204772)"
26,"Learning(0.2, 0.0, 0.8)_result_(0.2, 0.0, 0.8)","(0.39239706272277736, 0.11578562523913194)","(0.5999974163929246, 0.22976165091268588)","(0.21525776793063606, 0.10809218949771403)"
27,"Learning(0.3, 0.0, 0.7)_result_(0.3, 0.0, 0.7)","(0.39059184140243913, 0.11303436218142009)","(0.6041934027422318, 0.2327047928458031)","(0.2158126531296722, 0.10846714175740411)"
28,"Learning(0.4, 0.0, 0.6)_result_(0.4, 0.0, 0.6)","(0.3888686276377963, 0.11241382359495157)","(0.6129215042915588, 0.23527539551351181)","(0.21665914186183058, 0.10824976139863793)"
29,"Learning(0.5, 0.0, 0.5)_result_(0.5, 0.0, 0.5)","(0.3877620109032202, 0.1120343472194458)","(0.6126886498501622, 0.2361981151885765)","(0.21763111330456972, 0.10936426844453787)"
30,"Learning(0.6, 0.0, 0.4)_result_(0.6, 0.0, 0.4)","(0.3864995581297032, 0.1119578370092016)","(0.6200415210087636, 0.23809839137541103)","(0.21888310149178755, 0.10922598248871924)"
31,"Learning(0.7, 0.0, 0.3)_result_(0.7, 0.0, 0.3)","(0.38495252814793374, 0.11141002659299411)","(0.6123300439963044, 0.23514394217243187)","(0.22195869860412418, 0.11023542741974025)"
32,"Learning(0.8, 0.0, 0.2)_result_(0.8, 0.0, 0.2)","(0.38342178922060777, 0.111236428774333)","(0.6181565691383041, 0.2346915801126739)","(0.2259693960678353, 0.11139321206930815)"
33,"Learning(0.9, 0.0, 0.1)_result_(0.9, 0.0, 0.1)","(0.38100525269003, 0.1118988549852352)","(0.5999635683731054, 0.24696448100953838)","(0.2381761010393874, 0.12623368045807867)"
34,"Learning(1.0, 0.0, 0.0)_result_(1.0, 0.0, 0.0)","(0.38025577663517507, 0.11126355395736716)","(0.590937801081485, 0.2374247621512469)","(0.24652831641287776, 0.14015597125618823)"
