,Policy,sus,sec,eff
0,Exp + P,"(0.38340658292566476, 0.1080219872976395)","(0.2970280264945407, 0.09709416686675408)","(0.21256572568151905, 0.10409788470733876)"
1,VL + P,"(0.38340658292566476, 0.1080219872976395)","(0.2970280264945407, 0.09709416686675408)","(0.21256572568151905, 0.10409788470733876)"
2,"Expert (0.0, 0.0, 1.0)","(0.40294469083202883, 0.12217468721267494)","(0.5885897678555537, 0.21892939955785365)","(0.21256572456523395, 0.10409788265092682)"
3,"Expert (0.1, 0.0, 0.9)","(0.40179178381176345, 0.12004938031340019)","(0.5894778799638994, 0.22012997558098693)","(0.21257084857490172, 0.10410490005446175)"
4,"Expert (0.2, 0.0, 0.8)","(0.40136562606800763, 0.12009713856649519)","(0.5911655636436511, 0.21967680310177642)","(0.21258876538233476, 0.10409533190679741)"
5,"Expert (0.3, 0.0, 0.7)","(0.40136562606800763, 0.12009713856649519)","(0.5911655636436511, 0.21967680310177642)","(0.21258876538233476, 0.10409533190679741)"
6,"Expert (0.4, 0.0, 0.6)","(0.40136562606800763, 0.12009713856649519)","(0.5911655636436511, 0.21967680310177642)","(0.21258876538233476, 0.10409533190679741)"
7,"Expert (0.5, 0.0, 0.5)","(0.3980520427047802, 0.11712002303574238)","(0.5972686400642775, 0.2244136203170472)","(0.21310153326722733, 0.10448701806050285)"
8,"Expert (0.6, 0.0, 0.4)","(0.3948829037307357, 0.11305780554384966)","(0.5965882309191282, 0.22650016827855843)","(0.21381368306289292, 0.10597844357750415)"
9,"Expert (0.7, 0.0, 0.3)","(0.3931710129691055, 0.111248980167306)","(0.6017781746898101, 0.22830872830397714)","(0.2144473394670824, 0.10596595773625042)"
10,"Expert (0.8, 0.0, 0.2)","(0.39092306867257176, 0.11051451372487685)","(0.6121016113387381, 0.2309548890606873)","(0.21553179161204944, 0.10562750259119182)"
11,"Expert (0.9, 0.0, 0.1)","(0.3880606589426813, 0.10954081228573005)","(0.6239780059157439, 0.23547180240145732)","(0.21815866834559097, 0.1066363580993204)"
12,"Expert (1.0, 0.0, 0.0)","(0.38340658279010215, 0.10802199626372055)","(0.5996791414997317, 0.23166123127540622)","(0.24096945956491828, 0.13894954093124948)"
13,"Society (0.0, 0.0, 1.0)","(0.40294469083202883, 0.12217468721267494)","(0.5885897678555537, 0.21892939955785365)","(0.21256572456523395, 0.10409788265092682)"
14,"Society (0.1, 0.0, 0.9)","(0.4007564622835305, 0.11991549085696467)","(0.5900688917708115, 0.21902611896965124)","(0.21480715276472773, 0.10503682450913962)"
15,"Society (0.2, 0.0, 0.8)","(0.39825496900088375, 0.11760595309977245)","(0.594771783736781, 0.2182594148785959)","(0.21727994010342577, 0.10696705875242198)"
16,"Society (0.3, 0.0, 0.7)","(0.39719329090577576, 0.11717362389759932)","(0.5908680012026468, 0.21831760538348544)","(0.22074825935514555, 0.11026900539880442)"
17,"Society (0.4, 0.0, 0.6)","(0.395200877147114, 0.11572422487768365)","(0.5997887363604125, 0.2174571928183679)","(0.22089307442825215, 0.10993795447740436)"
18,"Society (0.5, 0.0, 0.5)","(0.39291968868316246, 0.11365609104180162)","(0.5957475269618092, 0.21847749043922451)","(0.2258789418452101, 0.11592836428679264)"
19,"Society (0.6, 0.0, 0.4)","(0.3904798902292417, 0.11238715416560467)","(0.5958549307934606, 0.21524002553457763)","(0.23070335149401985, 0.1259855159368778)"
20,"Society (0.7, 0.0, 0.3)","(0.3897399205950358, 0.11260652318896427)","(0.5974885087589331, 0.22118791289237524)","(0.23183284981320246, 0.12530026989969317)"
