,Learned Profile,Target Profile,Similarity in terms of Sus,Similarity in terms of Sec,Similarity in terms of Eff,Similarity with Sus expert,Similarity with Sec expert,Similarity with Eff expert,Similarity with target profile agent,Similarity with target profile society
0,"(0.0, 1.0, 0.0)","(0.0, 1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(0.635733440976835, 0.17256594255267835)","(1.0, 0.0)","(0.2616391631717332, 0.21063021821549507)","(1.0, 0.0)","(1.0, 0.0)"
1,"(0.1, 0.9, 0.0)","(0.1, 0.9, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(0.6846910139390294, 0.15455749667305094)","(0.9900213216883147, 0.024329196474080703)","(0.2904648366016563, 0.21782901308588173)","(1.0, 0.0)","(0.9194373842814785, 0.07723707203045206)"
2,"(0.2, 0.8, 0.0)","(0.2, 0.8, 0.0)","(0.9292350604492349, 0.119867110913764)","(0.9468599691380565, 0.09304726881138936)","(0.8686827978805624, 0.23984923556829194)","(0.7034324024456533, 0.16324310770961)","(0.9805535903295425, 0.03483846503720187)","(0.32718085575210937, 0.2629776244976964)","(0.9428160191916568, 0.09816680463081599)","(0.8577708892991291, 0.10700727782093956)"
3,"(0.3, 0.7, 0.0)","(0.3, 0.7, 0.0)","(0.9407471941508136, 0.1251097286380912)","(0.9417530134391242, 0.11783541173442237)","(0.8963088350051214, 0.2179022903426782)","(0.760729794642844, 0.15968869991258627)","(0.9280915539261484, 0.09449518342109998)","(0.4074559896629446, 0.30311393268761455)","(0.9408705716724995, 0.11992156972315907)","(0.8181450207523435, 0.12186443107509289)"
4,"(0.4, 0.6, 0.0)","(0.4, 0.6, 0.0)","(0.9449471705387669, 0.10718974828000902)","(0.92858203290216, 0.13186293371289148)","(0.8812986409823649, 0.21877993451425282)","(0.8091890639394592, 0.15053973835905762)","(0.8819363626479148, 0.12908506416391033)","(0.46679699771367755, 0.3113419284227541)","(0.9345805334642484, 0.1221278411631606)","(0.804995285518527, 0.12051218354556557)"
5,"(0.5, 0.5, 0.0)","(0.5, 0.5, 0.0)","(0.9314740455396148, 0.11849991394313285)","(0.908903208429663, 0.14656494310284932)","(0.8260589152651437, 0.26673044911443267)","(0.8364306956908966, 0.13627526001695942)","(0.8438989437297296, 0.15242585925534316)","(0.4981379214877118, 0.30965539774149986)","(0.9193219617349829, 0.13263548991418342)","(0.8069926294765429, 0.10771426497350496)"
6,"(0.6, 0.4, 0.0)","(0.6, 0.4, 0.0)","(0.9362871760267647, 0.09910634839110892)","(0.8849031051984578, 0.174164026190125)","(0.8280409093937194, 0.27041171319080415)","(0.8907004136919899, 0.11301464158536623)","(0.7764464100943779, 0.1699120301817763)","(0.6158293607874071, 0.31725352089839437)","(0.9123306112982928, 0.1338161772366937)","(0.8250120597812917, 0.11058854784265428)"
7,"(0.7, 0.3, 0.0)","(0.7, 0.3, 0.0)","(0.9618703037533255, 0.07382272097721315)","(0.9091514703122288, 0.17534819346837438)","(0.8702261511792733, 0.2508384691035092)","(0.9455451763996277, 0.08082528984734014)","(0.6927599954993219, 0.18624696111891811)","(0.7442868700798126, 0.28044205160508306)","(0.9414089022316802, 0.11423795546427)","(0.8342096684577894, 0.10464310468675905)"
8,"(0.8, 0.2, 0.0)","(0.8, 0.2, 0.0)","(0.9908595168866566, 0.02975066819516479)","(0.966966306207962, 0.09934476795736978)","(0.9689811940549464, 0.11442309532421292)","(0.9833598555557536, 0.03273494940939722)","(0.622728835404416, 0.20133240810558864)","(0.8676055402508241, 0.20991136931213886)","(0.9847483775216045, 0.047949529948548154)","(0.8880729970355765, 0.0921051616015431)"
9,"(0.9, 0.1, 0.0)","(0.9, 0.1, 0.0)","(0.9954134749584899, 0.012241649268589129)","(0.9643923802644213, 0.08421793757120309)","(0.983040685462437, 0.05432932293111929)","(0.9930306430765063, 0.015148871630198917)","(0.5989518745414508, 0.20674100585422156)","(0.8872536619355321, 0.18530492530520373)","(0.9915481745852149, 0.0212865815820259)","(0.9253285026978173, 0.07701367921549541)"
10,"(1.0, 0.0, 0.0)","(1.0, 0.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(0.5584373314706048, 0.21278069151667675)","(0.9120967684534943, 0.15311046544414297)","(1.0, 0.0)","(1.0, 0.0)"
