,Learned Profile,Target Profile,Similarity in terms of Sus,Similarity in terms of Sec,Similarity in terms of Eff,Similarity with Sus expert,Similarity with Sec expert,Similarity with Eff expert,Similarity with target profile agent,Similarity with target profile society
0,"(0.0, 1.0, 0.0)","(0.0, 1.0, 0.0)","(1.0, 5.116433e-08)","(1.0, 4.269781e-08)","(1.0, 4.377894e-08)","(0.23769112, 0.262004)","(1.0, 4.269781e-08)","(0.14909026, 0.22100088)","(1.0, 4.269781e-08)","(1.0, 5.2960118e-08)"
1,"(0.1, 0.9, 0.0)","(0.1, 0.9, 0.0)","(1.0, 6.2289146e-08)","(1.0, 4.4834003e-08)","(1.0, 4.5864805e-08)","(0.26627237, 0.26268062)","(0.8676831, 0.23168226)","(0.16989481, 0.23887989)","(1.0, 5.2960118e-08)","(0.8098339, 0.23087932)"
2,"(0.2, 0.8, 0.0)","(0.2, 0.8, 0.0)","(0.8428505, 0.2619427)","(0.8590035, 0.23144242)","(0.82303756, 0.303448)","(0.29152548, 0.29463845)","(0.80908406, 0.26659757)","(0.2084517, 0.2906373)","(0.85544103, 0.2368309)","(0.70381516, 0.23911962)"
3,"(0.3, 0.7, 0.0)","(0.3, 0.7, 0.0)","(0.8511475, 0.292195)","(0.8561096, 0.27795786)","(0.84459674, 0.30783916)","(0.3625474, 0.3378041)","(0.7016619, 0.2852295)","(0.28502604, 0.349611)","(0.8543515, 0.2824566)","(0.593364, 0.2246556)"
4,"(0.4, 0.6, 0.0)","(0.4, 0.6, 0.0)","(0.8314676, 0.29009938)","(0.84918785, 0.25980544)","(0.81629795, 0.3160192)","(0.43217158, 0.35221875)","(0.6196502, 0.31484416)","(0.32978755, 0.35173157)","(0.8410909, 0.27119568)","(0.5398505, 0.22383887)"
5,"(0.5, 0.5, 0.0)","(0.5, 0.5, 0.0)","(0.7652533, 0.3243168)","(0.78530324, 0.29635334)","(0.74467766, 0.35735446)","(0.46416017, 0.35163224)","(0.55561453, 0.3199184)","(0.35605904, 0.35690928)","(0.7750234, 0.30923)","(0.50901276, 0.22935994)"
6,"(0.6, 0.4, 0.0)","(0.6, 0.4, 0.0)","(0.7825964, 0.29515895)","(0.80160385, 0.27192345)","(0.7608072, 0.32648218)","(0.5572986, 0.35592893)","(0.46108812, 0.2994234)","(0.4692625, 0.3854553)","(0.79078126, 0.28453928)","(0.5188937, 0.24458218)"
7,"(0.7, 0.3, 0.0)","(0.7, 0.3, 0.0)","(0.8374689, 0.28429815)","(0.8457749, 0.27111644)","(0.8170915, 0.3216005)","(0.6827156, 0.35975266)","(0.38249576, 0.28212982)","(0.56781757, 0.36868685)","(0.84017515, 0.27918005)","(0.5732264, 0.26954538)"
8,"(0.8, 0.2, 0.0)","(0.8, 0.2, 0.0)","(0.9345031, 0.19610262)","(0.933716, 0.19579528)","(0.9312168, 0.20752929)","(0.802223, 0.30969352)","(0.33215687, 0.2621394)","(0.7081431, 0.33629838)","(0.9347173, 0.19447151)","(0.6965663, 0.2626737)"
9,"(0.9, 0.1, 0.0)","(0.9, 0.1, 0.0)","(0.9215647, 0.20643187)","(0.9106162, 0.2176321)","(0.9242587, 0.19790897)","(0.86756605, 0.26636702)","(0.31911084, 0.26578853)","(0.7089847, 0.3323539)","(0.92038256, 0.20743503)","(0.7948993, 0.2478247)"
10,"(1.0, 0.0, 0.0)","(1.0, 0.0, 0.0)","(1.0, 5.7203465e-08)","(1.0, 5.5964254e-08)","(1.0, 5.3399628e-08)","(1.0, 5.7203465e-08)","(0.29193324, 0.2631259)","(0.69973135, 0.3388141)","(1.0, 5.7203465e-08)","(1.0, 6.191277e-08)"
