,Learned Profile,Target Profile,Similarity in terms of Sus,Similarity in terms of Sec,Similarity in terms of Eff,Similarity with Sus expert,Similarity with Sec expert,Similarity with Eff expert,Similarity with target profile agent,Similarity with target profile society
0,"(0.003280949080362916, 0.9944015145301819, 0.002317466540262103)","(0.0, 1.0, 0.0)","(0.9581316, 0.15212533)","(0.95798373, 0.15264072)","(0.95716506, 0.15673178)","(0.24758753, 0.26063284)","(0.95798373, 0.15264072)","(0.1532265, 0.21996467)","(0.95798373, 0.15264072)","(0.95798373, 0.15264072)"
1,"(0.013799915090203285, 0.9817714691162109, 0.00442870706319809)","(0.1, 0.9, 0.0)","(0.89429945, 0.22363572)","(0.9096995, 0.19484784)","(0.89086753, 0.23362707)","(0.24758753, 0.26063284)","(0.95798373, 0.15264072)","(0.1532265, 0.21996467)","(0.9070474, 0.19875935)","(0.88888216, 0.1492028)"
2,"(0.2579191327095032, 0.7340569496154785, 0.008023904636502266)","(0.2, 0.8, 0.0)","(0.8941851, 0.20712645)","(0.91047245, 0.17265804)","(0.8753339, 0.25741884)","(0.30278158, 0.29181117)","(0.7606147, 0.28287098)","(0.21385564, 0.28873292)","(0.9064258, 0.17954683)","(0.6767151, 0.2491783)"
3,"(0.3347560465335846, 0.6568486094474792, 0.008395370095968246)","(0.3, 0.7, 0.0)","(0.89619905, 0.24951455)","(0.8979001, 0.24055527)","(0.8911626, 0.264188)","(0.38779998, 0.34181508)","(0.6896679, 0.29637942)","(0.30797097, 0.35535252)","(0.8973835, 0.24304777)","(0.5928846, 0.2285698)"
4,"(0.4340909719467163, 0.5602169036865234, 0.005692108068615198)","(0.4, 0.6, 0.0)","(0.871626, 0.27556512)","(0.8899429, 0.23870876)","(0.8586335, 0.30354017)","(0.44537875, 0.35158285)","(0.58793575, 0.31419304)","(0.33738786, 0.35354474)","(0.88129586, 0.25426662)","(0.52403176, 0.23093112)"
5,"(0.6031567454338074, 0.3917706608772278, 0.005072580184787512)","(0.5, 0.5, 0.0)","(0.9933347, 0.057722572)","(0.9950704, 0.04269104)","(0.9907848, 0.07980585)","(0.5777383, 0.35871994)","(0.44979155, 0.29964387)","(0.4731762, 0.3767125)","(0.9941547, 0.050622195)","(0.5064053, 0.2335524)"
6,"(0.6280409097671509, 0.3685966432094574, 0.0033625150099396706)","(0.6, 0.4, 0.0)","(0.8462771, 0.24891067)","(0.8556858, 0.23890431)","(0.83312666, 0.27055788)","(0.59976673, 0.35330668)","(0.42718366, 0.2974812)","(0.510054, 0.3739829)","(0.8509089, 0.24338415)","(0.51851, 0.24397938)"
7,"(0.6820614337921143, 0.3153199851512909, 0.0026186348404735327)","(0.7, 0.3, 0.0)","(0.8012336, 0.28430298)","(0.81215507, 0.27014327)","(0.78092194, 0.32256198)","(0.6488895, 0.3497578)","(0.38826928, 0.27916998)","(0.5628538, 0.37174204)","(0.80504113, 0.27863804)","(0.55121255, 0.26480007)"
8,"(0.806769073009491, 0.1911698281764984, 0.0020610725041478872)","(0.8, 0.2, 0.0)","(0.9345031, 0.19610262)","(0.933716, 0.19579528)","(0.9312168, 0.20752929)","(0.802223, 0.30969352)","(0.33215687, 0.2621394)","(0.7081431, 0.33629838)","(0.9347173, 0.19447151)","(0.6843692, 0.26770258)"
9,"(0.8916186690330505, 0.10696633160114288, 0.0014149905182421207)","(0.9, 0.1, 0.0)","(0.9215647, 0.20643187)","(0.9106162, 0.2176321)","(0.9242587, 0.19790897)","(0.86756605, 0.26636702)","(0.31911084, 0.26578853)","(0.7089847, 0.3323539)","(0.92038256, 0.20743503)","(0.7969447, 0.25598654)"
10,"(0.9605440497398376, 0.010968009941279888, 0.02848791517317295)","(1.0, 0.0, 0.0)","(1.0, 5.7203465e-08)","(1.0, 5.5964254e-08)","(1.0, 5.3399628e-08)","(1.0, 5.7203465e-08)","(0.29193324, 0.2631259)","(0.69973135, 0.3388141)","(1.0, 5.7203465e-08)","(1.0, 6.191277e-08)"
