,Policy,sus,sec,eff
0,Exp + P,"(0.38025577670257343, 0.11126354636423477)","(0.2918051385173672, 0.09969641974686427)","(0.21393223941375158, 0.10671546813275944)"
1,VL + P,"(0.38025577670257343, 0.11126354636423477)","(0.2918051385173672, 0.09969641974686427)","(0.21393223941375158, 0.10671546813275944)"
2,"Expert (0.0, 1.0, 0.0)","(0.6477393075283066, 0.2361832086347883)","(0.2918051385056874, 0.09969641656120663)","(1.0907190222692167, 0.5074766754880546)"
3,"Expert (0.1, 0.9, 0.0)","(0.5933667120139274, 0.22280735652259076)","(0.2949550512771805, 0.10041555505301733)","(0.9638403584731828, 0.48234040741427997)"
4,"Expert (0.2, 0.8, 0.0)","(0.5276158387293292, 0.1870494752963368)","(0.3181258136876415, 0.11112296109668009)","(0.7774253557658276, 0.42429271397722)"
5,"Expert (0.3, 0.7, 0.0)","(0.4910156177012189, 0.17903617447422995)","(0.3398165675199906, 0.11497350900588262)","(0.6714297466387507, 0.4014222486265076)"
6,"Expert (0.4, 0.6, 0.0)","(0.4597346258654541, 0.16129561909419646)","(0.3712329945163602, 0.14263504797737153)","(0.5601036178635886, 0.34982868835090025)"
7,"Expert (0.5, 0.5, 0.0)","(0.4318968428683308, 0.14177144151406518)","(0.4115705620832542, 0.1860892400584511)","(0.46349674451132733, 0.30640996701723444)"
8,"Expert (0.6, 0.4, 0.0)","(0.40325076019967365, 0.12447572295858486)","(0.4700407901193677, 0.20715493623721348)","(0.34799337005748193, 0.22884934445062496)"
9,"Expert (0.7, 0.3, 0.0)","(0.38777661318339307, 0.11459393254357639)","(0.5190313967016807, 0.21859100850941865)","(0.2788920465812369, 0.17708320614790965)"
10,"Expert (0.8, 0.2, 0.0)","(0.38360683631004866, 0.11326878363584283)","(0.5409974063184467, 0.22470048095073078)","(0.26499149635798713, 0.1653797416591921)"
11,"Expert (0.9, 0.1, 0.0)","(0.3813718566364658, 0.11208936381511764)","(0.5661957177883443, 0.23094153876730503)","(0.26320656384747343, 0.16287754976067897)"
12,"Expert (1.0, 0.0, 0.0)","(0.38025577663517507, 0.11126355395736716)","(0.590937801081485, 0.2374247621512469)","(0.24652831641287776, 0.14015597125618823)"
13,"Society (0.0, 1.0, 0.0)","(0.6477393075283066, 0.2361832086347883)","(0.2918051385056874, 0.09969641656120663)","(1.0907190222692167, 0.5074766754880546)"
14,"Society (0.1, 0.9, 0.0)","(0.616213942313334, 0.22062574607815075)","(0.32509406144006214, 0.11896641352065437)","(0.9916629572183745, 0.46478979671907916)"
15,"Society (0.2, 0.8, 0.0)","(0.5957095609359768, 0.21017811286770635)","(0.34980173687744304, 0.12426278095829389)","(0.927728856958397, 0.4367910757790094)"
16,"Society (0.3, 0.7, 0.0)","(0.5683000170282626, 0.19626062057183782)","(0.3841306876198551, 0.1424539196501394)","(0.8376158118029707, 0.3972342205242209)"
17,"Society (0.4, 0.6, 0.0)","(0.5381439445186469, 0.17774278263301382)","(0.4141278970105448, 0.1503382358908307)","(0.7433309352917652, 0.337349039196388)"
18,"Society (0.5, 0.5, 0.0)","(0.5113300623911384, 0.170473288119231)","(0.44028776243641543, 0.16206225933029153)","(0.6616772173390736, 0.3268451098802378)"
19,"Society (0.6, 0.4, 0.0)","(0.48877221863007625, 0.16343186307540336)","(0.47094270044653963, 0.18045937684271593)","(0.5872826875030448, 0.3071478695813931)"
20,"Society (0.7, 0.3, 0.0)","(0.46005867405060835, 0.13841043337199435)","(0.5023253808390636, 0.19490277202009323)","(0.4961137320009201, 0.23148252292458316)"
21,"Society (0.8, 0.2, 0.0)","(0.4339309691179599, 0.13224346610619475)","(0.5373496905343544, 0.22261282267693452)","(0.4105712461238574, 0.2280669335624261)"
22,"Society (0.9, 0.1, 0.0)","(0.4156214191651854, 0.13237238383163646)","(0.5557353013226117, 0.21933707339589184)","(0.3558847969014957, 0.20421714095094107)"
23,"Society (1.0, 0.0, 0.0)","(0.38025577663517507, 0.11126355395736716)","(0.590937801081485, 0.2374247621512469)","(0.24652831641287776, 0.14015597125618823)"
24,"Learning(0.0, 1.0, 0.0)_result_(0.0, 0.99, 0.0)","(0.6259012314648748, 0.23323329815348648)","(0.2922414229157623, 0.09993336595270651)","(1.040000859447709, 0.5000062036549159)"
25,"Learning(0.1, 0.9, 0.0)_result_(0.01, 0.98, 0.0)","(0.6259012314648748, 0.23323329815348648)","(0.2922414229157623, 0.09993336595270651)","(1.040000859447709, 0.5000062036549159)"
26,"Learning(0.2, 0.8, 0.0)_result_(0.26, 0.73, 0.01)","(0.5597399064794636, 0.2010695768641477)","(0.30457857496309626, 0.10671649403485735)","(0.8726774592880822, 0.4403642055276588)"
27,"Learning(0.3, 0.7, 0.0)_result_(0.33, 0.66, 0.01)","(0.5153363429915196, 0.1851576117679623)","(0.3243489919494957, 0.1149257741234272)","(0.7478734124949704, 0.4216308590786475)"
28,"Learning(0.4, 0.6, 0.0)_result_(0.43, 0.56, 0.01)","(0.4880089139876777, 0.17835905985157877)","(0.3422252220585314, 0.11507779315670065)","(0.6599645524892319, 0.39870300972990075)"
29,"Learning(0.5, 0.5, 0.0)_result_(0.6, 0.39, 0.01)","(0.43306560778154035, 0.14247277485673876)","(0.4095407000650563, 0.18501986448616384)","(0.46808924688842746, 0.30760014179859874)"
30,"Learning(0.6, 0.4, 0.0)_result_(0.63, 0.37, 0.0)","(0.4241675309083228, 0.13771412141664546)","(0.4255049767770719, 0.18645765468863418)","(0.42735687169165193, 0.29202539541516315)"
31,"Learning(0.7, 0.3, 0.0)_result_(0.68, 0.32, 0.0)","(0.40956870348064084, 0.13003309987620262)","(0.45452084034408663, 0.1966101600776719)","(0.3710613956875597, 0.25894448285645344)"
32,"Learning(0.8, 0.2, 0.0)_result_(0.81, 0.19, 0.0)","(0.38749878140056115, 0.1141365700102123)","(0.5202021505676001, 0.22068273946709469)","(0.2768170844547536, 0.1752116401140118)"
33,"Learning(0.9, 0.1, 0.0)_result_(0.89, 0.11, 0.0)","(0.38332545036131416, 0.11302676274977679)","(0.5431070047910141, 0.2244526280063622)","(0.26478267056594823, 0.1649194486396599)"
34,"Learning(1.0, 0.0, 0.0)_result_(0.96, 0.01, 0.03)","(0.38025577663517507, 0.11126355395736716)","(0.590937801081485, 0.2374247621512469)","(0.24652831641287776, 0.14015597125618823)"
