,Learned Profile,Target Profile,Similarity in terms of Sus,Similarity in terms of Sec,Similarity in terms of Eff,Similarity with Sus expert,Similarity with Sec expert,Similarity with Eff expert,Similarity with target profile agent,Similarity with target profile society
0,"(0.011582398787140846, 0.01114706788212061, 0.9772705435752869)","(0.0, 0.0, 1.0)","(0.9995556116227364, 0.0038485162385666198)","(0.9970804303219524, 0.025284215093080282)","(0.9997308464334673, 0.0023309382613645986)","(0.9523270053935955, 0.06755463682318406)","(0.5488494630517721, 0.2070253569602565)","(0.9997308464334673, 0.0023309382613645986)","(0.9997308464334673, 0.0023309382613645986)","(0.9997308464334673, 0.0023309382613645986)"
1,"(0.680772602558136, 0.3072734475135803, 0.01195400021970272)","(0.0, 0.25, 0.75)","(0.9290203293779836, 0.08099202234978302)","(0.7994539409113537, 0.21912342831295867)","(0.7498784197204488, 0.27900099369839954)","(0.9455591539130912, 0.07773083107309398)","(0.6899670175545752, 0.1883439352837378)","(0.7498071119335785, 0.2791255927853042)","(0.7547534012231247, 0.2664078098524104)","(0.6411202891070726, 0.19811787990715649)"
2,"(0.5124002695083618, 0.4783281981945038, 0.009271519258618355)","(0.0, 0.5, 0.5)","(0.8674405833533863, 0.1100976687140251)","(0.6853076756806059, 0.22537093592581875)","(0.5434833509519429, 0.30763515011937687)","(0.8573515979521066, 0.12374302573493673)","(0.8142690353429877, 0.15381261584430658)","(0.5427439323673325, 0.3075320352353782)","(0.585960948335284, 0.2710757359168549)","(0.6767326975945158, 0.1895847926510978)"
3,"(0.2815394997596741, 0.7072862982749939, 0.011174187995493412)","(0.0, 0.75, 0.25)","(0.7895354252521634, 0.1554009080758911)","(0.6084671735001544, 0.22851062629454802)","(0.41040278677693987, 0.30385207901233846)","(0.7626573562718977, 0.15904613599536843)","(0.9255700081067588, 0.09763694966980913)","(0.4089933798190045, 0.30306967338536533)","(0.5172402335500372, 0.2510964138099494)","(0.7847604393585537, 0.15108162688538698)"
4,"(0.0032893852330744267, 0.9943851232528687, 0.0023255168925970793)","(0.0, 1.0, 0.0)","(0.9729303062953889, 0.10070355215229902)","(0.9986830449788402, 0.004804512532300712)","(0.965501902845844, 0.12744510453994987)","(0.6541066786555225, 0.16139302878846792)","(0.9986830449788402, 0.004804512532300712)","(0.2697608606218608, 0.2070718361463239)","(0.9986830449788402, 0.004804512532300712)","(0.9986830449788402, 0.004804512532300712)"
5,"(0.3125540614128113, 0.12261566519737244, 0.5648302435874939)","(0.25, 0.0, 0.75)","(0.9824951137855715, 0.05033458939093784)","(0.9661750417456808, 0.08488673317807494)","(0.9900512538753334, 0.03303769547414807)","(0.9680152938412301, 0.0505111161134999)","(0.5545490745498288, 0.2066297507548164)","(0.990150469902109, 0.0330528066428677)","(0.9877769214134939, 0.03483428818756238)","(0.9673894350802649, 0.05851477561851158)"
6,"(0.7217391133308411, 0.274302214384079, 0.00395860755816102)","(0.25, 0.25, 0.5)","(0.9351368165475133, 0.07744583813249795)","(0.8114505183973787, 0.21612206671687603)","(0.7694157925250307, 0.2739966517352966)","(0.954742528580563, 0.07404610798808942)","(0.6778010740799111, 0.19404592992693512)","(0.7693345464721947, 0.2741315273934922)","(0.7986560043621053, 0.23287230152022653)","(0.7067823943188376, 0.18069870820198244)"
7,"(0.5444930195808411, 0.448181688785553, 0.007325228303670883)","(0.25, 0.5, 0.25)","(0.8754691224685194, 0.11192994234259168)","(0.702780584384702, 0.23622892422134437)","(0.566776453458208, 0.31231330481747765)","(0.8678662529106411, 0.12208994658359738)","(0.8016976271211971, 0.15412366246169967)","(0.5649188568388093, 0.3104655725906474)","(0.6690109013627396, 0.24337644939442626)","(0.7227561726359808, 0.14985067589379042)"
8,"(0.3274773061275482, 0.6644787788391113, 0.008043920621275902)","(0.25, 0.75, 0.0)","(0.9813478810607135, 0.09334912385391013)","(0.9859394699445067, 0.0709897499710718)","(0.9709780386903082, 0.14510881247979263)","(0.7696305302903167, 0.15726016864729253)","(0.9210894236375496, 0.1023658381609425)","(0.41447232971782205, 0.3016437163366131)","(0.9846021456468934, 0.07749526143651586)","(0.8451008827725204, 0.11576413597551188)"
9,"(0.6085922718048096, 0.06905514746904373, 0.3223525881767273)","(0.5, 0.0, 0.5)","(0.9826909831348198, 0.041073823278877)","(0.9501859751758225, 0.110155625134048)","(0.9756190934781713, 0.06570791241186007)","(0.9840010182396272, 0.03481734147989695)","(0.552146459985524, 0.215122409205586)","(0.9720105108413373, 0.06675643748718571)","(0.9785208458799054, 0.05177335381013169)","(0.9604345109809799, 0.06259849483226747)"
