,Learned Profile,Target Profile,Similarity in terms of Sus,Similarity in terms of Sec,Similarity in terms of Eff,Similarity with Sus expert,Similarity with Sec expert,Similarity with Eff expert,Similarity with target profile agent,Similarity with target profile society
0,"(0.0, 0.0, 1.0)","(0.0, 0.0, 1.0)","(1.0, 5.7610613e-08)","(1.0, 5.80149e-08)","(1.0, 5.2516928e-08)","(0.7004257, 0.343155)","(0.28337735, 0.2439163)","(1.0, 5.2516928e-08)","(1.0, 5.2516928e-08)","(1.0, 5.6380348e-08)"
1,"(0.0, 0.25, 0.75)","(0.0, 0.25, 0.75)","(0.9071021, 0.23401597)","(0.9023477, 0.2432006)","(0.912896, 0.21323194)","(0.6500109, 0.35942733)","(0.280924, 0.2372499)","(0.90607685, 0.21855776)","(0.90812, 0.2253335)","(0.7194521, 0.21067575)"
2,"(0.0, 0.5, 0.5)","(0.0, 0.5, 0.5)","(0.81938696, 0.29875815)","(0.81171405, 0.30892274)","(0.80754584, 0.31052056)","(0.6735863, 0.3508253)","(0.3289674, 0.2670514)","(0.78763247, 0.31508127)","(0.8101893, 0.30621487)","(0.51107895, 0.20595354)"
3,"(0.0, 0.75, 0.25)","(0.0, 0.75, 0.25)","(0.52161944, 0.34672746)","(0.547521, 0.33678335)","(0.46082592, 0.380485)","(0.47686276, 0.35795596)","(0.4816546, 0.2961043)","(0.44291744, 0.36891192)","(0.5285733, 0.34217533)","(0.46334574, 0.23188752)"
4,"(0.0, 1.0, 0.0)","(0.0, 1.0, 0.0)","(1.0, 5.116433e-08)","(1.0, 4.269781e-08)","(1.0, 4.377894e-08)","(0.23769112, 0.262004)","(1.0, 4.269781e-08)","(0.14909026, 0.22100088)","(1.0, 4.269781e-08)","(1.0, 5.2960118e-08)"
5,"(0.25, 0.0, 0.75)","(0.25, 0.0, 0.75)","(0.9084198, 0.21892197)","(0.90828204, 0.22139996)","(0.91618425, 0.20691922)","(0.7936218, 0.31559044)","(0.2727959, 0.23740649)","(0.901242, 0.22599924)","(0.9135437, 0.21082214)","(0.8672359, 0.20312542)"
6,"(0.25, 0.25, 0.5)","(0.25, 0.25, 0.5)","(0.90023184, 0.21161348)","(0.8956624, 0.22187647)","(0.8879515, 0.2269395)","(0.72173834, 0.34353787)","(0.30719796, 0.25203288)","(0.8729788, 0.23771535)","(0.8940961, 0.21837732)","(0.6676431, 0.21541284)"
7,"(0.25, 0.5, 0.25)","(0.25, 0.5, 0.25)","(0.7330772, 0.317951)","(0.73884934, 0.31447893)","(0.69730437, 0.3569326)","(0.6405835, 0.3640562)","(0.38112563, 0.29608312)","(0.6856484, 0.35915458)","(0.7293395, 0.31960863)","(0.49687606, 0.23212789)"
8,"(0.25, 0.75, 0.0)","(0.25, 0.75, 0.0)","(0.8216303, 0.2813475)","(0.84290934, 0.25174606)","(0.80101544, 0.31965545)","(0.2994438, 0.2916327)","(0.77842224, 0.2823196)","(0.21343176, 0.2888852)","(0.8364288, 0.259152)","(0.6672876, 0.24029435)"
9,"(0.5, 0.0, 0.5)","(0.5, 0.0, 0.5)","(0.92196816, 0.22624165)","(0.9168575, 0.23938951)","(0.9263479, 0.21664405)","(0.8385419, 0.2779814)","(0.27668256, 0.23685312)","(0.84958255, 0.27594617)","(0.92381024, 0.22181718)","(0.8505531, 0.18755938)"
10,"(0.5, 0.25, 0.25)","(0.5, 0.25, 0.25)","(0.86550945, 0.24684872)","(0.860722, 0.25736412)","(0.8455905, 0.2769475)","(0.7869677, 0.32077014)","(0.32693642, 0.26639825)","(0.7950331, 0.30117294)","(0.86138093, 0.25138703)","(0.65232146, 0.21742804)"
11,"(0.5, 0.5, 0.0)","(0.5, 0.5, 0.0)","(0.7652533, 0.3243168)","(0.78530324, 0.29635334)","(0.74467766, 0.35735446)","(0.46416017, 0.35163224)","(0.55561453, 0.3199184)","(0.35605904, 0.35690928)","(0.7750234, 0.30923)","(0.49643555, 0.23872066)"
12,"(0.75, 0.0, 0.25)","(0.75, 0.0, 0.25)","(0.88812095, 0.23813526)","(0.8831313, 0.239547)","(0.8835881, 0.24292068)","(0.9175067, 0.2134576)","(0.25775972, 0.22846612)","(0.7724276, 0.31134224)","(0.88726735, 0.23885675)","(0.8683585, 0.18847008)"
13,"(0.75, 0.25, 0.0)","(0.75, 0.25, 0.0)","(0.8772382, 0.24642798)","(0.885598, 0.22734967)","(0.85578805, 0.29523128)","(0.7437165, 0.34167662)","(0.37356797, 0.2911188)","(0.63981134, 0.36768863)","(0.87981874, 0.2397434)","(0.66096383, 0.28095818)"
14,"(1.0, 0.0, 0.0)","(1.0, 0.0, 0.0)","(1.0, 5.7203465e-08)","(1.0, 5.5964254e-08)","(1.0, 5.3399628e-08)","(1.0, 5.7203465e-08)","(0.29193324, 0.2631259)","(0.69973135, 0.3388141)","(1.0, 5.7203465e-08)","(1.0, 6.191277e-08)"
