,Policy,sus,sec,eff
0,Exp + P,"(0.38025577670257343, 0.11126354636423477)","(0.2918051385173672, 0.09969641974686427)","(0.21393223941375158, 0.10671546813275944)"
1,VL + P,"(0.38025577670257343, 0.11126354636423477)","(0.2918051385173672, 0.09969641974686427)","(0.21393223941375158, 0.10671546813275944)"
2,"Expert (0.0, 0.0, 1.0)","(0.4027201077383085, 0.12472095606301664)","(0.5896176209330166, 0.2227459038437514)","(0.21393223878993395, 0.1067154682539768)"
3,"Expert (0.0, 0.25, 0.75)","(0.4028674413765609, 0.12463013968572838)","(0.5874272079427579, 0.22197267759306466)","(0.213979365893465, 0.10669751383310419)"
4,"Expert (0.0, 0.5, 0.5)","(0.4103880063768501, 0.13884456765111633)","(0.5788209647810283, 0.21033457469868008)","(0.21443644523472022, 0.10707836923075388)"
5,"Expert (0.0, 0.75, 0.25)","(0.40942044636099845, 0.13741573848305827)","(0.5737722721418035, 0.21091107530796538)","(0.21504364492743902, 0.10852920912738166)"
6,"Expert (0.0, 1.0, 0.0)","(0.6477393075283066, 0.2361832086347883)","(0.2918051385056874, 0.09969641656120663)","(1.0907190222692167, 0.5074766754880546)"
7,"Expert (0.25, 0.0, 0.75)","(0.4011410429742874, 0.12268364241054362)","(0.592193416721114, 0.2234686967567687)","(0.21395527960703475, 0.10671268502777484)"
8,"Expert (0.25, 0.25, 0.5)","(0.40171453435629556, 0.12254669768427691)","(0.5883153200511037, 0.22316150815816935)","(0.21398448990313276, 0.10670429238828745)"
9,"Expert (0.25, 0.5, 0.25)","(0.4009782037694669, 0.1212448718997904)","(0.5788326984276002, 0.2189080362198283)","(0.21479698707882658, 0.10835386061454753)"
10,"Expert (0.25, 0.75, 0.0)","(0.5094783728763057, 0.1867359590385049)","(0.32776149622402856, 0.11753409635943045)","(0.7317764654634582, 0.42545221287865664)"
11,"Expert (0.5, 0.0, 0.5)","(0.39477771635038633, 0.11876015382284098)","(0.6022129209748911, 0.2285584391460929)","(0.21472996327218807, 0.10694905430388923)"
12,"Expert (0.5, 0.25, 0.25)","(0.3952277844211111, 0.11789069206907625)","(0.589823182310762, 0.22435896806297392)","(0.2149527714833599, 0.10797441487877871)"
13,"Expert (0.5, 0.5, 0.0)","(0.4318968428683308, 0.14177144151406518)","(0.4115705620832542, 0.1860892400584511)","(0.46349674451132733, 0.30640996701723444)"
14,"Expert (0.75, 0.0, 0.25)","(0.3898019181797281, 0.11303388307455756)","(0.608546416262949, 0.23452435103909963)","(0.21613906826831608, 0.10839280853671358)"
15,"Expert (0.75, 0.25, 0.0)","(0.38514371238048434, 0.11357921989777425)","(0.5312928840737042, 0.22238138934934082)","(0.2671347751188717, 0.16955037122753935)"
16,"Expert (1.0, 0.0, 0.0)","(0.38025577663517507, 0.11126355395736716)","(0.590937801081485, 0.2374247621512469)","(0.24652831641287776, 0.14015597125618823)"
17,"Society (0.0, 0.0, 1.0)","(0.4027201077383085, 0.12472095606301664)","(0.5896176209330166, 0.2227459038437514)","(0.21393223878993395, 0.1067154682539768)"
18,"Society (0.0, 0.25, 0.75)","(0.4624883259422954, 0.1400184773657171)","(0.5158330660854853, 0.1882654220558537)","(0.42714192647288557, 0.20010903106071112)"
19,"Society (0.0, 0.5, 0.5)","(0.5261765978281465, 0.17966311287313064)","(0.44869646159558646, 0.15342564700447736)","(0.6519515809905562, 0.33475899499635065)"
20,"Society (0.0, 0.75, 0.25)","(0.5855104713274112, 0.1964581054826187)","(0.3669259673202568, 0.12387136116930945)","(0.8665355823090832, 0.39642256479663524)"
21,"Society (0.0, 1.0, 0.0)","(0.6477393075283066, 0.2361832086347883)","(0.2918051385056874, 0.09969641656120663)","(1.0907190222692167, 0.5074766754880546)"
22,"Society (0.25, 0.0, 0.75)","(0.39720638528524427, 0.12060166411256225)","(0.5908584206899641, 0.22312037419137773)","(0.22080418977589267, 0.11071181169296435)"
23,"Society (0.25, 0.25, 0.5)","(0.4650429041454214, 0.1536741727381595)","(0.5138056258967384, 0.18409384037036827)","(0.4586882157716134, 0.257571393358939)"
24,"Society (0.25, 0.5, 0.25)","(0.5191402736932536, 0.18034258140686094)","(0.4436489084043722, 0.16125238904302544)","(0.6604238305108753, 0.353945147881357)"
25,"Society (0.25, 0.75, 0.0)","(0.5798736281274041, 0.19892417430317044)","(0.3658645873745532, 0.13455889980665234)","(0.8784082799115964, 0.4046490950151969)"
26,"Society (0.5, 0.0, 0.5)","(0.39154960151017326, 0.11592011905030751)","(0.5891716941538586, 0.22015176607543427)","(0.22949843494103622, 0.12040522146970287)"
27,"Society (0.5, 0.25, 0.25)","(0.45126902101336236, 0.13855195256359198)","(0.5137201722515448, 0.18838643626332682)","(0.4483749208356083, 0.2335028387730989)"
28,"Society (0.5, 0.5, 0.0)","(0.5128998305695285, 0.16928974818598316)","(0.4459091878406692, 0.16943382522620196)","(0.6642813788238286, 0.3223912873614831)"
29,"Society (0.75, 0.0, 0.25)","(0.3855688970505358, 0.11349645895026562)","(0.5883595937103995, 0.22789610282210168)","(0.2388046356278784, 0.13033500813935048)"
30,"Society (0.75, 0.25, 0.0)","(0.4428876143403039, 0.14452509887874526)","(0.5146626735493843, 0.19761847534070748)","(0.4488419875033861, 0.2427307613768022)"
31,"Society (1.0, 0.0, 0.0)","(0.38025577663517507, 0.11126355395736716)","(0.590937801081485, 0.2374247621512469)","(0.24652831641287776, 0.14015597125618823)"
32,"Learning(0.0, 0.0, 1.0)_result_(0.0, 0.0, 1.0)","(0.4027201077383085, 0.12472095606301664)","(0.5896176209330166, 0.2227459038437514)","(0.21393223878993395, 0.1067154682539768)"
33,"Learning(0.0, 0.25, 0.75)_result_(0.0, 0.25, 0.75)","(0.4102455014117846, 0.13842282868180836)","(0.5674886954205393, 0.2123860000179358)","(0.2170045593976331, 0.11049496292521)"
34,"Learning(0.0, 0.5, 0.5)_result_(0.0, 0.5, 0.5)","(0.40356278015870456, 0.13473383772102177)","(0.5135176061402921, 0.20259331962149424)","(0.2513881806214493, 0.14705772659786984)"
35,"Learning(0.0, 0.75, 0.25)_result_(0.0, 0.75, 0.25)","(0.4619017594630254, 0.16217560589163188)","(0.37966943709512924, 0.14224697556164312)","(0.5139055745094083, 0.3374637010831661)"
36,"Learning(0.0, 1.0, 0.0)_result_(0.0, 1.0, 0.0)","(0.6477393075283066, 0.2361832086347883)","(0.2918051385056874, 0.09969641656120663)","(1.0907190222692167, 0.5074766754880546)"
37,"Learning(0.25, 0.0, 0.75)_result_(0.25, 0.0, 0.75)","(0.39160857737634186, 0.11466554907205584)","(0.6015325118297417, 0.23062207530764536)","(0.21544211306785369, 0.10839591507174084)"
38,"Learning(0.25, 0.25, 0.5)_result_(0.25, 0.25, 0.5)","(0.3953103560396764, 0.117968646899251)","(0.5525859911752999, 0.21437359945967047)","(0.2273240556586595, 0.1203947297818699)"
39,"Learning(0.25, 0.5, 0.25)_result_(0.25, 0.5, 0.25)","(0.40991939177681497, 0.13212645384744331)","(0.4702356739695748, 0.1966027774728748)","(0.3178007353532226, 0.21514819560104628)"
40,"Learning(0.25, 0.75, 0.0)_result_(0.25, 0.75, 0.0)","(0.5651853323682812, 0.206242284695397)","(0.3024626990363207, 0.10711960956379916)","(0.8867050190348987, 0.45658245449067847)"
41,"Learning(0.5, 0.0, 0.5)_result_(0.5, 0.0, 0.5)","(0.3877620109032202, 0.1120343472194458)","(0.6126886498501622, 0.2361981151885765)","(0.21763111330456972, 0.10936426844453787)"
42,"Learning(0.5, 0.25, 0.25)_result_(0.5, 0.25, 0.25)","(0.38935196304871506, 0.11707554837412794)","(0.5280756354707257, 0.21560938051885178)","(0.2502109462963601, 0.14819449896193723)"
43,"Learning(0.5, 0.5, 0.0)_result_(0.5, 0.5, 0.0)","(0.47535000579649167, 0.17264892608684998)","(0.3542357656879176, 0.12299736978597538)","(0.6222832852593121, 0.38331067279903747)"
44,"Learning(0.75, 0.0, 0.25)_result_(0.75, 0.0, 0.25)","(0.384072935070818, 0.11120149539316136)","(0.6216105506954543, 0.2311490074255379)","(0.22379146963794483, 0.10991657975622714)"
45,"Learning(0.75, 0.25, 0.0)_result_(0.75, 0.25, 0.0)","(0.39804451580551503, 0.12087186149881671)","(0.4849450371778068, 0.20999395397180343)","(0.3239720823085487, 0.21006101605904967)"
46,"Learning(1.0, 0.0, 0.0)_result_(1.0, 0.0, 0.0)","(0.38025577663517507, 0.11126355395736716)","(0.590937801081485, 0.2374247621512469)","(0.24652831641287776, 0.14015597125618823)"
