,Policy,sus,sec,eff
0,Exp + P,"(0.3869445493542834, 0.10923170779963566)","(0.29519764588851677, 0.09677944286056422)","(0.21749619121271135, 0.09845512954400333)"
1,VL + P,"(0.3869445493542834, 0.10923170779963566)","(0.29519764588851677, 0.09677944286056422)","(0.21749619121271135, 0.09845512954400333)"
2,"Expert (0.0, 0.0, 1.0)","(0.4068437005840487, 0.12040219703832673)","(0.6043815228346686, 0.2125888262403318)","(0.21749619169177573, 0.09845513254429793)"
3,"Expert (0.0, 0.25, 0.75)","(0.4087189235203703, 0.1210962256367531)","(0.6004801910695325, 0.21033417359140874)","(0.217589651359671, 0.09843013100347586)"
4,"Expert (0.0, 0.5, 0.5)","(0.41666430557961576, 0.13542983819544796)","(0.5912384806280514, 0.19837743782339562)","(0.21809008469656538, 0.09887637199408525)"
5,"Expert (0.0, 0.75, 0.25)","(0.417604292205253, 0.13602317401590722)","(0.5897638542052224, 0.19980639459869778)","(0.21832248684375755, 0.09901595432231718)"
6,"Expert (0.0, 1.0, 0.0)","(0.6720819642367516, 0.23549319977926167)","(0.2951976461073699, 0.09677944055609534)","(1.1383899091256593, 0.5017821476533155)"
7,"Expert (0.25, 0.0, 0.75)","(0.40569079356378335, 0.11828304595842493)","(0.6052696349430143, 0.2137594056483775)","(0.2175013157014435, 0.09846229552339396)"
8,"Expert (0.25, 0.25, 0.5)","(0.40583812720203577, 0.11818357937595458)","(0.6030792219527555, 0.2131144860666091)","(0.21754844280497454, 0.0984411272422348)"
9,"Expert (0.25, 0.5, 0.25)","(0.4074341603156522, 0.11944782105675804)","(0.5965351992658965, 0.20950346437442446)","(0.21802949643078087, 0.09883595728994221)"
10,"Expert (0.25, 0.75, 0.0)","(0.5233057852854376, 0.1830587066761122)","(0.33347348836813534, 0.11899381606406696)","(0.7531531667321504, 0.4188608491787401)"
11,"Expert (0.5, 0.0, 0.5)","(0.39895503056744164, 0.11397842436749848)","(0.6161272948374972, 0.21898485014470256)","(0.21837185147658028, 0.09852723533691732)"
12,"Expert (0.5, 0.25, 0.25)","(0.4003543560592286, 0.11468653241887929)","(0.6096623076193378, 0.21605737040798262)","(0.21830274104286218, 0.09841303183986286)"
13,"Expert (0.5, 0.5, 0.0)","(0.4374076017158682, 0.13572548348062657)","(0.42346765412960513, 0.19357514251749794)","(0.45848344652691403, 0.2919110027004783)"
14,"Expert (0.75, 0.0, 0.25)","(0.39637138353550416, 0.11164188908122766)","(0.624036966979283, 0.2232418552397081)","(0.2191005809585668, 0.0988058138219759)"
15,"Expert (0.75, 0.25, 0.0)","(0.391898815469559, 0.11187144155942186)","(0.5401473540029991, 0.2171785597817425)","(0.2720927578928623, 0.16911553349172576)"
16,"Expert (1.0, 0.0, 0.0)","(0.3869445511311489, 0.10923171603180774)","(0.6028011442080912, 0.22798126895404305)","(0.24939780441414577, 0.13516654385426935)"
17,"Society (0.0, 0.0, 1.0)","(0.4068437005840487, 0.12040219703832673)","(0.6043815228346686, 0.2125888262403318)","(0.21749619169177573, 0.09845513254429793)"
18,"Society (0.0, 0.25, 0.75)","(0.47678199054062137, 0.14985664728051298)","(0.5231306870171754, 0.16663154884048356)","(0.45865354669693165, 0.243026642224098)"
19,"Society (0.0, 0.5, 0.5)","(0.5393181290469856, 0.16777119947323063)","(0.4491283220398289, 0.1561293051058231)","(0.6764677971982899, 0.31451368422884457)"
20,"Society (0.0, 0.75, 0.25)","(0.6092717205590912, 0.21068808332750535)","(0.3732733946583865, 0.1140817621964544)","(0.9131757340870345, 0.437313152843192)"
21,"Society (0.0, 1.0, 0.0)","(0.6720819642367516, 0.23549319977926167)","(0.2951976461073699, 0.09677944055609534)","(1.1383899091256593, 0.5017821476533155)"
22,"Society (0.25, 0.0, 0.75)","(0.40243542907088625, 0.11758641506795504)","(0.6026892120092127, 0.20720494754218594)","(0.22542078712959715, 0.10545198913890286)"
23,"Society (0.25, 0.25, 0.5)","(0.4670598344449996, 0.13820270020939984)","(0.5265129273580035, 0.17783743609931343)","(0.4514656867115839, 0.2272119635692834)"
24,"Society (0.25, 0.5, 0.25)","(0.5342431205020004, 0.1645555027700266)","(0.44728518098444947, 0.15224265577654225)","(0.6853739292759489, 0.3165721519139904)"
25,"Society (0.25, 0.75, 0.0)","(0.5985404135123215, 0.2014998550966298)","(0.37439291737096747, 0.12171337079618758)","(0.9081192006001257, 0.40691219752361163)"
26,"Society (0.5, 0.0, 0.5)","(0.3964485816711155, 0.11399124870198016)","(0.6028163038953176, 0.20942088963009942)","(0.23493323203262043, 0.11686970144035717)"
27,"Society (0.5, 0.25, 0.25)","(0.46582570084857783, 0.1426394576050123)","(0.5251612192598067, 0.18025944859012902)","(0.4694780335438018, 0.2425822655091422)"
28,"Society (0.5, 0.5, 0.0)","(0.5280848336056041, 0.164502935529335)","(0.4465202470109178, 0.16794151978357147)","(0.6899200084542634, 0.319146463052964)"
29,"Society (0.75, 0.0, 0.25)","(0.3916118622489433, 0.11050621592281318)","(0.6014583309315065, 0.2168524719805836)","(0.2421445664180761, 0.12720739381490836)"
30,"Society (0.75, 0.25, 0.0)","(0.4582177415762042, 0.13364088492718723)","(0.529347445187829, 0.19854585818357776)","(0.4671244229574528, 0.22020224729760765)"
31,"Society (1.0, 0.0, 0.0)","(0.3869445511311489, 0.10923171603180774)","(0.6028011442080912, 0.22798126895404305)","(0.24939780441414577, 0.13516654385426935)"
32,"Learning(0.0, 0.0, 1.0)_result_(0.01, 0.01, 0.98)","(0.4068437005840487, 0.12040219703832673)","(0.6043815228346686, 0.2125888262403318)","(0.21749619169177573, 0.09845513254429793)"
33,"Learning(0.0, 0.25, 0.75)_result_(0.01, 0.04, 0.95)","(0.4091657721437514, 0.12137921837948856)","(0.5986413427162915, 0.2083649766827736)","(0.21767326898062542, 0.09853472591767116)"
34,"Learning(0.0, 0.5, 0.5)_result_(0.02, 0.14, 0.84)","(0.4166562390578053, 0.13543414777128696)","(0.5901955474990629, 0.199961071923021)","(0.21826849041750201, 0.09892548297187133)"
35,"Learning(0.0, 0.75, 0.25)_result_(0.02, 0.17, 0.81)","(0.417604292205253, 0.13602317401590722)","(0.5897638542052224, 0.19980639459869778)","(0.21832248684375755, 0.09901595432231718)"
36,"Learning(0.0, 1.0, 0.0)_result_(0.0, 0.99, 0.0)","(0.6548108024282172, 0.23578801387368023)","(0.2955256445449394, 0.09699255982306015)","(1.0979595609062112, 0.5020600784578194)"
37,"Learning(0.25, 0.0, 0.75)_result_(0.06, 0.01, 0.93)","(0.40569079356378335, 0.11828304595842493)","(0.6052696349430143, 0.2137594056483775)","(0.2175013157014435, 0.09846229552339396)"
38,"Learning(0.25, 0.25, 0.5)_result_(0.07, 0.04, 0.89)","(0.40583812720203577, 0.11818357937595458)","(0.6030792219527555, 0.2131144860666091)","(0.21754844280497454, 0.0984411272422348)"
39,"Learning(0.25, 0.5, 0.25)_result_(0.11, 0.13, 0.76)","(0.4074341603156522, 0.11944782105675804)","(0.5965351992658965, 0.20950346437442446)","(0.21802949643078087, 0.09883595728994221)"
40,"Learning(0.25, 0.75, 0.0)_result_(0.3, 0.68, 0.03)","(0.5281229634397038, 0.1818338211004112)","(0.33074732589911465, 0.11594899957862553)","(0.7633059851275328, 0.41826499874432027)"
41,"Learning(0.5, 0.0, 0.5)_result_(0.22, 0.02, 0.76)","(0.3979497921046507, 0.11270761881302524)","(0.6181488580217487, 0.22086475379457227)","(0.2185898206827053, 0.09857036892662595)"
42,"Learning(0.5, 0.25, 0.25)_result_(0.28, 0.08, 0.64)","(0.4003543560592286, 0.11468653241887929)","(0.6096623076193378, 0.21605737040798262)","(0.21830274104286218, 0.09841303183986286)"
43,"Learning(0.5, 0.5, 0.0)_result_(0.59, 0.39, 0.02)","(0.43778140240235525, 0.13586300940721466)","(0.42300864988091663, 0.19323157345860004)","(0.45597815005480935, 0.2934653587685403)"
44,"Learning(0.75, 0.0, 0.25)_result_(0.39, 0.01, 0.6)","(0.39653835227823275, 0.11156786310824164)","(0.6223805316227586, 0.22275148684502435)","(0.2190324276579256, 0.098827893806046)"
45,"Learning(0.75, 0.25, 0.0)_result_(0.84, 0.16, 0.0)","(0.3916103642106081, 0.11164386744403092)","(0.5417830294471443, 0.2160522113712989)","(0.27040908994738283, 0.1654244503965455)"
46,"Learning(1.0, 0.0, 0.0)_result_(0.95, 0.02, 0.03)","(0.3869445511311489, 0.10923171603180774)","(0.6028011442080912, 0.22798126895404305)","(0.24939780441414577, 0.13516654385426935)"
