,Learned Profile,Target Profile,Similarity in terms of Sus,Similarity in terms of Sec,Similarity in terms of Eff,Similarity with Sus expert,Similarity with Sec expert,Similarity with Eff expert,Similarity with target profile agent,Similarity with target profile society
0,"(0.0, 0.0, 1.0)","(0.0, 0.0, 1.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(0.9599808214601985, 0.05911839596679515)","(0.5564175024614397, 0.2015435964287199)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)"
1,"(0.0, 0.25, 0.75)","(0.0, 0.25, 0.75)","(0.9846063749202338, 0.051235696333308)","(0.9733606920239622, 0.08090268506373552)","(0.9924000033221332, 0.027767033228054145)","(0.9500299737414691, 0.06664704163559454)","(0.5742269489728122, 0.1985280156625873)","(0.9919114529131853, 0.027794018505707247)","(0.9866876149866461, 0.04272055978370319)","(0.6139262497682614, 0.2221223980145066)"
2,"(0.0, 0.5, 0.5)","(0.0, 0.5, 0.5)","(0.9740066966499394, 0.049363238169780846)","(0.9035132471060725, 0.1721497517862732)","(0.9142264182470872, 0.1605005648335209)","(0.9516699011182316, 0.06794368247582694)","(0.6291830999663196, 0.1952069212677486)","(0.9128068854929812, 0.16042666382302528)","(0.9066531108837028, 0.16537225483771908)","(0.5441861772620459, 0.19330376920050266)"
3,"(0.0, 0.75, 0.25)","(0.0, 0.75, 0.25)","(0.8858672183098374, 0.12168968302305207)","(0.736650077396811, 0.22748497094644496)","(0.6295815585034346, 0.31461835950987516)","(0.8641532491385211, 0.12912444723312294)","(0.7825030082329999, 0.1613173960496843)","(0.6272823910477922, 0.31298933510420324)","(0.6921300743476891, 0.2563524818832326)","(0.7004155593577328, 0.19139653822795513)"
4,"(0.0, 1.0, 0.0)","(0.0, 1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(0.628044624958861, 0.16642321879156494)","(1.0, 0.0)","(0.2601554384014188, 0.20838896015446284)","(1.0, 0.0)","(1.0, 0.0)"
5,"(0.25, 0.0, 0.75)","(0.25, 0.0, 0.75)","(0.9880924246645686, 0.03657160638372528)","(0.9837738429139199, 0.052317719260442555)","(0.9960321032822641, 0.012396658230925254)","(0.9743935207780151, 0.047153274834500346)","(0.5527536905370716, 0.20502955550724358)","(0.9959041494787894, 0.012403499296178504)","(0.9938899336481289, 0.018766337052695096)","(0.982799143501804, 0.03188948219671776)"
6,"(0.25, 0.25, 0.5)","(0.25, 0.25, 0.5)","(0.9857616493775597, 0.03750585293017725)","(0.9488010950272455, 0.11340444995383471)","(0.9704211305712851, 0.0787683446263032)","(0.9668419661574026, 0.049230338168846484)","(0.5912500810296359, 0.20773841654760491)","(0.970137556633303, 0.07869636350442807)","(0.9668333786131346, 0.07692256335849838)","(0.6643401561917407, 0.18895550860433893)"
7,"(0.25, 0.5, 0.25)","(0.25, 0.5, 0.25)","(0.9514557522939917, 0.06990817833032188)","(0.8460496834374572, 0.19946986277115458)","(0.8190851225133281, 0.24838135382722643)","(0.9395580903253208, 0.0791084011967128)","(0.6774690732700982, 0.1913409891064622)","(0.8171282437141197, 0.24800693950636035)","(0.8510385185357573, 0.1943085757971846)","(0.64892496469634, 0.18252035835708938)"
8,"(0.25, 0.75, 0.0)","(0.25, 0.75, 0.0)","(0.9224500830178585, 0.1396704776185538)","(0.9407189082067751, 0.10841215461539204)","(0.8631797729213977, 0.25616592897472873)","(0.7132778122342219, 0.16320705395834836)","(0.9696263715386276, 0.04963784634416954)","(0.3525100383912379, 0.2760331428195906)","(0.9355134027396836, 0.11673809445405578)","(0.8289617988119689, 0.11505596984183361)"
9,"(0.5, 0.0, 0.5)","(0.5, 0.0, 0.5)","(0.9839076851568941, 0.04343544237312642)","(0.9667776120775882, 0.08772692192968412)","(0.9866861542548896, 0.03865751109532133)","(0.9849075062589451, 0.03147433822247912)","(0.5394055014339305, 0.20039991558313153)","(0.9844480130794901, 0.038848731387863454)","(0.9851655374685798, 0.040083191740721204)","(0.9688148463320254, 0.05147479773296679)"
10,"(0.5, 0.25, 0.25)","(0.5, 0.25, 0.25)","(0.9833771104271049, 0.032942517154077366)","(0.9106178757501183, 0.1646127797541998)","(0.9214590133349488, 0.15171548630583526)","(0.9748936252646906, 0.04086641406548485)","(0.6209589930006937, 0.20233443987103217)","(0.9194648369101834, 0.1522036964857821)","(0.9418585773005169, 0.10902374224658257)","(0.7514404713773677, 0.1483181397745565)"
11,"(0.5, 0.5, 0.0)","(0.5, 0.5, 0.0)","(0.9246853598860677, 0.12762880225182693)","(0.9011346671063244, 0.1543469242464074)","(0.817527405137248, 0.28481069865772934)","(0.8369872616763319, 0.14258644740166096)","(0.8438606638987307, 0.15870447117664227)","(0.5220510159874108, 0.3232735069973265)","(0.911903536832547, 0.14076902087583346)","(0.7900338064938326, 0.12242981663940722)"
12,"(0.75, 0.0, 0.25)","(0.75, 0.0, 0.25)","(0.988546066975561, 0.030440811712176122)","(0.9548889989269002, 0.09886703812943429)","(0.9755277798129471, 0.06146035247275182)","(0.9919097618125748, 0.023790165915345947)","(0.5234806447065676, 0.19366391281589215)","(0.9656836664144779, 0.06524309476892906)","(0.9849519295287287, 0.03851456224258632)","(0.9761131613258676, 0.0474145422375392)"
13,"(0.75, 0.25, 0.0)","(0.75, 0.25, 0.0)","(0.9714725464499809, 0.05905448410480718)","(0.9254300518843664, 0.14943357506214333)","(0.8971580252898886, 0.2190722399583667)","(0.958752939062666, 0.06632800089692095)","(0.6698086266983586, 0.19658635168299696)","(0.8005512651472856, 0.25523767528265656)","(0.9567955126495363, 0.08878556611875203)","(0.8602369702015885, 0.09759278731645503)"
14,"(1.0, 0.0, 0.0)","(1.0, 0.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(0.5531167947007112, 0.20616171782951725)","(0.9237480948129704, 0.13574958522696715)","(1.0, 0.0)","(1.0, 0.0)"
