,Learned Profile,Target Profile,Similarity in terms of Sus,Similarity in terms of Sec,Similarity in terms of Eff,Similarity with Sus expert,Similarity with Sec expert,Similarity with Eff expert,Similarity with target profile agent,Similarity with target profile society
0,"(0.011582398787140846, 0.01114706788212061, 0.9772705435752869)","(0.0, 0.0, 1.0)","(0.9995556116227364, 0.0038485162385666198)","(0.9970804303219524, 0.025284215093080282)","(0.9997308464334673, 0.0023309382613645986)","(0.959536433082935, 0.05894257971368286)","(0.5577027836076024, 0.20048429661589526)","(0.9997308464334673, 0.0023309382613645986)","(0.9997308464334673, 0.0023309382613645986)","(0.9997308464334673, 0.0023309382613645986)"
1,"(0.680772602558136, 0.3072734475135803, 0.01195400021970272)","(0.0, 0.25, 0.75)","(0.9392329680592901, 0.07563692708067059)","(0.8107462719060334, 0.2078210186817288)","(0.7637449422926617, 0.27328460405062316)","(0.9434325570120106, 0.07632631395362745)","(0.6912120359301066, 0.18204667597115237)","(0.7638930313482067, 0.2735982210832804)","(0.7682628438692211, 0.25978500059894954)","(0.6392528996840117, 0.21587182110215938)"
2,"(0.5124002695083618, 0.4783281981945038, 0.009271519258618355)","(0.0, 0.5, 0.5)","(0.8799631853499834, 0.11294300626165008)","(0.7107355571640009, 0.22295898571067668)","(0.579310173119214, 0.3138659513094937)","(0.8657872611036153, 0.12444237562721983)","(0.8021345265492869, 0.16070052255097367)","(0.5785537261510976, 0.3137344222322447)","(0.618438860008175, 0.27517330047751914)","(0.6612820485456868, 0.19731517758302738)"
3,"(0.2815394997596741, 0.7072862982749939, 0.011174187995493412)","(0.0, 0.75, 0.25)","(0.7782309099174981, 0.16496252072991163)","(0.6143060822026116, 0.22300082296977616)","(0.4159098028035392, 0.30784474372432996)","(0.7535682574072279, 0.1694601601248183)","(0.9330986151683616, 0.08647361244141732)","(0.4145855682103485, 0.30707113466838837)","(0.5216511869723711, 0.2530775332697874)","(0.7782732110783233, 0.1641692678211517)"
4,"(0.0032893852330744267, 0.9943851232528687, 0.0023255168925970793)","(0.0, 1.0, 0.0)","(0.9774436146104183, 0.09389923782211358)","(0.9988568658594266, 0.004605943383209525)","(0.9719623705478986, 0.11607843835328244)","(0.643051230436187, 0.15629435120560303)","(0.9988568658594266, 0.004605943383209525)","(0.26665780078014284, 0.2054688867679948)","(0.9988568658594266, 0.004605943383209525)","(0.9988568658594266, 0.004605943383209525)"
5,"(0.3125540614128113, 0.12261566519737244, 0.5648302435874939)","(0.25, 0.0, 0.75)","(0.9901286850366414, 0.03594731736815264)","(0.9749777825145727, 0.07430648176517925)","(0.9943180097016372, 0.023016324948193754)","(0.9677010544793336, 0.04936561795056347)","(0.5650820689199582, 0.20013591983519802)","(0.9944172257284125, 0.023019627662681456)","(0.9931153573344299, 0.024812593904227992)","(0.9767156339322216, 0.04419766481880724)"
6,"(0.7217391133308411, 0.274302214384079, 0.00395860755816102)","(0.25, 0.25, 0.5)","(0.949750992382875, 0.06485320020414712)","(0.8266102702960461, 0.20235571861647858)","(0.7842048013383189, 0.26308193133636054)","(0.9537613654546412, 0.07038538381182075)","(0.6783349107175846, 0.1927139852410675)","(0.7841235552854829, 0.2632269645036161)","(0.8147077399966826, 0.22052867867806808)","(0.6819452421071003, 0.17950875817451162)"
7,"(0.5444930195808411, 0.448181688785553, 0.007325228303670883)","(0.25, 0.5, 0.25)","(0.8883296982898161, 0.11326032493392416)","(0.7285920059640214, 0.23175254025002479)","(0.6094897291860921, 0.3184142938338194)","(0.8787071107138867, 0.1219399263014602)","(0.7897645894219265, 0.16454615657411642)","(0.6075431172463385, 0.3168315353484376)","(0.7011814185828324, 0.2448429085280554)","(0.71973116567137, 0.17419083130536497)"
8,"(0.3274773061275482, 0.6644787788391113, 0.008043920621275902)","(0.25, 0.75, 0.0)","(0.9813478810607134, 0.09334912385391013)","(0.9859394699445067, 0.0709897499710718)","(0.9709780386903082, 0.14510881247979263)","(0.7628618774467512, 0.16460841900607676)","(0.9252328861949121, 0.09574071229202863)","(0.4211571237899899, 0.3046065014014865)","(0.9846021456468934, 0.07749526143651586)","(0.8329212492583273, 0.11723020414406402)"
9,"(0.6085922718048096, 0.06905514746904373, 0.3223525881767273)","(0.5, 0.0, 0.5)","(0.9820042039347454, 0.0422484309695386)","(0.9474141614796399, 0.11030238743722698)","(0.9776876516096815, 0.056061552023538665)","(0.9857911548741842, 0.029446022625757295)","(0.5581879564723423, 0.21042591584495168)","(0.9754786961040306, 0.056211789543510096)","(0.9794163696334494, 0.04690937412650746)","(0.9706985214948404, 0.05062061630502797)"
