,Learned Profile,Target Profile,Similarity in terms of Sus,Similarity in terms of Sec,Similarity in terms of Eff,Similarity with Sus expert,Similarity with Sec expert,Similarity with Eff expert,Similarity with target profile agent,Similarity with target profile society
0,"(0.0, 0.0, 1.0)","(0.0, 0.0, 1.0)","(1.0, 5.5964254e-08)","(1.0, 5.7203465e-08)","(1.0, 5.5964254e-08)","(0.7249099, 0.33315212)","(0.2853967, 0.24089439)","(1.0, 5.5964254e-08)","(1.0, 5.5964254e-08)","(1.0, 5.9604645e-08)"
1,"(0.0, 0.25, 0.75)","(0.0, 0.25, 0.75)","(0.9206125, 0.2109071)","(0.9158934, 0.22089304)","(0.9264563, 0.1919767)","(0.6741363, 0.3482917)","(0.28945565, 0.23857842)","(0.9090518, 0.21457396)","(0.92181414, 0.20287828)","(0.72539246, 0.21158066)"
2,"(0.0, 0.5, 0.5)","(0.0, 0.5, 0.5)","(0.8468029, 0.2679405)","(0.8364581, 0.28327549)","(0.8287804, 0.28479457)","(0.6610861, 0.36424497)","(0.32787362, 0.25996238)","(0.7914665, 0.30731258)","(0.83403677, 0.2790217)","(0.50647277, 0.21673846)"
3,"(0.0, 0.75, 0.25)","(0.0, 0.75, 0.25)","(0.57808924, 0.34881556)","(0.5973726, 0.34033775)","(0.51396537, 0.38645324)","(0.49400607, 0.37666804)","(0.46479803, 0.29244244)","(0.48409346, 0.37557638)","(0.579833, 0.3460363)","(0.4462495, 0.23958988)"
4,"(0.0, 1.0, 0.0)","(0.0, 1.0, 0.0)","(1.0, 4.377894e-08)","(1.0, 4.2146848e-08)","(1.0, 4.4309612e-08)","(0.21288814, 0.2362042)","(1.0, 4.2146848e-08)","(0.14918546, 0.21923478)","(1.0, 4.2146848e-08)","(1.0, 5.116433e-08)"
5,"(0.25, 0.0, 0.75)","(0.25, 0.0, 0.75)","(0.9339712, 0.17328985)","(0.9339095, 0.17541493)","(0.9423469, 0.15737191)","(0.79461396, 0.32083648)","(0.26713347, 0.2324337)","(0.9274046, 0.18386911)","(0.9395592, 0.16242912)","(0.89469147, 0.16323993)"
6,"(0.25, 0.25, 0.5)","(0.25, 0.25, 0.5)","(0.9120831, 0.19297493)","(0.90252686, 0.21116371)","(0.9024885, 0.20528454)","(0.7270977, 0.34009936)","(0.30989718, 0.24925114)","(0.8875157, 0.21813783)","(0.90519524, 0.20113485)","(0.6853093, 0.19459267)"
7,"(0.25, 0.5, 0.25)","(0.25, 0.5, 0.25)","(0.7458101, 0.31338382)","(0.74755025, 0.31337288)","(0.7057814, 0.35137823)","(0.63374585, 0.37699556)","(0.3744398, 0.28082362)","(0.6938033, 0.35406283)","(0.73973924, 0.31544256)","(0.5019269, 0.21352585)"
8,"(0.25, 0.75, 0.0)","(0.25, 0.75, 0.0)","(0.83528215, 0.2767678)","(0.8540993, 0.24819273)","(0.8177993, 0.3111833)","(0.2888857, 0.29731354)","(0.7797214, 0.28036413)","(0.23244499, 0.29996455)","(0.84840584, 0.25555083)","(0.6493721, 0.22858277)"
9,"(0.5, 0.0, 0.5)","(0.5, 0.0, 0.5)","(0.9026783, 0.24760969)","(0.89554375, 0.26216277)","(0.9063782, 0.2408686)","(0.85372293, 0.26616493)","(0.2630886, 0.22913802)","(0.8557754, 0.26578856)","(0.9042967, 0.24420297)","(0.8432227, 0.20143192)"
10,"(0.5, 0.25, 0.25)","(0.5, 0.25, 0.25)","(0.86569566, 0.24284166)","(0.85547465, 0.26092812)","(0.8487601, 0.26871306)","(0.75470597, 0.33994862)","(0.32186818, 0.25095767)","(0.8235226, 0.2714049)","(0.8604204, 0.24882805)","(0.6589618, 0.23294546)"
11,"(0.5, 0.5, 0.0)","(0.5, 0.5, 0.0)","(0.7561567, 0.3400526)","(0.77862203, 0.3091721)","(0.73754644, 0.37234598)","(0.4657886, 0.36902606)","(0.5635023, 0.32501346)","(0.38579378, 0.37056503)","(0.7667095, 0.32425052)","(0.50359756, 0.21047421)"
12,"(0.75, 0.0, 0.25)","(0.75, 0.0, 0.25)","(0.89352053, 0.23846094)","(0.8866824, 0.24092782)","(0.89266825, 0.23902723)","(0.9260285, 0.19196665)","(0.2408561, 0.22204204)","(0.79012495, 0.30367783)","(0.8933899, 0.23853451)","(0.89025235, 0.16738161)"
13,"(0.75, 0.25, 0.0)","(0.75, 0.25, 0.0)","(0.85752106, 0.2624655)","(0.8615883, 0.25494146)","(0.83404154, 0.3088759)","(0.72034514, 0.35083815)","(0.36113453, 0.26679704)","(0.66579294, 0.35456407)","(0.85905164, 0.2585195)","(0.60500586, 0.27356356)"
14,"(1.0, 0.0, 0.0)","(1.0, 0.0, 0.0)","(1.0, 5.2069968e-08)","(1.0, 5.554504e-08)","(1.0, 5.80149e-08)","(1.0, 5.2069968e-08)","(0.2656385, 0.24339676)","(0.72588277, 0.3276126)","(1.0, 5.2069968e-08)","(1.0, 5.7203465e-08)"
