,Learned Profile,Target Profile,Similarity in terms of Sus,Similarity in terms of Sec,Similarity in terms of Eff,Similarity with Sus expert,Similarity with Sec expert,Similarity with Eff expert,Similarity with target profile agent,Similarity with target profile society
0,"(0.011582398787140846, 0.01114706788212061, 0.9772705435752869)","(0.0, 0.0, 1.0)","(0.99279726, 0.06237721)","(0.9935542, 0.055822648)","(0.9931808, 0.059055954)","(0.71770716, 0.33304426)","(0.28778124, 0.24065572)","(0.9931808, 0.059055954)","(0.9931808, 0.059055954)","(0.9931808, 0.059055954)"
1,"(0.680772602558136, 0.3072734475135803, 0.01195400021970272)","(0.0, 0.25, 0.75)","(0.66691583, 0.33872548)","(0.6702087, 0.33848685)","(0.6182465, 0.37124124)","(0.6493736, 0.3654149)","(0.3837454, 0.26912057)","(0.6278698, 0.3718165)","(0.63562447, 0.3549715)","(0.5515234, 0.26787433)"
2,"(0.5124002695083618, 0.4783281981945038, 0.009271519258618355)","(0.0, 0.5, 0.5)","(0.5170676, 0.34819302)","(0.5453987, 0.33840665)","(0.44956157, 0.3764202)","(0.5042464, 0.36580765)","(0.4993391, 0.30685273)","(0.44164285, 0.37094516)","(0.50166786, 0.35065135)","(0.45163572, 0.22248507)"
3,"(0.2815394997596741, 0.7072862982749939, 0.011174187995493412)","(0.0, 0.75, 0.25)","(0.349097, 0.339418)","(0.38018218, 0.3268061)","(0.29267892, 0.35067964)","(0.34193805, 0.34210315)","(0.71360254, 0.2830437)","(0.291379, 0.34706235)","(0.3559632, 0.3307665)","(0.60782063, 0.22581483)"
4,"(0.0032893852330744267, 0.9943851232528687, 0.0023255168925970793)","(0.0, 1.0, 0.0)","(0.9648223, 0.14232159)","(0.9656578, 0.13931738)","(0.96428883, 0.14583407)","(0.22013742, 0.23564003)","(0.9656578, 0.13931738)","(0.15284348, 0.21838547)","(0.9656578, 0.13931738)","(0.9656578, 0.13931738)"
5,"(0.3125540614128113, 0.12261566519737244, 0.5648302435874939)","(0.25, 0.0, 0.75)","(0.9415701, 0.16934657)","(0.93716943, 0.18007806)","(0.93867564, 0.17484194)","(0.75207233, 0.32290384)","(0.28072315, 0.22822808)","(0.9391378, 0.17331232)","(0.93961567, 0.17227167)","(0.8905085, 0.16952613)"
6,"(0.7217391133308411, 0.274302214384079, 0.00395860755816102)","(0.25, 0.25, 0.5)","(0.6966433, 0.31537682)","(0.6992535, 0.3179688)","(0.64784884, 0.35455182)","(0.69825566, 0.35933203)","(0.37388745, 0.27409267)","(0.6451583, 0.35835746)","(0.6775138, 0.327051)","(0.5911656, 0.2471655)"
7,"(0.5444930195808411, 0.448181688785553, 0.007325228303670883)","(0.25, 0.5, 0.25)","(0.5570407, 0.353319)","(0.58182657, 0.34395328)","(0.49427614, 0.38973552)","(0.53265476, 0.3743374)","(0.48342514, 0.3008363)","(0.47568125, 0.38038552)","(0.55648464, 0.35237715)","(0.4963641, 0.21798338)"
8,"(0.3274773061275482, 0.6644787788391113, 0.008043920621275902)","(0.25, 0.75, 0.0)","(0.9659243, 0.16843535)","(0.9675839, 0.16023412)","(0.9651225, 0.17266126)","(0.3549122, 0.3407942)","(0.70447123, 0.28712174)","(0.3003612, 0.344565)","(0.96708137, 0.16270953)","(0.6075506, 0.22799012)"
9,"(0.6085922718048096, 0.06905514746904373, 0.3223525881767273)","(0.5, 0.0, 0.5)","(0.8782821, 0.25079373)","(0.86574405, 0.27150986)","(0.87441385, 0.2540245)","(0.85121185, 0.2732976)","(0.27711198, 0.24072069)","(0.83232677, 0.2693777)","(0.87677807, 0.25063297)","(0.84265345, 0.20703244)"
10,"(0.7422652840614319, 0.2546698749065399, 0.0030648810788989067)","(0.5, 0.25, 0.25)","(0.7220344, 0.31658942)","(0.72252846, 0.3214583)","(0.67968404, 0.35765034)","(0.71858805, 0.35374758)","(0.3676052, 0.27608785)","(0.66672856, 0.35383564)","(0.7145584, 0.32182387)","(0.6178197, 0.24275757)"
11,"(0.5238299369812012, 0.4707726836204529, 0.005397418513894081)","(0.5, 0.5, 0.0)","(0.8454867, 0.27628964)","(0.8582671, 0.25528267)","(0.82936466, 0.30877694)","(0.5042464, 0.36580765)","(0.4993391, 0.30685273)","(0.44164285, 0.37094516)","(0.8527619, 0.26373816)","(0.5069986, 0.227237)"
12,"(0.728286623954773, 0.05036165937781334, 0.22135169804096222)","(0.75, 0.0, 0.25)","(0.8896038, 0.2358057)","(0.88668364, 0.2378455)","(0.87895894, 0.25214663)","(0.91589797, 0.20669825)","(0.26880333, 0.24154925)","(0.7752223, 0.31138486)","(0.8874331, 0.23869455)","(0.88096046, 0.18857422)"
13,"(0.6966024041175842, 0.30115750432014465, 0.0022400885354727507)","(0.75, 0.25, 0.0)","(0.784352, 0.31073305)","(0.79098284, 0.30136564)","(0.76328254, 0.34835815)","(0.6493736, 0.3654149)","(0.3837454, 0.26912057)","(0.6278698, 0.3718165)","(0.7866843, 0.3066797)","(0.5634248, 0.28532243)"
14,"(0.9195647239685059, 0.02128434181213379, 0.059150923043489456)","(1.0, 0.0, 0.0)","(0.9925731, 0.06431882)","(0.99280185, 0.06233772)","(0.9901703, 0.085127175)","(0.9925731, 0.06431882)","(0.26589933, 0.24326085)","(0.72712576, 0.32579982)","(0.9925731, 0.06431882)","(0.9925731, 0.06431882)"
