,Learned Profile,Target Profile,Similarity in terms of Sus,Similarity in terms of Sec,Similarity in terms of Eff,Similarity with Sus expert,Similarity with Sec expert,Similarity with Eff expert,Similarity with target profile agent,Similarity with target profile society
0,"(0.011582398787140846, 0.01114706788212061, 0.9772705435752869)","(0.0, 0.0, 1.0)",,,,"(8.131578947368421, 10.83894307488555)","(25.63157894736842, 10.540451035569635)","(0.11842105263157894, 1.0255563992184138)","(0.11842105263157894, 1.0255563992184138)","(0.11842105263157894, 1.0255563992184138)"
1,"(0.680772602558136, 0.3072734475135803, 0.01195400021970272)","(0.0, 0.25, 0.75)",,,,"(10.328947368421053, 11.972982917577323)","(21.855263157894736, 11.392176386691208)","(9.368421052631579, 11.47633962512158)","(9.697368421052632, 11.600839054094441)","(15.598684210526315, 8.104993480646955)"
2,"(0.5124002695083618, 0.4783281981945038, 0.009271519258618355)","(0.0, 0.5, 0.5)",,,,"(14.407894736842104, 11.993614124958055)","(17.17105263157895, 11.458607610248766)","(13.973684210526315, 11.543936303270268)","(14.105263157894736, 12.316632899594739)","(15.782894736842104, 7.784657450427644)"
3,"(0.2815394997596741, 0.7072862982749939, 0.011174187995493412)","(0.0, 0.75, 0.25)",,,,"(20.092105263157894, 11.957355841730301)","(9.881578947368421, 11.083376724274437)","(20.42105263157895, 12.242358688601955)","(20.723684210526315, 12.938720635741026)","(14.578947368421053, 8.097291876551816)"
4,"(0.0032893852330744267, 0.9943851232528687, 0.0023255168925970793)","(0.0, 1.0, 0.0)",,,,"(25.13157894736842, 10.630569258985293)","(0.7631578947368421, 3.2882102836962988)","(25.25, 10.55826565702012)","(0.7631578947368421, 3.2882102836962988)","(0.7631578947368421, 3.2882102836962988)"
5,"(0.3125540614128113, 0.12261566519737244, 0.5648302435874939)","(0.25, 0.0, 0.75)",,,,"(6.9868421052631575, 10.189640535280287)","(25.69736842105263, 10.392329834574234)","(1.6842105263157894, 5.561168294323051)","(1.4605263157894737, 4.643730321835998)","(4.2368421052631575, 5.826139872778074)"
6,"(0.7217391133308411, 0.274302214384079, 0.00395860755816102)","(0.25, 0.25, 0.5)",,,,"(8.56578947368421, 10.80123716880299)","(22.407894736842106, 11.77885888448022)","(8.473684210526315, 10.187032112872624)","(8.157894736842104, 9.517370036410915)","(13.07017543859649, 7.086416416641066)"
7,"(0.5444930195808411, 0.448181688785553, 0.007325228303670883)","(0.25, 0.5, 0.25)",,,,"(13.592105263157896, 12.158143936840016)","(17.82894736842105, 11.312996901438927)","(13.105263157894736, 11.673833704135097)","(12.552631578947368, 11.437927141109029)","(15.203947368421053, 7.805924364129879)"
8,"(0.3274773061275482, 0.6644787788391113, 0.008043920621275902)","(0.25, 0.75, 0.0)",,,,"(19.394736842105264, 11.801069250583343)","(9.81578947368421, 10.278632059194951)","(19.723684210526315, 12.108716612653058)","(0.868421052631579, 4.560534667590373)","(14.335526315789474, 7.6508462543173765)"
9,"(0.6085922718048096, 0.06905514746904373, 0.3223525881767273)","(0.5, 0.0, 0.5)",,,,"(3.6710526315789473, 7.1255436688141405)","(25.644736842105264, 10.611195611200888)","(4.868421052631579, 8.879814639576718)","(3.513157894736842, 8.013957267189065)","(4.243421052631579, 5.700584815943651)"
10,"(0.7422652840614319, 0.2546698749065399, 0.0030648810788989067)","(0.5, 0.25, 0.25)",,,,"(8.118421052631579, 10.793476471880155)","(22.69736842105263, 11.704722097964638)","(8.026315789473685, 10.174754211709395)","(7.7105263157894735, 9.714091486454212)","(12.99780701754386, 7.475813506802371)"
11,"(0.5238299369812012, 0.4707726836204529, 0.005397418513894081)","(0.5, 0.5, 0.0)",,,,"(14.407894736842104, 11.993614124958055)","(17.17105263157895, 11.458607610248766)","(13.973684210526315, 11.543936303270268)","(4.5394736842105265, 8.777124558331469)","(15.789473684210526, 7.712457096142175)"
12,"(0.728286623954773, 0.05036165937781334, 0.22135169804096222)","(0.75, 0.0, 0.25)",,,,"(2.1710526315789473, 5.5993142387794546)","(25.855263157894736, 10.46762420560154)","(6.394736842105263, 10.040810078674482)","(2.723684210526316, 6.354854514485522)","(4.282894736842105, 5.749333786528632)"
13,"(0.6966024041175842, 0.30115750432014465, 0.0022400885354727507)","(0.75, 0.25, 0.0)",,,,"(10.328947368421053, 11.972982917577323)","(21.855263157894736, 11.392176386691208)","(9.368421052631579, 11.47633962512158)","(5.855263157894737, 9.348098522340226)","(15.782894736842104, 8.321000511671386)"
14,"(0.9195647239685059, 0.02128434181213379, 0.059150923043489456)","(1.0, 0.0, 0.0)",,,,"(0.2236842105263158, 1.9371620874125601)","(25.61842105263158, 10.582964346015274)","(7.973684210526316, 10.843350720494353)","(0.2236842105263158, 1.9371620874125601)","(0.2236842105263158, 1.9371620874125601)"
