,Policy,sus,sec,eff
0,Exp + P,"(0.38340658292566476, 0.1080219872976395)","(0.2970280264945407, 0.09709416686675408)","(0.21256572568151905, 0.10409788470733876)"
1,VL + P,"(0.38340658292566476, 0.1080219872976395)","(0.2970280264945407, 0.09709416686675408)","(0.21256572568151905, 0.10409788470733876)"
2,"Expert (0.0, 0.0, 1.0)","(0.40294469083202883, 0.12217468721267494)","(0.5885897678555537, 0.21892939955785365)","(0.21256572456523395, 0.10409788265092682)"
3,"Expert (0.0, 0.25, 0.75)","(0.4048199137683504, 0.12291820057403291)","(0.5846884360904178, 0.21645627682801596)","(0.21265918423312924, 0.10407866417807594)"
4,"Expert (0.0, 0.5, 0.5)","(0.4097392324482299, 0.13286625392636506)","(0.5770195218537992, 0.20632587346380935)","(0.21302233602718365, 0.10447408260406085)"
5,"Expert (0.0, 0.75, 0.25)","(0.4087716724323783, 0.13136764134907364)","(0.5719708292145744, 0.20686958348485676)","(0.21362953571990242, 0.10596869021560087)"
6,"Expert (0.0, 1.0, 0.0)","(0.6542267498160456, 0.22416048957209667)","(0.29702802631666264, 0.0970941634381398)","(1.0842543207051534, 0.49601380734361794)"
7,"Expert (0.25, 0.0, 0.75)","(0.40136562606800763, 0.12009713856649519)","(0.5911655636436511, 0.21967680310177642)","(0.21258876538233476, 0.10409533190679741)"
8,"Expert (0.25, 0.25, 0.5)","(0.40193911745001587, 0.11995616739928708)","(0.5872874669736408, 0.21934613260115338)","(0.21261797567843277, 0.10408711171708353)"
9,"Expert (0.25, 0.5, 0.25)","(0.4016276039221434, 0.11876460011724829)","(0.5771693780703859, 0.21474339650052598)","(0.21347382684976574, 0.10583680687805168)"
10,"Expert (0.25, 0.75, 0.0)","(0.5187663505256703, 0.18527147413333359)","(0.33207955227388947, 0.11698463595359643)","(0.7315105968369416, 0.4396442277407729)"
11,"Expert (0.5, 0.0, 0.5)","(0.3980520427047802, 0.11712002303574238)","(0.5972686400642775, 0.2244136203170472)","(0.21310153326722733, 0.10448701806050285)"
12,"Expert (0.5, 0.25, 0.25)","(0.3987188638918604, 0.11634370291239882)","(0.584392433652714, 0.21953501496481578)","(0.2132907174094917, 0.10550177570564001)"
13,"Expert (0.5, 0.5, 0.0)","(0.4307405452564126, 0.134484159387631)","(0.42350757977749853, 0.18607713817556162)","(0.431237545758593, 0.28837883131666564)"
14,"Expert (0.75, 0.0, 0.25)","(0.39185635921450357, 0.1111279170629434)","(0.6077265233101283, 0.2301741646441245)","(0.21501171801853497, 0.10576855294971062)"
15,"Expert (0.75, 0.25, 0.0)","(0.38941944690381397, 0.11140267732001533)","(0.5319085713385184, 0.21422308263879436)","(0.2681417064986339, 0.17944182234476763)"
16,"Expert (1.0, 0.0, 0.0)","(0.38340658279010215, 0.10802199626372055)","(0.5996791414997317, 0.23166123127540622)","(0.24096945956491828, 0.13894954093124948)"
17,"Society (0.0, 0.0, 1.0)","(0.40294469083202883, 0.12217468721267494)","(0.5885897678555537, 0.21892939955785365)","(0.21256572456523395, 0.10409788265092682)"
18,"Society (0.0, 0.25, 0.75)","(0.46328146230279293, 0.1307497842226614)","(0.5196909255140972, 0.19271250218696528)","(0.41996058570205747, 0.18550388406093257)"
19,"Society (0.0, 0.5, 0.5)","(0.5233435279888861, 0.1555277822934406)","(0.44267906630407916, 0.15503013542865451)","(0.6373592891002389, 0.28361362127382456)"
20,"Society (0.0, 0.75, 0.25)","(0.5897422062694155, 0.19558361283672956)","(0.3669577378067755, 0.11876723406886591)","(0.8659454717613314, 0.42291900929705745)"
