,Learned Profile,Target Profile,Similarity in terms of Sus,Similarity in terms of Sec,Similarity in terms of Eff,Similarity with Sus expert,Similarity with Sec expert,Similarity with Eff expert,Similarity with target profile agent,Similarity with target profile society
0,"(0.0, 0.0, 1.0)","(0.0, 0.0, 1.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(0.9599808214601985, 0.05911839596679515)","(0.5564175024614397, 0.2015435964287199)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)"
1,"(0.0, 0.1, 0.9)","(0.0, 0.1, 0.9)","(0.9862469832350967, 0.05349044979098978)","(0.9817220380128431, 0.06032724544300614)","(0.9977784129758566, 0.007445109909908016)","(0.9525287264552033, 0.06738220089893225)","(0.5659500453728882, 0.19966920571696126)","(0.9977784129758566, 0.007445109909908016)","(0.9958077265065308, 0.014242213052895658)","(0.7651794505095999, 0.20048628833033458)"
2,"(0.0, 0.2, 0.8)","(0.0, 0.2, 0.8)","(0.9849040937607874, 0.05517222582666897)","(0.9808244584547294, 0.06129851242705395)","(0.9972002991529668, 0.009302853730004685)","(0.9507882637472849, 0.0678859359447362)","(0.5687700119199508, 0.20111759319222494)","(0.9969311455864341, 0.009511533092185958)","(0.9933044208420078, 0.022068572625881477)","(0.6544106755594798, 0.22029813086396585)"
3,"(0.0, 0.3, 0.7)","(0.0, 0.3, 0.7)","(0.9823590135151792, 0.05724859720555656)","(0.9654710510071597, 0.09356797563535472)","(0.9856489962313937, 0.04365312212470524)","(0.9462101772637667, 0.07736526691093774)","(0.58315387482176, 0.20580106937040635)","(0.9848138317950698, 0.043580057229360376)","(0.9784796036190763, 0.05974470835418614)","(0.5767263797005883, 0.1917766263192244)"
4,"(0.0, 0.4, 0.6)","(0.0, 0.4, 0.6)","(0.9768977004385244, 0.0513089847868461)","(0.9348948994369203, 0.13465488677994453)","(0.9535345817853181, 0.10790687168489325)","(0.9473551484199982, 0.07218439057467865)","(0.6047491351251787, 0.20054001280599693)","(0.9521628111154947, 0.10744237902240167)","(0.9447053065128127, 0.1177622595260705)","(0.5618112406212937, 0.20878412680759595)"
5,"(0.0, 0.5, 0.5)","(0.0, 0.5, 0.5)","(0.9740066966499394, 0.049363238169780846)","(0.9035132471060725, 0.1721497517862732)","(0.9142264182470872, 0.1605005648335209)","(0.9516699011182316, 0.06794368247582694)","(0.6291830999663196, 0.1952069212677486)","(0.9128068854929812, 0.16042666382302528)","(0.9066531108837028, 0.16537225483771908)","(0.5376237460944653, 0.2067482054910042)"
6,"(0.0, 0.6, 0.4)","(0.0, 0.6, 0.4)","(0.9614862904237476, 0.06292041845512603)","(0.8737924112054106, 0.18072165710585605)","(0.8551671278992514, 0.21491552433862862)","(0.9391030260867169, 0.08235580461971702)","(0.6551062411419784, 0.19383421833676082)","(0.8530192480583074, 0.21416383344442508)","(0.8613986156515474, 0.19562759403179408)","(0.5655510213129681, 0.22079628970842735)"
7,"(0.0, 0.7, 0.3)","(0.0, 0.7, 0.3)","(0.9023479151559871, 0.10784084689990348)","(0.770731900460069, 0.21648567149369968)","(0.6788358919056342, 0.2982985638468978)","(0.8839837246614234, 0.11557043953312002)","(0.7473632961832205, 0.17566041822019376)","(0.6765356231330314, 0.2969610152080371)","(0.7273211416502793, 0.2468047409094293)","(0.6597307466310461, 0.20636337672983363)"
8,"(0.0, 0.8, 0.2)","(0.0, 0.8, 0.2)","(0.8489392840261237, 0.14150624093920694)","(0.6922094786575318, 0.219545355937409)","(0.5393788689566531, 0.3148705607244698)","(0.8262647543420428, 0.14397299261935156)","(0.8382214460938598, 0.1464858456134765)","(0.5324836576537842, 0.3100863090054336)","(0.6368384245792679, 0.24853977203791833)","(0.754839754028461, 0.18101651215929213)"
9,"(0.0, 0.9, 0.1)","(0.0, 0.9, 0.1)","(0.7389109891486676, 0.16604193519854232)","(0.6407421110045362, 0.20880682392512656)","(0.38357828076294814, 0.28906936400683264)","(0.7071977443643274, 0.16366419475618724)","(0.9732728802744788, 0.047220803845019185)","(0.3472685246722211, 0.27075980700151725)","(0.5795695879973116, 0.2192071513289818)","(0.8781297608449232, 0.11104209639810007)"
10,"(0.0, 1.0, 0.0)","(0.0, 1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(0.628044624958861, 0.16642321879156494)","(1.0, 0.0)","(0.2601554384014188, 0.20838896015446284)","(1.0, 0.0)","(1.0, 0.0)"
