,Learned Profile,Target Profile,Similarity in terms of Sus,Similarity in terms of Sec,Similarity in terms of Eff,Similarity with Sus expert,Similarity with Sec expert,Similarity with Eff expert,Similarity with target profile agent,Similarity with target profile society
0,"(0.017024695873260498, 0.008413741365075111, 0.9745615720748901)","(0.0, 0.0, 1.0)","(0.9982778054247265, 0.014914642524466257)","(0.999034187042693, 0.008364185563321426)","(0.9999855796285505, 0.00012488408007339506)","(0.9616542550201015, 0.05760671405114644)","(0.555849398744459, 0.201514020956022)","(0.9999855796285505, 0.00012488408007339506)","(0.9999855796285505, 0.00012488408007339506)","(0.9999855796285505, 0.00012488408007339506)"
1,"(0.017024695873260498, 0.008413741365075111, 0.9745615720748901)","(0.0, 0.1, 0.9)","(0.9982778054247265, 0.014914642524466257)","(0.999034187042693, 0.008364185563321426)","(0.9999855796285505, 0.00012488408007339506)","(0.9616542550201015, 0.05760671405114644)","(0.555849398744459, 0.201514020956022)","(0.9999855796285505, 0.00012488408007339506)","(0.999883810448808, 0.001006231029866468)","(0.7805508727731209, 0.20903558310787437)"
2,"(0.04794963821768761, 0.028978191316127777, 0.9230722188949585)","(0.0, 0.2, 0.8)","(0.9982778054247265, 0.014914642524466257)","(0.999034187042693, 0.008364185563321426)","(0.9999855796285505, 0.00012488408007339506)","(0.9612098666428381, 0.05743921808517169)","(0.5571346798906215, 0.2004582074049467)","(0.9997164260620179, 0.0023326179762096578)","(0.9997836051460769, 0.0018740344074567178)","(0.6577765406311193, 0.22459003202887365)"
3,"(0.001709706848487258, 0.03501235693693161, 0.9632779955863953)","(0.0, 0.3, 0.7)","(0.9991111088049408, 0.007698023561214898)","(0.9979422630193813, 0.01782052499522536)","(0.9997569239735105, 0.0021051001399082087)","(0.9512878954065405, 0.0717239184656441)","(0.5602206385594918, 0.19831231663501078)","(0.9989217595371868, 0.004650015324686954)","(0.99915313923948, 0.007334029320784298)","(0.5724974776053229, 0.20629114550069338)"
4,"(0.002278180094435811, 0.0518326461315155, 0.9458891749382019)","(0.0, 0.4, 0.6)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(0.951411466697178, 0.07179960679430603)","(0.5613838638820072, 0.1982437540992722)","(0.9986282293301765, 0.005239432117068907)","(1.0, 0.0)","(0.5349938001942307, 0.1951183960917045)"
5,"(0.0010955568868666887, 0.0844297781586647, 0.9144746661186218)","(0.0, 0.5, 0.5)","(0.9969799910264988, 0.026154044907090047)","(0.9952464701203866, 0.041166776333935555)","(0.9993828374930119, 0.00534478409314961)","(0.9525287264552033, 0.06738220089893225)","(0.5659500453728882, 0.19966920571696126)","(0.9977784129758566, 0.007445109909908016)","(0.9969062160952342, 0.02679295455346493)","(0.5052545095330802, 0.20056183200533526)"
6,"(0.0040326728485524654, 0.12200377881526947, 0.8739635348320007)","(0.0, 0.6, 0.4)","(0.9982361297202544, 0.015275564712399303)","(0.9993632871727979, 0.005514094832724196)","(0.9998601757019261, 0.0012109139419840779)","(0.9525287264552033, 0.06738220089893225)","(0.5659500453728882, 0.19966920571696126)","(0.9977784129758566, 0.007445109909908016)","(0.9995574202180929, 0.003832853343328874)","(0.4880371773854063, 0.18926051583422426)"
7,"(0.006724543869495392, 0.15210629999637604, 0.8411691188812256)","(0.0, 0.7, 0.3)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(0.9507882637472849, 0.0678859359447362)","(0.5687700119199508, 0.20111759319222494)","(0.9969311455864341, 0.009511533092185958)","(1.0, 0.0)","(0.4880576634086619, 0.18053752631887604)"
8,"(0.004529362078756094, 0.2930210828781128, 0.7024495601654053)","(0.0, 0.8, 0.2)","(0.998681513400258, 0.008056807601369951)","(0.9910906673948776, 0.05435753855853398)","(0.9949146986757733, 0.030956291641841646)","(0.9462101772637667, 0.07736526691093774)","(0.58315387482176, 0.20580106937040635)","(0.9848138317950698, 0.043580057229360376)","(0.9917388387469671, 0.05039487815241948)","(0.507197373121997, 0.17658857477125364)"
9,"(0.10334214568138123, 0.4601602852344513, 0.4364974796772003)","(0.0, 0.9, 0.1)","(0.9954991096709436, 0.017755306610375457)","(0.9827524486068743, 0.06401809645469737)","(0.9759916637510869, 0.09018797035687204)","(0.9522081787238904, 0.06815640973206334)","(0.6326052172533906, 0.19887427189426404)","(0.9055995861181974, 0.16502635890618866)","(0.9817449174807593, 0.06670491295990288)","(0.5858491564871736, 0.18719226111450363)"
10,"(0.000727725331671536, 0.998508632183075, 0.0007635505171492696)","(0.0, 1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(0.628044624958861, 0.16642321879156494)","(1.0, 0.0)","(0.2601554384014188, 0.20838896015446284)","(1.0, 0.0)","(1.0, 0.0)"
