,Learned Profile,Target Profile,Similarity in terms of Sus,Similarity in terms of Sec,Similarity in terms of Eff,Similarity with Sus expert,Similarity with Sec expert,Similarity with Eff expert,Similarity with target profile agent,Similarity with target profile society
0,"(0.017024695873260498, 0.008413741365075111, 0.9745615720748901)","(0.0, 0.0, 1.0)","(0.99033403, 0.083709456)","(0.9901268, 0.085505314)","(0.9918465, 0.07061156)","(0.7321493, 0.32776734)","(0.28464043, 0.2408475)","(0.9918465, 0.07061156)","(0.9918465, 0.07061156)","(0.9918465, 0.07061156)"
1,"(0.017024695873260498, 0.008413741365075111, 0.9745615720748901)","(0.0, 0.1, 0.9)","(0.99033403, 0.083709456)","(0.9901268, 0.085505314)","(0.9918465, 0.07061156)","(0.7321493, 0.32776734)","(0.28464043, 0.2408475)","(0.9918465, 0.07061156)","(0.9914363, 0.074163795)","(0.9069247, 0.11384374)"
2,"(0.04794963821768761, 0.028978191316127777, 0.9230722188949585)","(0.0, 0.2, 0.8)","(0.99033403, 0.083709456)","(0.9901268, 0.085505314)","(0.9918465, 0.07061156)","(0.72494656, 0.32781678)","(0.28702497, 0.24061626)","(0.9850273, 0.09144614)","(0.99113554, 0.07676851)","(0.8230607, 0.14235047)"
3,"(0.001709706848487258, 0.03501235693693161, 0.9632779955863953)","(0.0, 0.3, 0.7)","(0.9899653, 0.08690277)","(0.9901082, 0.08566567)","(0.99227446, 0.06690508)","(0.6957909, 0.34116468)","(0.2883544, 0.24024035)","(0.96404725, 0.15554747)","(0.9910852, 0.07720474)","(0.72860575, 0.17705242)"
4,"(0.002278180094435811, 0.0518326461315155, 0.9458891749382019)","(0.0, 0.4, 0.6)","(1.0, 5.5964254e-08)","(1.0, 6.972523e-08)","(1.0, 5.2516928e-08)","(0.70177925, 0.3424551)","(0.28848848, 0.24020196)","(0.95643675, 0.16730767)","(1.0, 5.2960118e-08)","(0.6491146, 0.1837909)"
5,"(0.0010955568868666887, 0.0844297781586647, 0.9144746661186218)","(0.0, 0.5, 0.5)","(0.9953809, 0.04000272)","(0.99497706, 0.043500423)","(0.99666756, 0.028860228)","(0.69092715, 0.33889538)","(0.2886593, 0.24002095)","(0.94600296, 0.17248398)","(0.995826, 0.036147512)","(0.5742977, 0.20903467)"
6,"(0.0040326728485524654, 0.12200377881526947, 0.8739635348320007)","(0.0, 0.6, 0.4)","(0.9903305, 0.08373996)","(0.9895027, 0.09090831)","(0.99340326, 0.057129364)","(0.69092715, 0.33889538)","(0.2886593, 0.24002095)","(0.94600296, 0.17248398)","(0.9904251, 0.082920805)","(0.5022624, 0.20441757)"
7,"(0.006724543869495392, 0.15210629999637604, 0.8411691188812256)","(0.0, 0.7, 0.3)","(1.0, 5.5964254e-08)","(1.0, 7.0723736e-08)","(1.0, 5.116433e-08)","(0.6854365, 0.3423517)","(0.2881507, 0.24021523)","(0.9324339, 0.18735823)","(1.0, 6.3035145e-08)","(0.44100997, 0.20620805)"
8,"(0.004529362078756094, 0.2930210828781128, 0.7024495601654053)","(0.0, 0.8, 0.2)","(0.9893664, 0.06500922)","(0.9848909, 0.09224377)","(0.98823816, 0.071613215)","(0.6732998, 0.355557)","(0.30164978, 0.24850239)","(0.8857189, 0.238109)","(0.98539656, 0.08911071)","(0.38418403, 0.21937335)"
9,"(0.10334214568138123, 0.4601602852344513, 0.4364974796772003)","(0.0, 0.9, 0.1)","(0.9697773, 0.10426087)","(0.9682943, 0.118440315)","(0.9615079, 0.13462344)","(0.661694, 0.36685577)","(0.33086333, 0.2663349)","(0.7765483, 0.3105819)","(0.96827936, 0.11551057)","(0.36286741, 0.24488406)"
10,"(0.000727725331671536, 0.998508632183075, 0.0007635505171492696)","(0.0, 1.0, 0.0)","(1.0, 4.377894e-08)","(1.0, 4.2146848e-08)","(1.0, 4.4309612e-08)","(0.21288814, 0.2362042)","(1.0, 4.2146848e-08)","(0.14918546, 0.21923478)","(1.0, 4.2146848e-08)","(1.0, 5.116433e-08)"
