,Learned Profile,Target Profile,Similarity in terms of Sus,Similarity in terms of Sec,Similarity in terms of Eff,Similarity with Sus expert,Similarity with Sec expert,Similarity with Eff expert,Similarity with target profile agent,Similarity with target profile society
0,"(0.0, 0.0, 1.0)","(0.0, 0.0, 1.0)",,,,"(8.013157894736842, 10.87790302577786)","(25.69736842105263, 10.514425850683864)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
1,"(0.0, 0.1, 0.9)","(0.0, 0.1, 0.9)",,,,"(9.368421052631579, 12.006404108316044)","(25.86842105263158, 11.143020125034559)","(2.1184210526315788, 7.626075601898567)","(2.1184210526315788, 7.626075601898567)","(10.631578947368421, 9.30809227057035)"
2,"(0.0, 0.2, 0.8)","(0.0, 0.2, 0.8)",,,,"(9.552631578947368, 12.091095828664587)","(26.0, 11.190926775976294)","(2.513157894736842, 7.971154279903043)","(2.3947368421052633, 7.940699537274675)","(12.881578947368421, 8.997027440776376)"
3,"(0.0, 0.3, 0.7)","(0.0, 0.3, 0.7)",,,,"(10.078947368421053, 12.772053329844335)","(25.763157894736842, 11.612004248159737)","(4.0131578947368425, 9.60056662397512)","(2.8289473684210527, 7.289841810959198)","(14.80921052631579, 8.625607188872637)"
4,"(0.0, 0.4, 0.6)","(0.0, 0.4, 0.6)",,,,"(10.81578947368421, 13.351237402061464)","(25.42105263157895, 11.610185135990157)","(5.434210526315789, 11.107531260028972)","(3.8026315789473686, 9.056866741873561)","(15.427631578947368, 9.469724592841438)"
5,"(0.0, 0.5, 0.5)","(0.0, 0.5, 0.5)",,,,"(10.68421052631579, 12.996163934342713)","(24.789473684210527, 11.812477557175766)","(5.9868421052631575, 10.975443188573095)","(4.5394736842105265, 9.03711759687976)","(15.388157894736842, 9.222255220036491)"
6,"(0.0, 0.6, 0.4)","(0.0, 0.6, 0.4)",,,,"(11.763157894736842, 13.459362248374324)","(24.263157894736842, 12.309996388315165)","(7.802631578947368, 11.331163057369132)","(5.947368421052632, 9.478361418518256)","(16.125, 9.43193239395886)"
7,"(0.0, 0.7, 0.3)","(0.0, 0.7, 0.3)",,,,"(15.18421052631579, 13.122610585826953)","(20.42105263157895, 11.736429069909612)","(11.986842105263158, 12.109688836295975)","(11.078947368421053, 11.806290872036172)","(16.414473684210527, 9.190021819276664)"
8,"(0.0, 0.8, 0.2)","(0.0, 0.8, 0.2)",,,,"(17.32894736842105, 12.131286387612922)","(16.69736842105263, 12.372528713201792)","(16.05263157894737, 11.856482500527656)","(15.118421052631579, 11.907502174395812)","(16.25, 8.958787218203847)"
9,"(0.0, 0.9, 0.1)","(0.0, 0.9, 0.1)",,,,"(22.210526315789473, 11.562548195602183)","(7.2894736842105265, 10.84194557879341)","(22.276315789473685, 11.918140401804264)","(21.43421052631579, 12.872180862861002)","(12.730263157894736, 9.540578429678842)"
10,"(0.0, 1.0, 0.0)","(0.0, 1.0, 0.0)",,,,"(25.605263157894736, 10.578129059736044)","(0.0, 0.0)","(25.69736842105263, 10.514425850683864)","(0.0, 0.0)","(0.0, 0.0)"
