,Learned Profile,Target Profile,Similarity in terms of Sus,Similarity in terms of Sec,Similarity in terms of Eff,Similarity with Sus expert,Similarity with Sec expert,Similarity with Eff expert,Similarity with target profile agent,Similarity with target profile society
0,"(0.017024695873260498, 0.008413741365075111, 0.9745615720748901)","(0.0, 0.0, 1.0)",,,,"(7.657894736842105, 10.456114594340113)","(25.68421052631579, 10.500890346105983)","(0.40789473684210525, 3.5324720417523157)","(0.40789473684210525, 3.5324720417523157)","(0.40789473684210525, 3.5324720417523157)"
1,"(0.017024695873260498, 0.008413741365075111, 0.9745615720748901)","(0.0, 0.1, 0.9)",,,,"(7.657894736842105, 10.456114594340113)","(25.68421052631579, 10.500890346105983)","(0.40789473684210525, 3.5324720417523157)","(0.40789473684210525, 3.5324720417523157)","(8.631578947368421, 7.780021825945502)"
2,"(0.04794963821768761, 0.028978191316127777, 0.9230722188949585)","(0.0, 0.2, 0.8)",,,,"(7.776315789473684, 10.419615464430192)","(25.61842105263158, 10.526866761896185)","(0.5263157894736842, 3.665176394873809)","(0.40789473684210525, 3.5324720417523157)","(11.802631578947368, 6.792061420360548)"
3,"(0.001709706848487258, 0.03501235693693161, 0.9632779955863953)","(0.0, 0.3, 0.7)",,,,"(9.210526315789474, 12.053953041783348)","(25.92105263157895, 11.171819761645978)","(1.513157894736842, 7.284615044289596)","(0.32894736842105265, 2.8487677756067065)","(13.381578947368421, 8.204567253835798)"
4,"(0.002278180094435811, 0.0518326461315155, 0.9458891749382019)","(0.0, 0.4, 0.6)",,,,"(9.092105263157896, 12.099562444871333)","(25.960526315789473, 11.180858630847263)","(1.631578947368421, 7.332053107423806)","(0.0, 0.0)","(13.657894736842104, 7.924898524302922)"
5,"(0.0010955568868666887, 0.0844297781586647, 0.9144746661186218)","(0.0, 0.5, 0.5)",,,,"(9.368421052631579, 12.006404108316044)","(25.86842105263158, 11.143020125034559)","(2.1184210526315788, 7.626075601898567)","(0.11842105263157894, 1.0255563992184138)","(13.763157894736842, 8.2140259073519)"
6,"(0.0040326728485524654, 0.12200377881526947, 0.8739635348320007)","(0.0, 0.6, 0.4)",,,,"(9.368421052631579, 12.006404108316044)","(25.86842105263158, 11.143020125034559)","(2.1184210526315788, 7.626075601898567)","(0.2894736842105263, 2.506915642533901)","(13.993421052631579, 8.068984406294913)"
7,"(0.006724543869495392, 0.15210629999637604, 0.8411691188812256)","(0.0, 0.7, 0.3)",,,,"(9.552631578947368, 12.091095828664587)","(26.0, 11.190926775976294)","(2.513157894736842, 7.971154279903043)","(0.0, 0.0)","(14.743421052631579, 8.546118471445258)"
8,"(0.004529362078756094, 0.2930210828781128, 0.7024495601654053)","(0.0, 0.8, 0.2)",,,,"(10.078947368421053, 12.772053329844335)","(25.763157894736842, 11.612004248159737)","(4.0131578947368425, 9.60056662397512)","(0.3157894736842105, 1.9208723779889116)","(15.881578947368421, 9.690224462751322)"
9,"(0.10334214568138123, 0.4601602852344513, 0.4364974796772003)","(0.0, 0.9, 0.1)",,,,"(10.736842105263158, 13.078073676208296)","(24.789473684210527, 12.041939638169072)","(6.25, 10.953400096965806)","(0.8026315789473685, 2.833166987675701)","(18.625, 10.931041326135594)"
10,"(0.000727725331671536, 0.998508632183075, 0.0007635505171492696)","(0.0, 1.0, 0.0)",,,,"(25.605263157894736, 10.578129059736044)","(0.0, 0.0)","(25.69736842105263, 10.514425850683864)","(0.0, 0.0)","(0.0, 0.0)"
