,Learned Profile,Target Profile,Similarity in terms of Sus,Similarity in terms of Sec,Similarity in terms of Eff,Similarity with Sus expert,Similarity with Sec expert,Similarity with Eff expert,Similarity with target profile agent,Similarity with target profile society
0,"(0.013789385557174683, 0.011204198002815247, 0.9750064015388489)","(0.0, 0.0, 1.0)",,,,"(8.131578947368421, 10.83894307488555)","(25.63157894736842, 10.540451035569635)","(0.11842105263157894, 1.0255563992184138)","(0.11842105263157894, 1.0255563992184138)","(0.11842105263157894, 1.0255563992184138)"
1,"(0.6954702734947205, 0.2134958952665329, 0.09103382378816605)","(0.0, 0.1, 0.9)",,,,"(6.2368421052631575, 10.404791938854844)","(24.05263157894737, 10.817742172300612)","(5.697368421052632, 8.681528692759892)","(5.697368421052632, 8.681528692759892)","(11.980263157894736, 8.255158191873319)"
2,"(0.6616013646125793, 0.3289449214935303, 0.009453734382987022)","(0.0, 0.2, 0.8)",,,,"(10.381578947368421, 11.803174311290785)","(21.776315789473685, 11.335318216008394)","(9.447368421052632, 11.321143164383908)","(9.381578947368421, 11.256538573860968)","(15.335526315789474, 8.028070882311189)"
3,"(0.6487314105033875, 0.34319835901260376, 0.008070281706750393)","(0.0, 0.3, 0.7)",,,,"(11.276315789473685, 12.00613733867033)","(21.513157894736842, 11.760206564884541)","(9.578947368421053, 11.137021190481319)","(9.789473684210526, 10.899439615572811)","(15.605263157894736, 8.120116260783627)"
4,"(0.5592823028564453, 0.43100976943969727, 0.009707869030535221)","(0.0, 0.4, 0.6)",,,,"(13.263157894736842, 12.058376015573737)","(18.105263157894736, 11.466861805550375)","(12.776315789473685, 11.55604043940307)","(13.144736842105264, 12.192214888120876)","(15.44078947368421, 7.35874305684954)"
5,"(0.5435200929641724, 0.44555234909057617, 0.010927537456154823)","(0.0, 0.5, 0.5)",,,,"(13.592105263157896, 12.158143936840016)","(17.82894736842105, 11.312996901438927)","(13.105263157894736, 11.673833704135097)","(13.394736842105264, 12.316098736557882)","(15.407894736842104, 7.482747932444244)"
6,"(0.4530845284461975, 0.5348014831542969, 0.012113926000893116)","(0.0, 0.6, 0.4)",,,,"(16.105263157894736, 11.976488971674572)","(14.052631578947368, 11.369273847156393)","(16.75, 11.913200330107069)","(16.894736842105264, 12.669460740578652)","(15.401315789473685, 7.557681582355597)"
7,"(0.2768465280532837, 0.7114642262458801, 0.011689189821481705)","(0.0, 0.7, 0.3)",,,,"(20.092105263157894, 11.957355841730301)","(9.881578947368421, 11.083376724274437)","(20.42105263157895, 12.242358688601955)","(20.723684210526315, 12.938720635741026)","(15.151315789473685, 8.136588794824677)"
8,"(0.28607887029647827, 0.7039340138435364, 0.00998704507946968)","(0.0, 0.8, 0.2)",,,,"(20.092105263157894, 11.957355841730301)","(9.881578947368421, 11.083376724274437)","(20.42105263157895, 12.242358688601955)","(20.80263157894737, 13.045486955913049)","(13.986842105263158, 8.596577380520678)"
9,"(0.01070223655551672, 0.9849364161491394, 0.00436133099719882)","(0.0, 0.9, 0.1)",,,,"(25.0, 10.8397416943394)","(0.8947368421052632, 3.4510827719962)","(25.11842105263158, 10.770289427356651)","(24.43421052631579, 11.825858738503817)","(9.532894736842104, 7.452629139718603)"
10,"(0.0031073945574462414, 0.9946551322937012, 0.0022374179679900408)","(0.0, 1.0, 0.0)",,,,"(25.236842105263158, 10.702764548240292)","(0.5526315789473685, 3.0667775683507954)","(25.355263157894736, 10.62977935524883)","(0.5526315789473685, 3.0667775683507954)","(0.5526315789473685, 3.0667775683507954)"
