,Policy,sus,sec,eff
0,Exp + P,"(0.38340658292566476, 0.1080219872976395)","(0.2970280264945407, 0.09709416686675408)","(0.21256572568151905, 0.10409788470733876)"
1,VL + P,"(0.38340658292566476, 0.1080219872976395)","(0.2970280264945407, 0.09709416686675408)","(0.21256572568151905, 0.10409788470733876)"
2,"Expert (0.0, 0.0, 1.0)","(0.40294469083202883, 0.12217468721267494)","(0.5885897678555537, 0.21892939955785365)","(0.21256572456523395, 0.10409788265092682)"
3,"Expert (0.0, 0.1, 0.9)","(0.40294469083202883, 0.12217468721267494)","(0.5885897678555537, 0.21892939955785365)","(0.21256572456523395, 0.10409788265092682)"
4,"Expert (0.0, 0.2, 0.8)","(0.4030920244702812, 0.12208170565255722)","(0.586399354865295, 0.21813232466546845)","(0.212612851668765, 0.10408009543433726)"
5,"Expert (0.0, 0.3, 0.7)","(0.40849127655153433, 0.13229779704534653)","(0.5814850725098375, 0.20930848153749024)","(0.21276650353875562, 0.10417434158539561)"
6,"Expert (0.0, 0.4, 0.6)","(0.4088895983303174, 0.13256425465535268)","(0.5782904564133021, 0.20676114531241388)","(0.21293562803590535, 0.10433865767441564)"
7,"Expert (0.0, 0.5, 0.5)","(0.4097392324482299, 0.13286625392636506)","(0.5770195218537992, 0.20632587346380935)","(0.21302233602718365, 0.10447408260406085)"
8,"Expert (0.0, 0.6, 0.4)","(0.40877973895418873, 0.1313636825259804)","(0.573013762343563, 0.20543178052312278)","(0.2134511299989658, 0.10591503118722229)"
9,"Expert (0.0, 0.7, 0.3)","(0.4087716724323783, 0.13136764134907364)","(0.5719708292145744, 0.20686958348485676)","(0.21362953571990242, 0.10596869021560087)"
10,"Expert (0.0, 0.8, 0.2)","(0.4125612968032089, 0.1349469152599324)","(0.5649641589627304, 0.2065313266217537)","(0.21585166511642073, 0.1081615698489921)"
11,"Expert (0.0, 0.9, 0.1)","(0.4076565228529752, 0.13327166710984303)","(0.5174784577008579, 0.19106365797960004)","(0.24442299405123585, 0.14709210800913428)"
12,"Expert (0.0, 1.0, 0.0)","(0.6542267498160456, 0.22416048957209667)","(0.29702802631666264, 0.0970941634381398)","(1.0842543207051534, 0.49601380734361794)"
13,"Society (0.0, 0.0, 1.0)","(0.40294469083202883, 0.12217468721267494)","(0.5885897678555537, 0.21892939955785365)","(0.21256572456523395, 0.10409788265092682)"
14,"Society (0.0, 0.1, 0.9)","(0.4290332526261122, 0.12624726149768323)","(0.5562050414916916, 0.2054961760315743)","(0.3038847931820017, 0.15102556088833846)"
15,"Society (0.0, 0.2, 0.8)","(0.4543265214909824, 0.13745437684578937)","(0.5322184778595617, 0.19025550252147325)","(0.38909756060701944, 0.19695122791322356)"
16,"Society (0.0, 0.3, 0.7)","(0.4803572739482134, 0.14819859559936266)","(0.5003868259164416, 0.17682654815601173)","(0.4761789926222838, 0.24940453794758752)"
17,"Society (0.0, 0.4, 0.6)","(0.5031146107500383, 0.16313360542676286)","(0.47334633633233214, 0.16096630001247905)","(0.5606170946945465, 0.30586291228264756)"
18,"Society (0.0, 0.5, 0.5)","(0.5311115615514083, 0.16622020531827036)","(0.445271951301172, 0.14938506576343397)","(0.6511112336182314, 0.3161477891603483)"
19,"Society (0.0, 0.6, 0.4)","(0.5546352661144308, 0.16951892697124754)","(0.41336925843984074, 0.1495884448087525)","(0.7379360876930341, 0.34265426884424477)"
20,"Society (0.0, 0.7, 0.3)","(0.5769173904308302, 0.18819780549230855)","(0.38912311422873724, 0.1290678603043203)","(0.8180137764109914, 0.39731182455510355)"
